,model,lnL,AIC,AICc,timing,tree.no,delta,w
201,DensDep,210.3519177,-416.7038353,-416.6521112,DensDep18,19,0,0.317979840127538
202,TS,210.4775211,-414.9550422,-414.8506944,TS 1111,19,1.80141679999997,0.129189405207125
203,TRC,211.3524575,-414.704915,-414.5302426,TRC 32,19,2.12186859999997,0.110063083188483
204,SRC,211.0420242,-416.0840485,-415.9797006,SRC 62,19,0.672410599999978,0.227189094229671
205,OUS,210.4806607,-410.9613214,-410.6993126,OUS 39.944233996273,19,5.95279859999999,0.0162093572732362
206,OUMA,211.7035634,-411.4071268,-411.0387057,OUMA 39.373907823354,19,5.6134055,0.0192072005033519
207,OUMV,210.1231027,-408.2462055,-407.8777844,OUMV 42.9026131458229,19,8.77432679999998,0.00395438300376679
208,OUMVA,212.0104813,-410.0209626,-409.5275705,OUMVA 39.3738805617649,19,7.12454069999995,0.00902246551075162
209,fit_env,210.163821718393,-414.327643436787,-414.223747332891,NA,19,2.428363867109,0.0944250172601555
210,EB,205.4721451,-402.9442902,-402.7703771,EB19,20,0,0.40717630022588
211,delta,204.9351815,-401.870363,-401.6964499,delta19,20,1.07392720000001,0.238002853177332
212,DensDep,199.8404764,-395.6809529,-395.6292287,DensDep19,20,7.14114840000002,0.0114578153644487
213,TS,200.3358429,-394.6716859,-394.567338,TS 36,20,8.20303910000001,0.00673775451726915
214,TRC,205.082935,-402.16587,-401.9911975,TRC 33,20,0.77917960000002,0.275794620954187
215,SRC,202.3995075,-398.799015,-398.6946672,SRC 117,20,4.07570989999999,0.0530583001456055
216,OUS,200.93608,-391.87216,-391.6101513,OUS 54.8840115914664,20,11.1602258,0.0015359258544834
217,OUMA,200.870586,-389.741172,-389.3727509,OUMA 51.3058011785833,20,13.3976262,0.00050179337969064
218,OUMV,201.5071597,-391.0143194,-390.6458983,OUMV 51.8406209338126,20,12.1244788,0.000948386520041373
219,OUMVA,201.3856333,-388.7712665,-388.2778745,OUMVA 54.7945284445646,20,14.4925026,0.000290252211755165
220,fit_env,199.931077929959,-393.862155859917,-393.758259756021,NA,20,9.01211734397901,0.00449599764930648
221,EB,203.6566691,-399.3133382,-399.1394251,EB20,21,2.0737062,0.238226994863944
222,delta,202.6117977,-397.2235953,-397.0496823,delta20,21,4.16344900000001,0.0837932603690979
223,DensDep,190.7258419,-377.4516839,-377.3999597,DensDep20,21,23.8131716,4.53237714552978e-06
224,TS,194.2493145,-382.498629,-382.3942812,TS 37,21,18.8188501,5.50591084939607e-05
225,TRC,204.6939019,-401.3878038,-401.2131313,TRC 6,21,0,0.671878203338307
