timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100
1.2 to 2.2	219	143	127	175	255	95	265	186	77	158	114	177	240	27	98	138	220	158	84	161	193	243	149	212	177	180	98	220	158	114	177	240	27	98	138	220	158	84	161	193	243	149	212	177	180	98	220	158	114	177	240	27	98	138	220	158	84	161	193	243	149	212	177	180	98	220	158	114	177	240	27	98	138	220	158	84	161	193	243	149	212	177	180	98	220	158	114	177	240	27	98	138	220	158	84	161	193	243	149	212
1.3 to 2.3	255	145	143	190	307	117	308	230	85	194	147	153	252	26	103	174	223	145	123	164	227	252	166	250	260	208	138	285	194	147	153	252	26	103	174	223	145	123	164	227	252	166	250	260	208	138	285	194	147	153	252	26	103	174	223	145	123	164	227	252	166	250	260	208	138	285	194	147	153	252	26	103	174	223	145	123	164	227	252	166	250	260	208	138	285	194	147	153	252	26	103	174	223	145	123	164	227	252	166	250
1.4 to 2.4	257	145	164	190	328	119	329	253	87	223	150	166	261	26	108	185	224	183	127	192	241	255	197	255	261	213	139	311	223	150	166	261	26	108	185	224	183	127	192	241	255	197	255	261	213	139	311	223	150	166	261	26	108	185	224	183	127	192	241	255	197	255	261	213	139	311	223	150	166	261	26	108	185	224	183	127	192	241	255	197	255	261	213	139	311	223	150	166	261	26	108	185	224	183	127	192	241	255	197	255
1.5 to 2.5	206	139	152	110	275	119	281	203	83	212	143	131	243	26	105	172	178	179	127	172	231	229	147	191	246	169	137	272	212	143	131	243	26	105	172	178	179	127	172	231	229	147	191	246	169	137	272	212	143	131	243	26	105	172	178	179	127	172	231	229	147	191	246	169	137	272	212	143	131	243	26	105	172	178	179	127	172	231	229	147	191	246	169	137	272	212	143	131	243	26	105	172	178	179	127	172	231	229	147	191
1.6 to 2.6	133	71	149	107	189	116	237	123	37	205	113	122	155	24	72	153	130	179	119	101	146	190	137	156	232	149	106	205	205	113	122	155	24	72	153	130	179	119	101	146	190	137	156	232	149	106	205	205	113	122	155	24	72	153	130	179	119	101	146	190	137	156	232	149	106	205	205	113	122	155	24	72	153	130	179	119	101	146	190	137	156	232	149	106	205	205	113	122	155	24	72	153	130	179	119	101	146	190	137	156
1.7 to 2.7	133	61	169	83	203	122	209	119	25	211	93	133	127	11	79	187	74	203	107	130	180	169	161	159	308	156	114	258	211	93	133	127	11	79	187	74	203	107	130	180	169	161	159	308	156	114	258	211	93	133	127	11	79	187	74	203	107	130	180	169	161	159	308	156	114	258	211	93	133	127	11	79	187	74	203	107	130	180	169	161	159	308	156	114	258	211	93	133	127	11	79	187	74	203	107	130	180	169	161	159
1.8 to 2.8	133	39	162	82	194	125	193	123	27	215	89	121	113	13	79	175	65	199	108	129	153	172	157	167	318	163	77	267	215	89	121	113	13	79	175	65	199	108	129	153	172	157	167	318	163	77	267	215	89	121	113	13	79	175	65	199	108	129	153	172	157	167	318	163	77	267	215	89	121	113	13	79	175	65	199	108	129	153	172	157	167	318	163	77	267	215	89	121	113	13	79	175	65	199	108	129	153	172	157	167
1.9 to 2.9	133	39	161	48	194	123	148	120	24	179	88	75	78	13	76	155	60	199	108	129	149	172	114	167	278	157	77	232	179	88	75	78	13	76	155	60	199	108	129	149	172	114	167	278	157	77	232	179	88	75	78	13	76	155	60	199	108	129	149	172	114	167	278	157	77	232	179	88	75	78	13	76	155	60	199	108	129	149	172	114	167	278	157	77	232	179	88	75	78	13	76	155	60	199	108	129	149	172	114	167
2 to 3	104	41	180	71	159	117	112	124	24	151	81	70	77	13	52	175	34	193	86	110	170	202	112	138	242	162	80	205	151	81	70	77	13	52	175	34	193	86	110	170	202	112	138	242	162	80	205	151	81	70	77	13	52	175	34	193	86	110	170	202	112	138	242	162	80	205	151	81	70	77	13	52	175	34	193	86	110	170	202	112	138	242	162	80	205	151	81	70	77	13	52	175	34	193	86	110	170	202	112	138
2.1 to 3.1	107	41	146	63	122	91	144	102	48	149	46	73	85	2	51	147	35	144	68	141	150	161	92	141	211	94	76	167	149	46	73	85	2	51	147	35	144	68	141	150	161	92	141	211	94	76	167	149	46	73	85	2	51	147	35	144	68	141	150	161	92	141	211	94	76	167	149	46	73	85	2	51	147	35	144	68	141	150	161	92	141	211	94	76	167	149	46	73	85	2	51	147	35	144	68	141	150	161	92	141
2.2 to 3.2	98	79	166	61	123	94	122	102	49	128	60	73	81	2	67	142	34	120	87	134	143	161	113	143	213	85	83	181	128	60	73	81	2	67	142	34	120	87	134	143	161	113	143	213	85	83	181	128	60	73	81	2	67	142	34	120	87	134	143	161	113	143	213	85	83	181	128	60	73	81	2	67	142	34	120	87	134	143	161	113	143	213	85	83	181	128	60	73	81	2	67	142	34	120	87	134	143	161	113	143
2.3 to 3.3	58	73	150	45	70	47	79	57	40	92	24	63	51	2	62	90	31	117	41	125	108	115	94	80	128	55	40	115	92	24	63	51	2	62	90	31	117	41	125	108	115	94	80	128	55	40	115	92	24	63	51	2	62	90	31	117	41	125	108	115	94	80	128	55	40	115	92	24	63	51	2	62	90	31	117	41	125	108	115	94	80	128	55	40	115	92	24	63	51	2	62	90	31	117	41	125	108	115	94	80
2.4 to 3.4	56	75	129	53	55	45	58	38	38	65	25	67	43	3	57	82	33	86	37	99	95	126	65	78	128	61	42	118	65	25	67	43	3	57	82	33	86	37	99	95	126	65	78	128	61	42	118	65	25	67	43	3	57	82	33	86	37	99	95	126	65	78	128	61	42	118	65	25	67	43	3	57	82	33	86	37	99	95	126	65	78	128	61	42	118	65	25	67	43	3	57	82	33	86	37	99	95	126	65	78
2.5 to 3.5	65	109	138	104	86	51	71	47	44	116	49	129	58	5	72	123	77	97	59	110	102	141	85	93	198	89	97	159	116	49	129	58	5	72	123	77	97	59	110	102	141	85	93	198	89	97	159	116	49	129	58	5	72	123	77	97	59	110	102	141	85	93	198	89	97	159	116	49	129	58	5	72	123	77	97	59	110	102	141	85	93	198	89	97	159	116	49	129	58	5	72	123	77	97	59	110	102	141	85	93
2.6 to 3.6	73	145	155	120	115	51	71	56	46	117	53	144	58	22	108	123	77	135	59	128	133	141	118	98	205	95	97	203	117	53	144	58	22	108	123	77	135	59	128	133	141	118	98	205	95	97	203	117	53	144	58	22	108	123	77	135	59	128	133	141	118	98	205	95	97	203	117	53	144	58	22	108	123	77	135	59	128	133	141	118	98	205	95	97	203	117	53	144	58	22	108	123	77	135	59	128	133	141	118	98
2.7 to 3.7	36	146	91	117	143	56	96	41	46	115	54	125	92	28	99	94	97	107	57	85	71	106	94	112	129	79	97	153	115	54	125	92	28	99	94	97	107	57	85	71	106	94	112	129	79	97	153	115	54	125	92	28	99	94	97	107	57	85	71	106	94	112	129	79	97	153	115	54	125	92	28	99	94	97	107	57	85	71	106	94	112	129	79	97	153	115	54	125	92	28	99	94	97	107	57	85	71	106	94	112
2.8 to 3.8	37	127	101	147	176	61	98	35	46	108	54	119	83	26	101	104	104	107	62	115	72	86	92	107	128	72	101	143	108	54	119	83	26	101	104	104	107	62	115	72	86	92	107	128	72	101	143	108	54	119	83	26	101	104	104	107	62	115	72	86	92	107	128	72	101	143	108	54	119	83	26	101	104	104	107	62	115	72	86	92	107	128	72	101	143	108	54	119	83	26	101	104	104	107	62	115	72	86	92	107
2.9 to 3.9	47	158	114	217	212	76	141	60	74	125	61	170	112	27	103	118	114	109	67	124	102	131	117	119	139	79	109	147	125	61	170	112	27	103	118	114	109	67	124	102	131	117	119	139	79	109	147	125	61	170	112	27	103	118	114	109	67	124	102	131	117	119	139	79	109	147	125	61	170	112	27	103	118	114	109	67	124	102	131	117	119	139	79	109	147	125	61	170	112	27	103	118	114	109	67	124	102	131	117	119
3 to 4	47	185	87	197	225	91	174	87	76	141	65	207	163	27	104	99	143	116	77	132	83	112	123	134	146	103	111	156	141	65	207	163	27	104	99	143	116	77	132	83	112	123	134	146	103	111	156	141	65	207	163	27	104	99	143	116	77	132	83	112	123	134	146	103	111	156	141	65	207	163	27	104	99	143	116	77	132	83	112	123	134	146	103	111	156	141	65	207	163	27	104	99	143	116	77	132	83	112	123	134
3.1 to 4.1	43	231	108	207	226	87	138	104	55	121	68	210	181	29	84	97	152	115	82	125	87	113	139	97	141	106	116	165	121	68	210	181	29	84	97	152	115	82	125	87	113	139	97	141	106	116	165	121	68	210	181	29	84	97	152	115	82	125	87	113	139	97	141	106	116	165	121	68	210	181	29	84	97	152	115	82	125	87	113	139	97	141	106	116	165	121	68	210	181	29	84	97	152	115	82	125	87	113	139	97
3.2 to 4.2	43	187	89	204	219	88	142	105	52	113	52	210	184	29	65	93	153	115	56	121	93	110	120	96	139	105	108	151	113	52	210	184	29	65	93	153	115	56	121	93	110	120	96	139	105	108	151	113	52	210	184	29	65	93	153	115	56	121	93	110	120	96	139	105	108	151	113	52	210	184	29	65	93	153	115	56	121	93	110	120	96	139	105	108	151	113	52	210	184	29	65	93	153	115	56	121	93	110	120	96
3.3 to 4.3	51	191	98	244	224	131	155	118	56	117	58	230	203	30	68	101	190	127	62	142	117	116	130	97	158	148	117	155	117	58	230	203	30	68	101	190	127	62	142	117	116	130	97	158	148	117	155	117	58	230	203	30	68	101	190	127	62	142	117	116	130	97	158	148	117	155	117	58	230	203	30	68	101	190	127	62	142	117	116	130	97	158	148	117	155	117	58	230	203	30	68	101	190	127	62	142	117	116	130	97
3.4 to 4.4	51	189	98	236	218	131	155	114	56	115	54	213	202	29	68	98	187	120	62	140	116	102	128	94	157	137	114	126	115	54	213	202	29	68	98	187	120	62	140	116	102	128	94	157	137	114	126	115	54	213	202	29	68	98	187	120	62	140	116	102	128	94	157	137	114	126	115	54	213	202	29	68	98	187	120	62	140	116	102	128	94	157	137	114	126	115	54	213	202	29	68	98	187	120	62	140	116	102	128	94
3.5 to 4.5	54	155	89	202	202	152	146	109	51	81	30	156	200	36	61	63	147	122	69	143	110	92	114	86	92	113	59	86	81	30	156	200	36	61	63	147	122	69	143	110	92	114	86	92	113	59	86	81	30	156	200	36	61	63	147	122	69	143	110	92	114	86	92	113	59	86	81	30	156	200	36	61	63	147	122	69	143	110	92	114	86	92	113	59	86	81	30	156	200	36	61	63	147	122	69	143	110	92	114	86
3.6 to 4.6	79	155	106	247	198	157	182	107	83	109	48	159	261	19	29	70	211	91	78	163	86	102	96	110	104	120	63	51	109	48	159	261	19	29	70	211	91	78	163	86	102	96	110	104	120	63	51	109	48	159	261	19	29	70	211	91	78	163	86	102	96	110	104	120	63	51	109	48	159	261	19	29	70	211	91	78	163	86	102	96	110	104	120	63	51	109	48	159	261	19	29	70	211	91	78	163	86	102	96	110
3.7 to 4.7	85	153	124	251	197	154	146	127	83	112	54	158	237	14	56	67	179	70	105	185	88	110	128	101	100	126	53	42	112	54	158	237	14	56	67	179	70	105	185	88	110	128	101	100	126	53	42	112	54	158	237	14	56	67	179	70	105	185	88	110	128	101	100	126	53	42	112	54	158	237	14	56	67	179	70	105	185	88	110	128	101	100	126	53	42	112	54	158	237	14	56	67	179	70	105	185	88	110	128	101
3.8 to 4.8	77	151	113	220	159	144	142	127	81	108	54	153	232	14	54	53	172	65	99	155	83	106	127	94	91	120	48	41	108	54	153	232	14	54	53	172	65	99	155	83	106	127	94	91	120	48	41	108	54	153	232	14	54	53	172	65	99	155	83	106	127	94	91	120	48	41	108	54	153	232	14	54	53	172	65	99	155	83	106	127	94	91	120	48	41	108	54	153	232	14	54	53	172	65	99	155	83	106	127	94
3.9 to 4.9	80	131	124	180	149	139	133	125	56	100	55	122	212	34	58	46	180	84	96	179	56	67	114	129	111	126	46	53	100	55	122	212	34	58	46	180	84	96	179	56	67	114	129	111	126	46	53	100	55	122	212	34	58	46	180	84	96	179	56	67	114	129	111	126	46	53	100	55	122	212	34	58	46	180	84	96	179	56	67	114	129	111	126	46	53	100	55	122	212	34	58	46	180	84	96	179	56	67	114	129
4 to 5	124	110	123	176	145	138	103	132	58	79	56	87	185	36	58	47	150	72	89	206	52	53	107	120	135	100	39	50	79	56	87	185	36	58	47	150	72	89	206	52	53	107	120	135	100	39	50	79	56	87	185	36	58	47	150	72	89	206	52	53	107	120	135	100	39	50	79	56	87	185	36	58	47	150	72	89	206	52	53	107	120	135	100	39	50	79	56	87	185	36	58	47	150	72	89	206	52	53	107	120
4.1 to 5.1	123	66	102	167	135	140	122	131	62	71	66	85	158	35	67	49	135	57	89	192	50	48	88	118	140	100	27	53	71	66	85	158	35	67	49	135	57	89	192	50	48	88	118	140	100	27	53	71	66	85	158	35	67	49	135	57	89	192	50	48	88	118	140	100	27	53	71	66	85	158	35	67	49	135	57	89	192	50	48	88	118	140	100	27	53	71	66	85	158	35	67	49	135	57	89	192	50	48	88	118
4.2 to 5.2	123	65	101	166	132	135	118	129	61	71	66	85	153	35	67	45	134	55	87	192	44	43	85	113	134	99	24	50	71	66	85	153	35	67	45	134	55	87	192	44	43	85	113	134	99	24	50	71	66	85	153	35	67	45	134	55	87	192	44	43	85	113	134	99	24	50	71	66	85	153	35	67	45	134	55	87	192	44	43	85	113	134	99	24	50	71	66	85	153	35	67	45	134	55	87	192	44	43	85	113
4.3 to 5.3	115	61	92	126	127	92	105	116	57	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112	115	56	15	46	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112	115	56	15	46	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112	115	56	15	46	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112	115	56	15	46	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112
4.4 to 5.4	115	61	92	126	127	92	105	116	57	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112	115	56	15	46	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112	115	56	15	46	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112	115	56	15	46	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112	115	56	15	46	67	60	65	134	34	64	37	97	43	81	171	20	37	75	112
4.5 to 5.5	110	67	106	123	128	66	107	152	60	60	63	104	148	25	59	40	101	42	60	170	27	35	77	108	145	56	21	83	60	63	104	148	25	59	40	101	42	60	170	27	35	77	108	145	56	21	83	60	63	104	148	25	59	40	101	42	60	170	27	35	77	108	145	56	21	83	60	63	104	148	25	59	40	101	42	60	170	27	35	77	108	145	56	21	83	60	63	104	148	25	59	40	101	42	60	170	27	35	77	108
4.6 to 5.6	104	33	102	85	119	71	78	153	37	41	50	105	132	26	77	44	54	53	58	150	30	67	65	100	141	56	45	81	41	50	105	132	26	77	44	54	53	58	150	30	67	65	100	141	56	45	81	41	50	105	132	26	77	44	54	53	58	150	30	67	65	100	141	56	45	81	41	50	105	132	26	77	44	54	53	58	150	30	67	65	100	141	56	45	81	41	50	105	132	26	77	44	54	53	58	150	30	67	65	100
4.7 to 5.7	96	32	72	73	70	38	72	130	34	31	40	94	109	25	47	38	50	53	25	119	26	54	28	81	129	44	44	81	31	40	94	109	25	47	38	50	53	25	119	26	54	28	81	129	44	44	81	31	40	94	109	25	47	38	50	53	25	119	26	54	28	81	129	44	44	81	31	40	94	109	25	47	38	50	53	25	119	26	54	28	81	129	44	44	81	31	40	94	109	25	47	38	50	53	25	119	26	54	28	81
4.8 to 5.8	114	37	76	77	77	39	76	134	34	35	45	109	128	25	53	47	51	84	25	123	41	59	34	83	153	46	47	82	35	45	109	128	25	53	47	51	84	25	123	41	59	34	83	153	46	47	82	35	45	109	128	25	53	47	51	84	25	123	41	59	34	83	153	46	47	82	35	45	109	128	25	53	47	51	84	25	123	41	59	34	83	153	46	47	82	35	45	109	128	25	53	47	51	84	25	123	41	59	34	83
4.9 to 5.9	101	26	52	47	51	29	42	111	31	26	37	89	119	4	47	40	33	63	23	90	38	53	22	36	122	33	41	66	26	37	89	119	4	47	40	33	63	23	90	38	53	22	36	122	33	41	66	26	37	89	119	4	47	40	33	63	23	90	38	53	22	36	122	33	41	66	26	37	89	119	4	47	40	33	63	23	90	38	53	22	36	122	33	41	66	26	37	89	119	4	47	40	33	63	23	90	38	53	22	36
5 to 6	57	15	50	46	42	15	36	73	22	25	30	87	95	2	45	36	31	63	20	54	37	51	18	27	84	25	40	58	25	30	87	95	2	45	36	31	63	20	54	37	51	18	27	84	25	40	58	25	30	87	95	2	45	36	31	63	20	54	37	51	18	27	84	25	40	58	25	30	87	95	2	45	36	31	63	20	54	37	51	18	27	84	25	40	58	25	30	87	95	2	45	36	31	63	20	54	37	51	18	27
5.1 to 6.1	52	13	48	41	39	12	17	52	15	24	17	78	91	1	31	29	26	61	15	35	33	50	17	26	74	19	37	46	24	17	78	91	1	31	29	26	61	15	35	33	50	17	26	74	19	37	46	24	17	78	91	1	31	29	26	61	15	35	33	50	17	26	74	19	37	46	24	17	78	91	1	31	29	26	61	15	35	33	50	17	26	74	19	37	46	24	17	78	91	1	31	29	26	61	15	35	33	50	17	26
5.2 to 6.2	52	16	59	48	47	16	23	63	52	42	26	90	93	1	33	33	35	81	27	38	72	60	21	31	94	47	44	71	42	26	90	93	1	33	33	35	81	27	38	72	60	21	31	94	47	44	71	42	26	90	93	1	33	33	35	81	27	38	72	60	21	31	94	47	44	71	42	26	90	93	1	33	33	35	81	27	38	72	60	21	31	94	47	44	71	42	26	90	93	1	33	33	35	81	27	38	72	60	21	31
5.3 to 6.3	95	36	61	48	59	30	37	73	57	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41	99	55	48	82	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41	99	55	48	82	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41	99	55	48	82	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41	99	55	48	82	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41
5.4 to 6.4	95	36	61	48	59	30	37	73	57	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41	99	55	48	82	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41	99	55	48	82	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41	99	55	48	82	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41	99	55	48	82	48	40	91	112	2	37	38	42	81	42	80	73	65	28	41
5.5 to 6.5	88	30	47	34	43	29	31	33	53	38	37	47	85	2	34	29	34	69	34	67	65	62	20	38	64	51	42	44	38	37	47	85	2	34	29	34	69	34	67	65	62	20	38	64	51	42	44	38	37	47	85	2	34	29	34	69	34	67	65	62	20	38	64	51	42	44	38	37	47	85	2	34	29	34	69	34	67	65	62	20	38	64	51	42	44	38	37	47	85	2	34	29	34	69	34	67	65	62	20	38
5.6 to 6.6	73	39	20	28	58	23	46	28	78	44	53	57	50	3	15	31	29	81	34	70	63	34	33	53	66	63	21	54	44	53	57	50	3	15	31	29	81	34	70	63	34	33	53	66	63	21	54	44	53	57	50	3	15	31	29	81	34	70	63	34	33	53	66	63	21	54	44	53	57	50	3	15	31	29	81	34	70	63	34	33	53	66	63	21	54	44	53	57	50	3	15	31	29	81	34	70	63	34	33	53
5.7 to 6.7	81	42	36	35	63	36	49	30	80	48	55	61	79	4	18	33	31	88	50	71	64	44	38	55	71	68	24	55	48	55	61	79	4	18	33	31	88	50	71	64	44	38	55	71	68	24	55	48	55	61	79	4	18	33	31	88	50	71	64	44	38	55	71	68	24	55	48	55	61	79	4	18	33	31	88	50	71	64	44	38	55	71	68	24	55	48	55	61	79	4	18	33	31	88	50	71	64	44	38	55
