timing	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100
0.6 to 1.6	0	3	0	2	25	2	1	29	69	0	0	0	37	9	42	0	0	0	28	0	51	0	0	15	32	21	25	77	0	13	46	48	32	0	0	17	15	16	0	0	0	1	2	1	8	2	23	19	0	0	40	0	0	0	0	0	12	0	0	39	0	1	0	31	0	1	27	0	2	1	0	0	36	3	1	0	0	22	42	38	10	0	0	0	0	2	15	16	0	0	0	1	2	1	8	2	23	19	0	0
0.7 to 1.7	0	3	0	2	25	2	1	29	69	0	0	0	37	9	42	0	0	0	28	0	51	0	0	15	32	21	25	77	0	13	46	48	32	0	0	17	15	16	0	0	0	1	2	1	8	2	23	19	0	0	40	0	0	0	0	0	12	0	0	39	0	1	0	31	0	1	27	0	2	1	0	0	36	3	1	0	0	22	42	38	10	0	0	0	0	2	15	16	0	0	0	1	2	1	8	2	23	19	0	0
0.8 to 1.8	0	3	0	2	25	2	1	29	69	0	0	0	37	9	42	0	0	0	28	0	51	0	0	15	32	21	25	77	0	13	46	48	32	0	0	17	15	16	0	0	0	1	2	1	8	2	23	19	0	0	40	0	0	0	0	0	12	0	0	39	0	1	0	31	0	1	27	0	2	1	0	0	36	3	1	0	0	22	42	38	10	0	0	0	0	2	15	16	0	0	0	1	2	1	8	2	23	19	0	0
0.9 to 1.9	0	4	0	2	26	2	1	29	69	0	0	3	37	39	42	0	0	3	28	0	51	0	0	15	37	21	25	78	0	13	46	95	32	0	33	17	18	16	0	0	0	1	2	1	8	3	23	19	0	0	40	35	0	0	3	0	12	0	1	39	0	1	0	31	25	1	27	0	4	1	0	0	36	3	1	48	0	22	42	38	10	0	1	0	0	2	18	16	0	0	0	1	2	1	8	3	23	19	0	0
1 to 2	0	3	0	2	26	2	1	29	69	0	0	3	0	39	21	0	0	3	27	0	26	0	0	0	37	21	25	46	0	13	46	95	32	0	33	17	17	16	0	0	0	0	2	0	0	3	23	19	0	0	40	35	0	0	3	0	0	0	1	0	0	1	0	31	25	1	27	0	2	1	0	0	0	3	1	48	0	22	18	38	2	0	1	0	0	0	17	16	0	0	0	0	2	0	0	3	23	19	0	0
1.1 to 2.1	0	3	0	2	26	2	1	29	69	0	0	3	0	39	21	0	0	3	27	0	26	0	0	0	37	21	25	46	0	13	46	95	32	0	33	17	17	16	0	0	0	0	2	0	0	3	23	19	0	0	40	35	0	0	3	0	0	0	1	0	0	1	0	31	25	1	27	0	2	1	0	0	0	3	1	48	0	22	18	38	2	0	1	0	0	0	17	16	0	0	0	0	2	0	0	3	23	19	0	0
1.2 to 2.2	0	3	0	2	26	2	1	29	69	0	0	3	0	39	21	0	0	3	27	0	26	0	0	0	37	21	25	46	0	13	46	95	32	0	33	17	17	16	0	0	0	0	2	0	0	3	23	19	0	0	40	35	0	0	3	0	0	0	1	0	0	1	0	31	25	1	27	0	2	1	0	0	0	3	1	48	0	22	18	38	2	0	1	0	0	0	17	16	0	0	0	0	2	0	0	3	23	19	0	0
1.3 to 2.3	0	3	0	0	26	0	0	0	38	0	0	3	0	39	0	0	0	3	27	0	26	0	0	0	37	21	0	1	0	13	0	47	32	0	33	17	17	0	0	0	0	0	0	0	0	3	0	19	0	0	0	35	0	0	3	0	0	0	1	0	0	1	0	31	25	1	27	0	2	1	0	0	0	0	1	48	0	22	18	38	0	0	1	0	0	0	17	0	0	0	0	0	0	0	0	3	0	19	0	0
1.4 to 2.4	0	3	0	0	26	0	0	0	38	0	0	3	0	39	0	0	0	3	27	0	26	0	0	0	37	21	0	1	0	13	0	47	32	0	33	17	17	0	0	0	0	0	0	0	0	3	0	19	0	0	0	35	0	0	3	0	0	0	1	0	0	1	0	31	25	1	27	0	2	1	0	0	0	0	1	48	0	22	18	38	0	0	1	0	0	0	17	0	0	0	0	0	0	0	0	3	0	19	0	0
1.5 to 2.5	0	2	0	0	1	34	0	0	0	0	0	40	0	30	0	0	40	3	2	0	2	0	41	34	6	0	1	43	18	0	0	48	0	0	33	44	3	0	0	0	2	0	0	0	0	1	0	1	0	0	0	36	0	0	3	0	0	0	1	0	0	0	0	0	25	0	0	0	3	0	1	42	0	0	0	48	0	0	0	32	0	0	1	1	38	0	3	0	0	0	2	0	0	0	0	1	0	1	0	0
1.6 to 2.6	0	2	0	0	1	34	0	0	0	0	0	40	0	30	0	0	40	3	2	0	2	0	41	34	6	0	1	43	18	0	0	48	0	0	33	44	3	0	0	0	2	0	0	0	0	1	0	1	0	0	0	36	0	0	3	0	0	0	1	0	0	0	0	0	25	0	0	0	3	0	1	42	0	0	0	48	0	0	0	32	0	0	1	1	38	0	3	0	0	0	2	0	0	0	0	1	0	1	0	0
1.7 to 2.7	0	11	1	67	3	35	0	0	0	0	30	40	10	32	49	0	41	3	2	1	3	5	88	38	38	0	1	91	20	0	2	97	0	0	33	93	3	0	0	0	18	0	3	3	0	1	0	25	0	0	0	36	0	48	3	0	0	60	32	36	0	28	0	0	64	0	47	0	3	0	1	42	0	0	0	50	78	47	1	32	0	0	1	1	43	85	3	0	0	0	18	0	3	3	0	1	0	25	0	0
1.8 to 2.8	0	11	1	67	3	35	0	0	0	0	30	40	10	32	49	0	41	3	2	1	3	5	88	38	38	0	1	91	20	0	2	97	0	0	33	93	3	0	0	0	18	0	3	3	0	1	0	25	0	0	0	36	0	48	3	0	0	60	32	36	0	28	0	0	64	0	47	0	3	0	1	42	0	0	0	50	78	47	1	32	0	0	1	1	43	85	3	0	0	0	18	0	3	3	0	1	0	25	0	0
1.9 to 2.9	0	10	1	67	2	35	0	0	0	0	30	37	10	2	49	0	41	0	2	1	3	5	88	38	33	0	1	90	20	0	2	50	0	0	0	93	0	0	0	0	18	0	3	3	0	0	0	25	0	0	0	1	0	48	0	0	0	60	31	36	0	28	0	0	39	0	47	0	1	0	1	42	0	0	0	2	78	47	1	32	0	0	0	1	43	85	0	0	0	0	18	0	3	3	0	0	0	25	0	0
2 to 3	46	12	1	67	2	35	46	30	0	1	30	48	11	2	49	0	41	0	3	1	3	5	88	39	69	2	22	90	20	0	2	50	36	26	2	93	0	1	0	0	59	0	3	3	0	0	1	51	1	1	0	1	1	48	0	0	19	90	31	84	2	33	0	1	84	35	47	44	1	0	51	42	0	0	0	43	78	47	2	32	1	0	40	1	43	85	0	1	0	0	59	0	3	3	0	0	1	51	1	1
2.1 to 3.1	46	12	1	67	2	35	46	30	0	1	30	48	11	2	49	0	41	0	3	1	3	5	88	39	69	2	22	90	20	0	2	50	36	26	2	93	0	1	0	0	59	0	3	3	0	0	1	51	1	1	0	1	1	48	0	0	19	90	31	84	2	33	0	1	84	35	47	44	1	0	51	42	0	0	0	43	78	47	2	32	1	0	40	1	43	85	0	1	0	0	59	0	3	3	0	0	1	51	1	1
2.2 to 3.2	46	12	1	67	2	35	46	30	0	1	30	48	11	2	49	0	41	0	3	1	3	5	88	39	69	2	22	90	20	0	2	50	36	26	2	93	0	1	0	0	59	0	3	3	0	0	1	51	1	1	0	1	1	48	0	0	19	90	31	84	2	33	0	1	84	35	47	44	1	0	51	42	0	0	0	43	78	47	2	32	1	0	40	1	43	85	0	1	0	0	59	0	3	3	0	0	1	51	1	1
2.3 to 3.3	46	23	33	103	41	35	47	31	3	1	31	48	11	44	52	58	42	0	45	1	5	5	91	39	121	22	28	95	20	28	13	59	79	26	2	99	0	2	0	0	59	0	6	6	0	10	2	54	40	43	1	37	46	49	44	0	19	92	31	84	17	37	0	41	84	36	89	44	3	28	51	80	0	40	0	45	119	87	5	99	6	0	40	1	44	86	0	2	0	0	59	0	6	6	0	10	2	54	40	43
2.4 to 3.4	46	23	33	103	41	35	47	31	3	1	31	48	11	44	52	58	42	0	45	1	5	5	91	39	121	22	28	95	20	28	13	59	79	26	2	99	0	2	0	0	59	0	6	6	0	10	2	54	40	43	1	37	46	49	44	0	19	92	31	84	17	37	0	41	84	36	89	44	3	28	51	80	0	40	0	45	119	87	5	99	6	0	40	1	44	86	0	2	0	0	59	0	6	6	0	10	2	54	40	43
2.5 to 3.5	46	22	34	103	79	3	87	31	3	1	31	12	11	81	93	59	45	1	78	2	3	5	50	5	120	22	27	92	2	28	13	59	79	26	2	55	0	35	2	0	57	0	6	6	0	10	2	54	41	43	1	36	72	85	44	1	19	92	34	84	41	37	0	41	84	36	89	44	5	28	50	38	0	40	0	45	119	87	5	98	6	0	42	0	6	86	0	35	2	0	57	0	6	6	0	10	2	54	41	43
2.6 to 3.6	46	22	34	103	79	3	87	31	3	1	31	12	11	81	93	59	45	1	78	2	3	5	50	5	120	22	27	92	2	28	13	59	79	26	2	55	0	35	2	0	57	0	6	6	0	10	2	54	41	43	1	36	72	85	44	1	19	92	34	84	41	37	0	41	84	36	89	44	5	28	50	38	0	40	0	45	119	87	5	98	6	0	42	0	6	86	0	35	2	0	57	0	6	6	0	10	2	54	41	43
2.7 to 3.7	46	14	33	36	77	28	87	31	41	1	2	16	35	79	44	60	90	1	78	1	2	0	3	1	88	22	29	44	0	28	11	14	79	26	2	6	0	69	25	2	41	0	48	3	0	10	34	30	41	45	43	36	72	37	44	2	20	35	3	51	46	28	0	41	45	36	42	44	7	30	50	38	47	41	41	43	41	40	4	98	6	0	42	0	1	1	0	69	25	2	41	0	48	3	0	10	34	30	41	45
2.8 to 3.8	46	14	33	78	77	28	87	31	42	2	2	16	35	79	46	60	90	1	78	1	2	0	3	33	89	22	30	44	0	28	11	56	79	65	2	6	0	69	25	2	41	0	48	3	0	10	34	30	42	78	43	36	72	37	44	2	20	35	3	51	48	56	0	42	45	38	43	44	47	30	95	77	48	41	42	43	69	40	4	98	6	0	43	0	1	1	0	69	25	2	41	0	48	3	0	10	34	30	42	78
2.9 to 3.9	82	14	33	78	77	28	126	31	43	2	2	16	46	81	46	74	90	1	79	1	23	0	39	37	90	61	30	73	0	28	11	65	79	65	2	8	9	69	25	2	49	0	48	3	0	10	61	30	42	78	43	39	72	37	44	2	20	75	3	51	83	56	0	42	57	38	43	44	49	30	131	78	48	41	42	45	69	40	4	99	6	0	44	0	1	1	9	69	25	2	49	0	48	3	0	10	61	30	42	78
3 to 4	37	51	33	116	77	29	80	2	43	1	2	5	45	81	46	74	90	1	79	33	26	0	39	36	54	59	40	73	0	28	51	65	47	39	0	47	10	68	25	2	8	0	48	3	1	10	60	23	41	111	43	39	71	37	72	3	1	45	3	3	81	86	1	42	42	3	43	0	49	30	83	78	48	41	42	4	69	40	3	100	5	6	5	0	1	1	10	68	25	2	8	0	48	3	1	10	60	23	41	111
3.1 to 4.1	37	51	33	116	77	30	80	2	43	1	2	5	45	81	46	74	90	1	79	33	26	8	40	36	54	61	41	73	0	48	51	65	49	39	0	74	11	68	33	2	8	0	48	4	1	10	60	24	50	112	43	39	71	37	73	3	10	45	3	3	83	101	1	43	84	3	45	0	51	31	108	78	48	41	42	4	69	42	3	100	5	7	5	0	1	1	11	68	33	2	8	0	48	4	1	10	60	24	50	112
3.2 to 4.2	37	51	33	116	77	30	80	2	43	1	2	5	45	81	46	74	90	1	79	33	26	8	40	36	54	61	41	73	0	48	51	65	49	39	0	74	11	68	33	2	8	0	48	4	1	10	60	24	50	112	43	39	71	37	73	3	10	45	3	3	83	101	1	43	84	3	45	0	51	31	108	78	48	41	42	4	69	42	3	100	5	7	5	0	1	1	11	68	33	2	8	0	48	4	1	10	60	24	50	112
3.3 to 4.3	37	40	1	80	38	30	79	1	40	1	1	5	45	39	43	16	89	1	37	33	24	8	37	36	2	41	35	68	0	20	40	56	6	39	0	68	11	67	33	2	8	0	45	1	1	0	59	21	11	70	42	3	26	36	29	3	10	43	3	3	68	97	1	3	84	2	3	0	49	3	108	40	48	1	42	2	28	2	0	33	0	7	5	0	0	0	11	67	33	2	8	0	45	1	1	0	59	21	11	70
3.4 to 4.4	37	40	1	80	38	30	79	1	40	1	1	5	45	39	43	16	89	1	37	33	24	8	37	36	2	41	35	68	0	20	40	56	6	39	0	68	11	67	33	2	8	0	45	1	1	0	59	21	11	70	42	3	26	36	29	3	10	43	3	3	68	97	1	3	84	2	3	0	49	3	108	40	48	1	42	2	28	2	0	33	0	7	5	0	0	0	11	67	33	2	8	0	45	1	1	0	59	21	11	70
3.5 to 4.5	37	40	1	107	34	28	62	1	42	2	11	30	47	36	15	15	46	0	6	32	24	8	39	46	2	41	43	51	0	20	78	57	6	39	0	68	11	44	31	2	36	8	45	1	1	0	67	24	10	92	43	3	0	34	35	2	11	43	0	74	44	102	3	37	84	2	7	0	47	6	110	40	78	1	42	3	28	2	3	2	1	7	3	0	23	0	11	44	31	2	36	8	45	1	1	0	67	24	10	92
3.6 to 4.6	37	40	1	107	34	28	62	1	42	2	11	30	47	36	15	15	46	0	6	32	24	8	39	46	2	41	43	51	0	20	78	57	6	39	0	68	11	44	31	2	36	8	45	1	1	0	67	24	10	92	43	3	0	34	35	2	11	43	0	74	44	102	3	37	84	2	7	0	47	6	110	40	78	1	42	3	28	2	3	2	1	7	3	0	23	0	11	44	31	2	36	8	45	1	1	0	67	24	10	92
3.7 to 4.7	37	39	23	109	36	2	63	1	4	2	10	26	13	39	15	14	0	0	7	32	24	8	39	65	5	66	57	51	0	35	86	54	33	39	0	72	28	10	8	1	36	18	0	4	1	1	35	24	10	90	39	3	0	34	35	1	10	41	0	71	39	89	3	37	84	3	10	0	45	10	111	40	31	0	25	3	28	7	5	3	1	42	3	0	23	0	28	10	8	1	36	18	0	4	1	1	35	24	10	90
3.8 to 4.8	37	39	23	67	36	2	63	1	3	1	10	26	13	39	13	14	0	0	7	32	24	8	39	33	4	66	56	51	0	35	86	12	33	0	0	72	28	10	8	1	36	18	0	4	1	1	35	24	9	57	39	3	0	34	35	1	10	41	0	71	37	61	3	36	84	1	9	0	5	10	66	1	30	0	24	3	0	7	5	3	1	42	2	0	23	0	28	10	8	1	36	18	0	4	1	1	35	24	9	57
3.9 to 4.9	1	39	23	67	36	2	24	1	2	1	10	26	2	37	13	0	0	0	6	32	3	8	3	29	3	27	56	22	0	35	86	3	33	0	0	70	19	10	8	1	28	18	0	4	1	1	8	24	9	57	39	0	0	34	35	1	10	1	0	71	2	61	3	36	72	1	9	0	3	10	30	0	30	0	24	1	0	7	5	2	1	42	1	0	23	0	19	10	8	1	28	18	0	4	1	1	8	24	9	57
4 to 5	0	0	23	29	36	1	24	0	2	1	10	26	2	37	13	0	0	0	5	0	0	8	3	29	3	27	25	22	0	35	46	3	29	0	0	31	18	10	8	1	28	18	0	4	0	1	8	5	9	23	39	0	0	34	7	0	10	1	0	71	2	26	2	35	42	1	9	0	3	10	28	0	30	0	24	1	0	7	5	1	1	36	0	0	23	0	18	10	8	1	28	18	0	4	0	1	8	5	9	23
4.1 to 5.1	2	1	23	29	36	0	68	0	2	1	10	32	4	37	62	0	0	0	45	0	0	2	2	29	3	25	24	22	0	15	46	6	27	2	0	4	57	10	0	1	28	18	0	3	0	1	8	5	0	23	39	1	34	34	6	0	1	1	0	72	2	11	2	34	1	2	7	0	1	10	45	18	30	35	71	1	0	6	39	2	1	35	0	0	23	0	57	10	0	1	28	18	0	3	0	1	8	5	0	23
4.2 to 5.2	2	1	23	29	36	0	68	0	2	1	10	32	4	37	62	0	0	0	45	0	0	2	2	29	3	25	24	22	0	15	46	6	27	2	0	4	57	10	0	1	28	18	0	3	0	1	8	5	0	23	39	1	34	34	6	0	1	1	0	72	2	11	2	34	1	2	7	0	1	10	45	18	30	35	71	1	0	6	39	2	1	35	0	0	23	0	57	10	0	1	28	18	0	3	0	1	8	5	0	23
4.3 to 5.3	2	1	23	29	36	0	68	0	2	1	10	32	4	37	62	0	0	0	45	0	0	2	2	29	3	25	24	22	0	15	46	6	27	2	0	4	57	10	0	1	28	18	0	3	0	1	8	5	0	23	39	1	34	34	6	0	1	1	0	72	2	11	2	34	1	2	7	0	1	10	45	18	30	35	71	1	0	6	39	2	1	35	0	0	23	0	57	10	0	1	28	18	0	3	0	1	8	5	0	23
4.4 to 5.4	43	1	26	34	79	16	110	0	39	1	10	43	4	40	62	0	34	2	54	0	11	16	2	30	44	73	26	68	0	43	47	50	58	4	18	6	140	17	0	2	68	18	81	3	0	1	9	24	2	61	82	1	34	34	33	74	22	1	5	75	4	16	26	73	14	2	43	0	37	24	47	18	30	35	71	39	2	7	69	38	3	45	2	0	53	43	140	17	0	2	68	18	81	3	0	1	9	24	2	61
4.5 to 5.5	43	1	25	8	45	18	87	0	37	0	0	17	2	6	50	0	34	2	50	3	11	16	0	20	78	104	18	46	0	43	44	85	68	5	42	41	140	30	0	2	41	10	81	3	0	1	1	22	2	40	81	1	35	0	27	74	21	1	5	4	4	12	25	39	16	2	40	0	36	21	81	19	0	35	71	79	2	7	66	38	2	46	2	0	30	43	140	30	0	2	41	10	81	3	0	1	1	22	2	40
4.6 to 5.6	43	30	25	8	45	20	87	0	38	0	34	17	5	6	92	0	36	2	50	3	11	16	0	20	78	104	20	46	0	43	75	86	69	5	42	41	140	32	0	2	41	11	82	34	0	1	1	37	2	41	83	38	35	0	69	74	21	1	5	47	31	13	50	40	16	2	76	0	38	22	120	19	0	35	72	79	2	7	66	38	2	46	2	0	30	87	140	32	0	2	41	11	82	34	0	1	1	37	2	41
4.7 to 5.7	43	30	3	6	43	20	86	0	38	0	34	17	5	3	92	0	36	2	49	3	11	16	0	1	75	79	4	46	0	28	67	85	42	5	42	37	123	32	0	1	41	1	82	31	0	0	1	37	2	41	45	38	35	0	69	74	21	0	5	47	31	7	50	40	16	1	73	0	38	16	119	19	0	35	48	79	2	2	64	37	2	11	2	0	30	87	123	32	0	1	41	1	82	31	0	0	1	37	2	41
4.8 to 5.8	43	55	3	32	44	20	86	0	38	0	34	17	6	7	129	0	59	2	65	3	39	16	26	1	75	79	26	46	0	41	67	85	63	5	43	37	125	32	1	1	41	1	88	32	0	0	1	57	2	64	45	75	35	0	69	74	21	0	5	47	34	7	74	40	16	2	73	0	38	16	119	19	0	39	50	84	2	2	65	37	5	11	2	0	48	87	125	32	1	1	41	1	88	32	0	0	1	57	2	64
4.9 to 5.9	43	55	3	32	44	20	86	0	38	0	34	17	6	7	129	0	59	2	65	3	39	16	26	1	75	79	26	46	0	41	67	85	63	5	43	37	125	32	1	1	41	1	88	32	0	0	1	57	2	64	45	75	35	0	69	74	21	0	5	47	34	7	74	40	16	2	73	0	38	16	119	19	0	39	50	84	2	2	65	37	5	11	2	0	48	87	125	32	1	1	41	1	88	32	0	0	1	57	2	64
5 to 6	43	55	3	32	44	20	86	0	38	0	34	17	6	7	129	0	59	2	65	3	39	16	26	1	75	79	26	46	0	41	67	85	63	5	43	37	125	32	1	1	41	1	88	32	0	0	1	57	2	64	45	75	35	0	69	74	21	0	5	47	34	7	74	40	16	2	73	0	38	16	119	19	0	39	50	84	2	2	65	37	5	11	2	0	48	87	125	32	1	1	41	1	88	32	0	0	1	57	2	64
5.1 to 6.1	42	54	6	32	44	21	42	0	38	0	34	40	6	7	80	2	59	4	51	3	39	14	27	1	75	115	26	46	0	41	67	82	65	4	43	75	85	32	1	1	42	1	133	69	0	0	1	86	33	63	45	74	1	0	69	74	21	0	5	89	32	7	111	71	50	2	76	0	39	35	79	1	0	29	3	84	2	7	35	36	5	11	2	0	49	87	85	32	1	1	42	1	133	69	0	0	1	86	33	63
5.2 to 6.2	42	56	6	34	44	21	46	0	40	0	34	40	6	40	108	3	98	5	52	3	39	16	27	1	80	118	30	47	0	42	67	82	104	5	43	112	85	32	1	1	42	1	137	70	0	0	1	86	33	64	45	74	3	0	69	74	21	0	5	134	32	42	111	71	50	2	76	7	42	35	81	1	40	29	3	84	2	9	36	38	9	11	2	36	49	128	85	32	1	1	42	1	137	70	0	0	1	86	33	64
5.3 to 6.3	42	64	6	34	44	21	49	0	60	0	34	46	14	64	111	6	100	5	58	4	41	16	29	1	143	118	34	53	0	42	67	86	104	5	72	112	87	32	58	1	43	1	137	74	0	1	29	91	37	64	45	75	6	0	69	74	21	0	5	172	37	56	111	71	63	2	76	7	43	47	87	7	42	30	48	86	2	9	36	39	10	40	2	36	73	152	87	32	58	1	43	1	137	74	0	1	29	91	37	64
5.4 to 6.4	1	64	3	63	1	5	47	0	23	0	57	35	14	61	111	6	66	3	49	4	30	2	29	0	102	108	35	7	0	19	66	42	102	4	54	113	38	25	58	0	4	1	56	74	0	1	28	74	35	26	2	76	6	0	43	0	0	0	3	170	56	51	87	33	90	3	42	7	7	33	86	7	44	30	48	48	0	8	6	3	8	30	0	36	48	109	38	25	58	0	4	1	56	74	0	1	28	74	35	26
5.5 to 6.5	1	64	3	62	1	3	47	0	23	0	57	35	14	61	110	6	66	3	49	1	30	2	29	0	68	77	35	7	0	19	31	5	92	3	30	78	38	2	58	0	3	1	56	74	0	1	28	72	35	25	2	76	5	0	43	0	0	0	3	170	56	50	86	33	88	3	41	7	7	33	50	6	44	30	48	7	0	8	6	3	8	29	0	36	48	109	38	2	58	0	3	1	56	74	0	1	28	72	35	25
5.6 to 6.6	1	35	3	62	1	1	88	35	23	19	25	35	11	62	105	6	64	39	49	30	30	2	29	0	68	77	33	7	0	19	0	8	91	3	30	78	41	0	58	0	3	0	55	43	0	1	28	57	35	24	0	42	21	0	2	0	0	0	3	127	29	84	93	32	89	3	5	8	9	32	17	6	79	30	47	7	0	10	9	4	8	29	0	36	48	65	41	0	58	0	3	0	55	43	0	1	28	57	35	24
5.7 to 6.7	1	35	3	62	1	1	88	35	23	19	25	35	11	62	105	6	64	39	49	30	30	2	29	0	68	77	33	7	0	19	0	8	91	3	30	78	41	0	58	0	3	0	55	43	0	1	28	57	35	24	0	42	21	0	2	0	0	0	3	127	29	84	93	32	89	3	5	8	9	32	17	6	79	30	47	7	0	10	9	4	8	29	0	36	48	65	41	0	58	0	3	0	55	43	0	1	28	57	35	24
