timing	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
0.5 to 1.5	19	6	0	22	0	40	12	0	6	10	8	0	1	7	6	3	0	3	0	0	0	19	6	0	22	0	40	12	0	6	10	8	0	1	7	6	3	0	3	0	0	0	19	6	0	22	0	40	12	0	6	10	8	0	1	7	6	3	0	3	0	0	0	19	6	0	22	0	40	12	0	6	10	8	0	1	7	6	3	0	3	0	0	0	19	6	0	22	0	40	12	0	6	10	8	0	1	7	6	3
0.6 to 1.6	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4	3	3	0	0	0	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4	3	3	0	0	0	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4	3	3	0	0	0	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4	3	3	0	0	0	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4
0.7 to 1.7	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4	3	3	0	0	0	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4	3	3	0	0	0	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4	3	3	0	0	0	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4	3	3	0	0	0	22	6	1	22	0	40	12	0	6	10	8	0	2	7	7	4
0.8 to 1.8	35	20	19	22	43	55	16	36	6	13	8	0	5	7	8	31	5	5	19	0	19	35	20	19	22	43	55	16	36	6	13	8	0	5	7	8	31	5	5	19	0	19	35	20	19	22	43	55	16	36	6	13	8	0	5	7	8	31	5	5	19	0	19	35	20	19	22	43	55	16	36	6	13	8	0	5	7	8	31	5	5	19	0	19	35	20	19	22	43	55	16	36	6	13	8	0	5	7	8	31
0.9 to 1.9	35	24	19	22	43	55	16	36	7	14	8	0	6	7	8	31	5	5	19	0	21	35	24	19	22	43	55	16	36	7	14	8	0	6	7	8	31	5	5	19	0	21	35	24	19	22	43	55	16	36	7	14	8	0	6	7	8	31	5	5	19	0	21	35	24	19	22	43	55	16	36	7	14	8	0	6	7	8	31	5	5	19	0	21	35	24	19	22	43	55	16	36	7	14	8	0	6	7	8	31
1 to 2	19	24	23	8	52	44	22	39	19	30	8	14	5	1	4	56	12	5	21	8	42	19	24	23	8	52	44	22	39	19	30	8	14	5	1	4	56	12	5	21	8	42	19	24	23	8	52	44	22	39	19	30	8	14	5	1	4	56	12	5	21	8	42	19	24	23	8	52	44	22	39	19	30	8	14	5	1	4	56	12	5	21	8	42	19	24	23	8	52	44	22	39	19	30	8	14	5	1	4	56
1.1 to 2.1	19	29	24	8	52	46	22	41	20	31	8	14	5	3	4	56	12	9	21	9	43	19	29	24	8	52	46	22	41	20	31	8	14	5	3	4	56	12	9	21	9	43	19	29	24	8	52	46	22	41	20	31	8	14	5	3	4	56	12	9	21	9	43	19	29	24	8	52	46	22	41	20	31	8	14	5	3	4	56	12	9	21	9	43	19	29	24	8	52	46	22	41	20	31	8	14	5	3	4	56
1.2 to 2.2	30	33	26	20	67	47	22	41	20	33	26	14	6	5	5	56	12	19	30	10	44	30	33	26	20	67	47	22	41	20	33	26	14	6	5	5	56	12	19	30	10	44	30	33	26	20	67	47	22	41	20	33	26	14	6	5	5	56	12	19	30	10	44	30	33	26	20	67	47	22	41	20	33	26	14	6	5	5	56	12	19	30	10	44	30	33	26	20	67	47	22	41	20	33	26	14	6	5	5	56
1.3 to 2.3	30	33	39	20	85	48	22	49	31	33	30	23	6	5	13	61	12	30	30	26	44	30	33	39	20	85	48	22	49	31	33	30	23	6	5	13	61	12	30	30	26	44	30	33	39	20	85	48	22	49	31	33	30	23	6	5	13	61	12	30	30	26	44	30	33	39	20	85	48	22	49	31	33	30	23	6	5	13	61	12	30	30	26	44	30	33	39	20	85	48	22	49	31	33	30	23	6	5	13	61
1.4 to 2.4	36	33	39	27	94	27	10	49	26	24	22	32	12	5	15	60	13	29	30	26	44	36	33	39	27	94	27	10	49	26	24	22	32	12	5	15	60	13	29	30	26	44	36	33	39	27	94	27	10	49	26	24	22	32	12	5	15	60	13	29	30	26	44	36	33	39	27	94	27	10	49	26	24	22	32	12	5	15	60	13	29	30	26	44	36	33	39	27	94	27	10	49	26	24	22	32	12	5	15	60
1.5 to 2.5	49	34	58	31	105	56	40	57	46	24	57	38	13	17	15	62	16	34	80	31	47	49	34	58	31	105	56	40	57	46	24	57	38	13	17	15	62	16	34	80	31	47	49	34	58	31	105	56	40	57	46	24	57	38	13	17	15	62	16	34	80	31	47	49	34	58	31	105	56	40	57	46	24	57	38	13	17	15	62	16	34	80	31	47	49	34	58	31	105	56	40	57	46	24	57	38	13	17	15	62
1.6 to 2.6	46	34	57	31	105	56	40	57	46	24	57	38	12	17	14	61	13	34	80	31	47	46	34	57	31	105	56	40	57	46	24	57	38	12	17	14	61	13	34	80	31	47	46	34	57	31	105	56	40	57	46	24	57	38	12	17	14	61	13	34	80	31	47	46	34	57	31	105	56	40	57	46	24	57	38	12	17	14	61	13	34	80	31	47	46	34	57	31	105	56	40	57	46	24	57	38	12	17	14	61
1.7 to 2.7	54	38	57	31	105	56	41	57	46	36	57	44	14	17	14	62	13	34	82	31	47	54	38	57	31	105	56	41	57	46	36	57	44	14	17	14	62	13	34	82	31	47	54	38	57	31	105	56	41	57	46	36	57	44	14	17	14	62	13	34	82	31	47	54	38	57	31	105	56	41	57	46	36	57	44	14	17	14	62	13	34	82	31	47	54	38	57	31	105	56	41	57	46	36	57	44	14	17	14	62
1.8 to 2.8	41	24	39	31	62	41	37	21	46	33	57	44	11	17	13	35	11	32	63	31	28	41	24	39	31	62	41	37	21	46	33	57	44	11	17	13	35	11	32	63	31	28	41	24	39	31	62	41	37	21	46	33	57	44	11	17	13	35	11	32	63	31	28	41	24	39	31	62	41	37	21	46	33	57	44	11	17	13	35	11	32	63	31	28	41	24	39	31	62	41	37	21	46	33	57	44	11	17	13	35
1.9 to 2.9	65	27	48	31	90	43	38	21	86	72	68	65	14	59	13	35	11	32	63	33	26	65	27	48	31	90	43	38	21	86	72	68	65	14	59	13	35	11	32	63	33	26	65	27	48	31	90	43	38	21	86	72	68	65	14	59	13	35	11	32	63	33	26	65	27	48	31	90	43	38	21	86	72	68	65	14	59	13	35	11	32	63	33	26	65	27	48	31	90	43	38	21	86	72	68	65	14	59	13	35
2 to 3	103	55	59	23	88	50	32	35	77	61	87	52	38	58	32	30	15	33	97	25	5	103	55	59	23	88	50	32	35	77	61	87	52	38	58	32	30	15	33	97	25	5	103	55	59	23	88	50	32	35	77	61	87	52	38	58	32	30	15	33	97	25	5	103	55	59	23	88	50	32	35	77	61	87	52	38	58	32	30	15	33	97	25	5	103	55	59	23	88	50	32	35	77	61	87	52	38	58	32	30
2.1 to 3.1	107	66	58	38	137	48	45	34	99	107	110	59	42	103	33	31	17	73	97	26	14	107	66	58	38	137	48	45	34	99	107	110	59	42	103	33	31	17	73	97	26	14	107	66	58	38	137	48	45	34	99	107	110	59	42	103	33	31	17	73	97	26	14	107	66	58	38	137	48	45	34	99	107	110	59	42	103	33	31	17	73	97	26	14	107	66	58	38	137	48	45	34	99	107	110	59	42	103	33	31
2.2 to 3.2	104	66	64	26	122	47	45	48	104	109	92	62	48	101	33	31	23	64	90	29	18	104	66	64	26	122	47	45	48	104	109	92	62	48	101	33	31	23	64	90	29	18	104	66	64	26	122	47	45	48	104	109	92	62	48	101	33	31	23	64	90	29	18	104	66	64	26	122	47	45	48	104	109	92	62	48	101	33	31	23	64	90	29	18	104	66	64	26	122	47	45	48	104	109	92	62	48	101	33	31
2.3 to 3.3	104	66	51	26	104	46	45	40	93	109	88	53	48	101	25	26	23	53	90	13	18	104	66	51	26	104	46	45	40	93	109	88	53	48	101	25	26	23	53	90	13	18	104	66	51	26	104	46	45	40	93	109	88	53	48	101	25	26	23	53	90	13	18	104	66	51	26	104	46	45	40	93	109	88	53	48	101	25	26	23	53	90	13	18	104	66	51	26	104	46	45	40	93	109	88	53	48	101	25	26
2.4 to 3.4	98	61	51	19	95	46	45	40	92	108	88	44	42	101	23	24	22	53	90	13	18	98	61	51	19	95	46	45	40	92	108	88	44	42	101	23	24	22	53	90	13	18	98	61	51	19	95	46	45	40	92	108	88	44	42	101	23	24	22	53	90	13	18	98	61	51	19	95	46	45	40	92	108	88	44	42	101	23	24	22	53	90	13	18	98	61	51	19	95	46	45	40	92	108	88	44	42	101	23	24
2.5 to 3.5	87	61	37	20	97	19	24	32	72	121	53	46	61	94	27	23	19	53	41	9	23	87	61	37	20	97	19	24	32	72	121	53	46	61	94	27	23	19	53	41	9	23	87	61	37	20	97	19	24	32	72	121	53	46	61	94	27	23	19	53	41	9	23	87	61	37	20	97	19	24	32	72	121	53	46	61	94	27	23	19	53	41	9	23	87	61	37	20	97	19	24	32	72	121	53	46	61	94	27	23
2.6 to 3.6	87	63	40	21	97	30	24	33	72	128	53	50	61	96	27	23	22	53	49	9	23	87	63	40	21	97	30	24	33	72	128	53	50	61	96	27	23	22	53	49	9	23	87	63	40	21	97	30	24	33	72	128	53	50	61	96	27	23	22	53	49	9	23	87	63	40	21	97	30	24	33	72	128	53	50	61	96	27	23	22	53	49	9	23	87	63	40	21	97	30	24	33	72	128	53	50	61	96	27	23
2.7 to 3.7	79	59	40	21	97	30	23	33	72	116	53	44	59	96	27	22	22	53	47	9	23	79	59	40	21	97	30	23	33	72	116	53	44	59	96	27	22	22	53	47	9	23	79	59	40	21	97	30	23	33	72	116	53	44	59	96	27	22	22	53	47	9	23	79	59	40	21	97	30	23	33	72	116	53	44	59	96	27	22	22	53	47	9	23	79	59	40	21	97	30	23	33	72	116	53	44	59	96	27	22
2.8 to 3.8	81	61	40	29	97	30	24	33	91	118	54	55	59	96	27	22	40	54	52	9	37	81	61	40	29	97	30	24	33	91	118	54	55	59	96	27	22	40	54	52	9	37	81	61	40	29	97	30	24	33	91	118	54	55	59	96	27	22	40	54	52	9	37	81	61	40	29	97	30	24	33	91	118	54	55	59	96	27	22	40	54	52	9	37	81	61	40	29	97	30	24	33	91	118	54	55	59	96	27	22
2.9 to 3.9	65	63	35	54	91	36	62	38	94	78	50	73	63	54	72	31	90	94	54	14	50	65	63	35	54	91	36	62	38	94	78	50	73	63	54	72	31	90	94	54	14	50	65	63	35	54	91	36	62	38	94	78	50	73	63	54	72	31	90	94	54	14	50	65	63	35	54	91	36	62	38	94	78	50	73	63	54	72	31	90	94	54	14	50	65	63	35	54	91	36	62	38	94	78	50	73	63	54	72	31
3 to 4	24	34	20	54	84	21	62	21	91	73	31	72	39	54	51	11	79	91	18	14	50	24	34	20	54	84	21	62	21	91	73	31	72	39	54	51	11	79	91	18	14	50	24	34	20	54	84	21	62	21	91	73	31	72	39	54	51	11	79	91	18	14	50	24	34	20	54	84	21	62	21	91	73	31	72	39	54	51	11	79	91	18	14	50	24	34	20	54	84	21	62	21	91	73	31	72	39	54	51	11
3.1 to 4.1	22	34	20	40	60	21	49	20	71	36	11	67	44	22	60	13	79	55	18	12	40	22	34	20	40	60	21	49	20	71	36	11	67	44	22	60	13	79	55	18	12	40	22	34	20	40	60	21	49	20	71	36	11	67	44	22	60	13	79	55	18	12	40	22	34	20	40	60	21	49	20	71	36	11	67	44	22	60	13	79	55	18	12	40	22	34	20	40	60	21	49	20	71	36	11	67	44	22	60	13
3.2 to 4.2	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24
3.3 to 4.3	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24
3.4 to 4.4	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24	74	54	16	9	35	22	39	12	40	62	21	49	8	66	32	12	64	40	25	60	24
3.5 to 4.5	20	38	7	35	49	19	40	8	66	19	12	56	20	20	56	23	74	49	15	8	27	20	38	7	35	49	19	40	8	66	19	12	56	20	20	56	23	74	49	15	8	27	20	38	7	35	49	19	40	8	66	19	12	56	20	20	56	23	74	49	15	8	27	20	38	7	35	49	19	40	8	66	19	12	56	20	20	56	23	74	49	15	8	27	20	38	7	35	49	19	40	8	66	19	12	56	20	20	56	23
3.6 to 4.6	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42	148	98	26	17	46	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42	148	98	26	17	46	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42	148	98	26	17	46	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42	148	98	26	17	46	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42
3.7 to 4.7	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42	148	98	26	17	46	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42	148	98	26	17	46	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42	148	98	26	17	46	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42	148	98	26	17	46	52	73	9	35	73	23	56	60	119	21	26	71	38	19	91	42
3.8 to 4.8	63	78	18	27	81	32	56	76	103	22	45	60	41	19	105	47	131	99	31	27	33	63	78	18	27	81	32	56	76	103	22	45	60	41	19	105	47	131	99	31	27	33	63	78	18	27	81	32	56	76	103	22	45	60	41	19	105	47	131	99	31	27	33	63	78	18	27	81	32	56	76	103	22	45	60	41	19	105	47	131	99	31	27	33	63	78	18	27	81	32	56	76	103	22	45	60	41	19	105	47
3.9 to 4.9	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38	81	59	29	20	20	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38	81	59	29	20	20	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38	81	59	29	20	20	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38	81	59	29	20	20	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38
4 to 5	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38	81	59	29	20	20	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38	81	59	29	20	20	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38	81	59	29	20	20	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38	81	59	29	20	20	55	69	14	2	59	24	17	71	59	22	38	21	33	19	60	38
4.1 to 5.1	60	56	21	21	36	30	17	71	56	14	50	28	27	4	52	37	87	54	30	21	24	60	56	21	21	36	30	17	71	56	14	50	28	27	4	52	37	87	54	30	21	24	60	56	21	21	36	30	17	71	56	14	50	28	27	4	52	37	87	54	30	21	24	60	56	21	21	36	30	17	71	56	14	50	28	27	4	52	37	87	54	30	21	24	60	56	21	21	36	30	17	71	56	14	50	28	27	4	52	37
4.2 to 5.2	52	47	21	21	34	30	17	69	56	14	49	28	24	1	51	26	86	54	30	20	24	52	47	21	21	34	30	17	69	56	14	49	28	24	1	51	26	86	54	30	20	24	52	47	21	21	34	30	17	69	56	14	49	28	24	1	51	26	86	54	30	20	24	52	47	21	21	34	30	17	69	56	14	49	28	24	1	51	26	86	54	30	20	24	52	47	21	21	34	30	17	69	56	14	49	28	24	1	51	26
4.3 to 5.3	54	47	21	35	49	31	19	71	56	16	49	33	25	1	63	26	88	58	34	23	24	54	47	21	35	49	31	19	71	56	16	49	33	25	1	63	26	88	58	34	23	24	54	47	21	35	49	31	19	71	56	16	49	33	25	1	63	26	88	58	34	23	24	54	47	21	35	49	31	19	71	56	16	49	33	25	1	63	26	88	58	34	23	24	54	47	21	35	49	31	19	71	56	16	49	33	25	1	63	26
4.4 to 5.4	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27	96	71	38	26	25	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27	96	71	38	26	25	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27	96	71	38	26	25	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27	96	71	38	26	25	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27
4.5 to 5.5	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27	96	71	38	26	25	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27	96	71	38	26	25	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27	96	71	38	26	25	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27	96	71	38	26	25	82	57	22	49	55	31	34	72	84	23	50	33	35	7	73	27
4.6 to 5.6	71	25	19	51	32	27	18	37	34	34	40	18	27	13	38	13	50	23	45	26	6	71	25	19	51	32	27	18	37	34	34	40	18	27	13	38	13	50	23	45	26	6	71	25	19	51	32	27	18	37	34	34	40	18	27	13	38	13	50	23	45	26	6	71	25	19	51	32	27	18	37	34	34	40	18	27	13	38	13	50	23	45	26	6	71	25	19	51	32	27	18	37	34	34	40	18	27	13	38	13
4.7 to 5.7	80	25	21	52	33	32	28	41	34	35	44	19	33	13	38	13	57	27	59	30	6	80	25	21	52	33	32	28	41	34	35	44	19	33	13	38	13	57	27	59	30	6	80	25	21	52	33	32	28	41	34	35	44	19	33	13	38	13	57	27	59	30	6	80	25	21	52	33	32	28	41	34	35	44	19	33	13	38	13	57	27	59	30	6	80	25	21	52	33	32	28	41	34	35	44	19	33	13	38	13
4.8 to 5.8	67	18	12	52	25	23	27	25	31	32	24	19	30	13	24	8	56	25	49	20	5	67	18	12	52	25	23	27	25	31	32	24	19	30	13	24	8	56	25	49	20	5	67	18	12	52	25	23	27	25	31	32	24	19	30	13	24	8	56	25	49	20	5	67	18	12	52	25	23	27	25	31	32	24	19	30	13	24	8	56	25	49	20	5	67	18	12	52	25	23	27	25	31	32	24	19	30	13	24	8
4.9 to 5.9	85	31	14	58	29	36	54	38	77	39	38	33	39	63	42	19	98	74	62	29	25	85	31	14	58	29	36	54	38	77	39	38	33	39	63	42	19	98	74	62	29	25	85	31	14	58	29	36	54	38	77	39	38	33	39	63	42	19	98	74	62	29	25	85	31	14	58	29	36	54	38	77	39	38	33	39	63	42	19	98	74	62	29	25	85	31	14	58	29	36	54	38	77	39	38	33	39	63	42	19
5 to 6	90	35	15	78	38	48	79	39	107	44	46	33	53	77	59	40	103	78	68	39	29	90	35	15	78	38	48	79	39	107	44	46	33	53	77	59	40	103	78	68	39	29	90	35	15	78	38	48	79	39	107	44	46	33	53	77	59	40	103	78	68	39	29	90	35	15	78	38	48	79	39	107	44	46	33	53	77	59	40	103	78	68	39	29	90	35	15	78	38	48	79	39	107	44	46	33	53	77	59	40
5.1 to 6.1	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51	99	82	67	39	26	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51	99	82	67	39	26	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51	99	82	67	39	26	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51	99	82	67	39	26	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51
5.2 to 6.2	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51	99	82	67	39	26	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51	99	82	67	39	26	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51	99	82	67	39	26	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51	99	82	67	39	26	90	35	9	61	38	42	79	46	113	48	35	30	50	90	58	51
5.3 to 6.3	88	35	9	47	23	41	77	44	113	46	35	25	49	90	46	51	97	78	63	36	26	88	35	9	47	23	41	77	44	113	46	35	25	49	90	46	51	97	78	63	36	26	88	35	9	47	23	41	77	44	113	46	35	25	49	90	46	51	97	78	63	36	26	88	35	9	47	23	41	77	44	113	46	35	25	49	90	46	51	97	78	63	36	26	88	35	9	47	23	41	77	44	113	46	35	25	49	90	46	51
5.4 to 6.4	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50	89	65	59	33	25	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50	89	65	59	33	25	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50	89	65	59	33	25	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50	89	65	59	33	25	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50
5.5 to 6.5	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50	89	65	59	33	25	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50	89	65	59	33	25	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50	89	65	59	33	25	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50	89	65	59	33	25	60	25	8	33	17	41	62	43	85	39	34	25	39	84	36	50
5.6 to 6.6	39	20	6	30	16	30	62	25	82	19	30	21	29	77	36	45	58	64	33	24	25	39	20	6	30	16	30	62	25	82	19	30	21	29	77	36	45	58	64	33	24	25	39	20	6	30	16	30	62	25	82	19	30	21	29	77	36	45	58	64	33	24	25	39	20	6	30	16	30	62	25	82	19	30	21	29	77	36	45	58	64	33	24	25	39	20	6	30	16	30	62	25	82	19	30	21	29	77	36	45
5.7 to 6.7	70	60	6	29	28	61	59	33	104	62	41	43	61	100	44	55	58	102	28	33	59	70	60	6	29	28	61	59	33	104	62	41	43	61	100	44	55	58	102	28	33	59	70	60	6	29	28	61	59	33	104	62	41	43	61	100	44	55	58	102	28	33	59	70	60	6	29	28	61	59	33	104	62	41	43	61	100	44	55	58	102	28	33	59	70	60	6	29	28	61	59	33	104	62	41	43	61	100	44	55
