1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
2.2 to 3.2	292	371	231	235	205	283	257	238	194	182	312	228	302	452	315	110	374	185	290	311	224	232	160	171	139	253	206	139	182	312	228	302	452	315	110	374	185	290	311	224	232	160	171	139	253	206	139	182	312	228	302	452	315	110	374	185	290	311	224	232	160	171	139	253	206	139	182	312	228	302	452	315	110	374	185	290	311	224	232	160	171	139	253	206	139	182	312	228	302	452	315	110	374	185	290	311	224	232	160	171
2.3 to 3.3	212	255	139	172	175	230	203	180	167	156	253	171	241	313	198	73	273	106	216	207	167	190	59	142	126	193	146	103	156	253	171	241	313	198	73	273	106	216	207	167	190	59	142	126	193	146	103	156	253	171	241	313	198	73	273	106	216	207	167	190	59	142	126	193	146	103	156	253	171	241	313	198	73	273	106	216	207	167	190	59	142	126	193	146	103	156	253	171	241	313	198	73	273	106	216	207	167	190	59	142
2.4 to 3.4	176	215	185	131	170	201	238	181	195	170	229	152	224	273	181	76	245	113	194	210	157	145	63	117	79	164	131	99	170	229	152	224	273	181	76	245	113	194	210	157	145	63	117	79	164	131	99	170	229	152	224	273	181	76	245	113	194	210	157	145	63	117	79	164	131	99	170	229	152	224	273	181	76	245	113	194	210	157	145	63	117	79	164	131	99	170	229	152	224	273	181	76	245	113	194	210	157	145	63	117
2.5 to 3.5	237	259	210	174	236	305	322	249	306	208	273	153	295	363	242	85	273	164	217	308	167	235	114	187	99	223	142	123	208	273	153	295	363	242	85	273	164	217	308	167	235	114	187	99	223	142	123	208	273	153	295	363	242	85	273	164	217	308	167	235	114	187	99	223	142	123	208	273	153	295	363	242	85	273	164	217	308	167	235	114	187	99	223	142	123	208	273	153	295	363	242	85	273	164	217	308	167	235	114	187
2.6 to 3.6	276	259	232	194	249	355	372	285	352	248	307	179	345	363	242	135	323	164	267	320	167	285	114	220	128	256	192	123	248	307	179	345	363	242	135	323	164	267	320	167	285	114	220	128	256	192	123	248	307	179	345	363	242	135	323	164	267	320	167	285	114	220	128	256	192	123	248	307	179	345	363	242	135	323	164	267	320	167	285	114	220	128	256	192	123	248	307	179	345	363	242	135	323	164	267	320	167	285	114	220
2.7 to 3.7	314	206	204	141	172	273	323	271	283	168	233	170	257	268	243	156	226	161	201	291	190	252	118	195	149	171	165	165	168	233	170	257	268	243	156	226	161	201	291	190	252	118	195	149	171	165	165	168	233	170	257	268	243	156	226	161	201	291	190	252	118	195	149	171	165	165	168	233	170	257	268	243	156	226	161	201	291	190	252	118	195	149	171	165	165	168	233	170	257	268	243	156	226	161	201	291	190	252	118	195
2.8 to 3.8	326	241	182	100	157	270	283	258	317	177	230	174	260	269	222	138	225	160	209	241	182	259	108	188	163	196	163	146	177	230	174	260	269	222	138	225	160	209	241	182	259	108	188	163	196	163	146	177	230	174	260	269	222	138	225	160	209	241	182	259	108	188	163	196	163	146	177	230	174	260	269	222	138	225	160	209	241	182	259	108	188	163	196	163	146	177	230	174	260	269	222	138	225	160	209	241	182	259	108	188
2.9 to 3.9	394	267	229	100	164	296	305	283	345	222	292	195	276	344	256	151	267	217	244	275	220	287	136	207	236	270	205	224	222	292	195	276	344	256	151	267	217	244	275	220	287	136	207	236	270	205	224	222	292	195	276	344	256	151	267	217	244	275	220	287	136	207	236	270	205	224	222	292	195	276	344	256	151	267	217	244	275	220	287	136	207	236	270	205	224	222	292	195	276	344	256	151	267	217	244	275	220	287	136	207
3 to 4	444	257	258	140	130	318	291	299	385	265	340	148	249	361	267	208	245	267	237	288	308	340	146	230	255	280	228	252	265	340	148	249	361	267	208	245	267	237	288	308	340	146	230	255	280	228	252	265	340	148	249	361	267	208	245	267	237	288	308	340	146	230	255	280	228	252	265	340	148	249	361	267	208	245	267	237	288	308	340	146	230	255	280	228	252	265	340	148	249	361	267	208	245	267	237	288	308	340	146	230
3.1 to 4.1	465	207	222	128	126	328	325	304	407	286	347	140	243	359	314	207	225	265	195	289	303	322	149	249	242	278	199	275	286	347	140	243	359	314	207	225	265	195	289	303	322	149	249	242	278	199	275	286	347	140	243	359	314	207	225	265	195	289	303	322	149	249	242	278	199	275	286	347	140	243	359	314	207	225	265	195	289	303	322	149	249	242	278	199	275	286	347	140	243	359	314	207	225	265	195	289	303	322	149	249
3.2 to 4.2	416	215	224	131	115	316	278	265	403	256	325	90	225	327	302	192	175	252	203	251	265	317	150	238	250	253	183	254	256	325	90	225	327	302	192	175	252	203	251	265	317	150	238	250	253	183	254	256	325	90	225	327	302	192	175	252	203	251	265	317	150	238	250	253	183	254	256	325	90	225	327	302	192	175	252	203	251	265	317	150	238	250	253	183	254	256	325	90	225	327	302	192	175	252	203	251	265	317	150	238
3.3 to 4.3	474	266	254	139	189	324	325	304	441	299	375	115	249	378	351	243	184	313	267	297	305	366	171	332	263	277	224	339	299	375	115	249	378	351	243	184	313	267	297	305	366	171	332	263	277	224	339	299	375	115	249	378	351	243	184	313	267	297	305	366	171	332	263	277	224	339	299	375	115	249	378	351	243	184	313	267	297	305	366	171	332	263	277	224	339	299	375	115	249	378	351	243	184	313	267	297	305	366	171	332
3.4 to 4.4	473	258	204	134	180	316	275	302	391	285	363	115	249	378	331	237	174	306	261	294	297	366	167	331	263	277	202	339	285	363	115	249	378	331	237	174	306	261	294	297	366	167	331	263	277	202	339	285	363	115	249	378	331	237	174	306	261	294	297	366	167	331	263	277	202	339	285	363	115	249	378	331	237	174	306	261	294	297	366	167	331	263	277	202	339	285	363	115	249	378	331	237	174	306	261	294	297	366	167	331
3.5 to 4.5	422	264	225	97	119	212	223	248	315	263	351	141	192	288	286	264	149	285	238	209	333	314	125	274	283	229	239	361	263	351	141	192	288	286	264	149	285	238	209	333	314	125	274	283	229	239	361	263	351	141	192	288	286	264	149	285	238	209	333	314	125	274	283	229	239	361	263	351	141	192	288	286	264	149	285	238	209	333	314	125	274	283	229	239	361	263	351	141	192	288	286	264	149	285	238	209	333	314	125	274
3.6 to 4.6	417	286	247	79	155	253	217	246	317	256	337	159	153	356	373	244	99	371	244	221	398	324	178	280	297	256	262	435	256	337	159	153	356	373	244	99	371	244	221	398	324	178	280	297	256	262	435	256	337	159	153	356	373	244	99	371	244	221	398	324	178	280	297	256	262	435	256	337	159	153	356	373	244	99	371	244	221	398	324	178	280	297	256	262	435	256	337	159	153	356	373	244	99	371	244	221	398	324	178	280
3.7 to 4.7	357	268	264	65	169	247	262	171	303	264	341	202	158	374	310	266	128	403	224	186	350	300	174	284	304	293	297	441	264	341	202	158	374	310	266	128	403	224	186	350	300	174	284	304	293	297	441	264	341	202	158	374	310	266	128	403	224	186	350	300	174	284	304	293	297	441	264	341	202	158	374	310	266	128	403	224	186	350	300	174	284	304	293	297	441	264	341	202	158	374	310	266	128	403	224	186	350	300	174	284
3.8 to 4.8	325	233	251	65	169	232	260	162	268	246	294	193	143	347	281	266	113	374	215	186	338	293	174	258	276	268	294	431	246	294	193	143	347	281	266	113	374	215	186	338	293	174	258	276	268	294	431	246	294	193	143	347	281	266	113	374	215	186	338	293	174	258	276	268	294	431	246	294	193	143	347	281	266	113	374	215	186	338	293	174	258	276	268	294	431	246	294	193	143	347	281	266	113	374	215	186	338	293	174	258
3.9 to 4.9	289	224	241	77	195	247	256	174	278	249	258	187	180	293	279	258	84	345	267	172	383	333	174	264	221	224	290	375	249	258	187	180	293	279	258	84	345	267	172	383	333	174	264	221	224	290	375	249	258	187	180	293	279	258	84	345	267	172	383	333	174	264	221	224	290	375	249	258	187	180	293	279	258	84	345	267	172	383	333	174	264	221	224	290	375	249	258	187	180	293	279	258	84	345	267	172	383	333	174	264
4 to 5	189	233	258	84	212	232	270	145	244	245	229	228	166	267	274	220	121	339	264	125	336	325	192	265	180	233	316	373	245	229	228	166	267	274	220	121	339	264	125	336	325	192	265	180	233	316	373	245	229	228	166	267	274	220	121	339	264	125	336	325	192	265	180	233	316	373	245	229	228	166	267	274	220	121	339	264	125	336	325	192	265	180	233	316	373	245	229	228	166	267	274	220	121	339	264	125	336	325	192	265
4.1 to 5.1	187	278	256	112	250	213	250	152	226	254	211	245	182	262	247	214	128	364	271	135	299	347	197	289	166	247	351	329	254	211	245	182	262	247	214	128	364	271	135	299	347	197	289	166	247	351	329	254	211	245	182	262	247	214	128	364	271	135	299	347	197	289	166	247	351	329	254	211	245	182	262	247	214	128	364	271	135	299	347	197	289	166	247	351	329	254	211	245	182	262	247	214	128	364	271	135	299	347	197	289
4.2 to 5.2	186	270	236	109	250	182	247	152	224	254	208	245	168	253	247	196	128	349	263	135	293	327	191	283	148	237	350	328	254	208	245	168	253	247	196	128	349	263	135	293	327	191	283	148	237	350	328	254	208	245	168	253	247	196	128	349	263	135	293	327	191	283	148	237	350	328	254	208	245	168	253	247	196	128	349	263	135	293	327	191	283	148	237	350	328	254	208	245	168	253	247	196	128	349	263	135	293	327	191	283
4.3 to 5.3	128	219	206	101	176	174	200	113	186	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189	135	213	309	243	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189	135	213	309	243	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189	135	213	309	243	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189	135	213	309	243	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189
4.4 to 5.4	128	219	206	101	176	174	200	113	186	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189	135	213	309	243	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189	135	213	309	243	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189	135	213	309	243	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189	135	213	309	243	211	158	220	144	202	198	145	119	288	199	89	253	278	170	189
4.5 to 5.5	135	235	168	99	185	212	230	128	156	226	179	197	148	239	195	138	143	289	253	116	265	304	165	230	109	248	312	211	226	179	197	148	239	195	138	143	289	253	116	265	304	165	230	109	248	312	211	226	179	197	148	239	195	138	143	289	253	116	265	304	165	230	109	248	312	211	226	179	197	148	239	195	138	143	289	253	116	265	304	165	230	109	248	312	211	226	179	197	148	239	195	138	143	289	253	116	265	304	165	230
4.6 to 5.6	135	270	166	122	191	174	255	149	120	257	220	171	161	230	158	186	190	211	214	142	228	250	173	246	99	213	248	201	257	220	171	161	230	158	186	190	211	214	142	228	250	173	246	99	213	248	201	257	220	171	161	230	158	186	190	211	214	142	228	250	173	246	99	213	248	201	257	220	171	161	230	158	186	190	211	214	142	228	250	173	246	99	213	248	201	257	220	171	161	230	158	186	190	211	214	142	228	250	173	246
4.7 to 5.7	109	208	133	117	177	164	182	137	79	212	189	109	131	192	154	142	148	156	197	121	212	223	146	207	71	159	182	147	212	189	109	131	192	154	142	148	156	197	121	212	223	146	207	71	159	182	147	212	189	109	131	192	154	142	148	156	197	121	212	223	146	207	71	159	182	147	212	189	109	131	192	154	142	148	156	197	121	212	223	146	207	71	159	182	147	212	189	109	131	192	154	142	148	156	197	121	212	223	146	207
4.8 to 5.8	114	244	155	122	189	195	224	156	105	249	223	123	140	232	167	159	192	156	217	124	214	256	171	233	84	199	195	191	249	223	123	140	232	167	159	192	156	217	124	214	256	171	233	84	199	195	191	249	223	123	140	232	167	159	192	156	217	124	214	256	171	233	84	199	195	191	249	223	123	140	232	167	159	192	156	217	124	214	256	171	233	84	199	195	191	249	223	123	140	232	167	159	192	156	217	124	214	256	171	233
4.9 to 5.9	82	227	118	110	156	154	206	119	67	201	197	108	87	211	135	154	179	128	130	104	131	188	143	208	66	169	157	169	201	197	108	87	211	135	154	179	128	130	104	131	188	143	208	66	169	157	169	201	197	108	87	211	135	154	179	128	130	104	131	188	143	208	66	169	157	169	201	197	108	87	211	135	154	179	128	130	104	131	188	143	208	66	169	157	169	201	197	108	87	211	135	154	179	128	130	104	131	188	143	208
