timing	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
2.4 to 3.4	138	150	122	10	34	106	67	78	116	98	75	96	84	49	40	44	98	25	125	57	92	138	150	122	10	34	106	67	78	116	98	75	96	84	49	40	44	98	25	125	57	92	138	150	122	10	34	106	67	78	116	98	75	96	84	49	40	44	98	25	125	57	92	138	150	122	10	34	106	67	78	116	98	75	96	84	49	40	44	98	25	125	57	92	138	150	122	10	34	106	67	78	116	98	75	96	84	49	40	44
2.5 to 3.5	130	159	132	17	73	60	83	74	93	162	61	160	120	24	113	52	95	118	93	52	134	130	159	132	17	73	60	83	74	93	162	61	160	120	24	113	52	95	118	93	52	134	130	159	132	17	73	60	83	74	93	162	61	160	120	24	113	52	95	118	93	52	134	130	159	132	17	73	60	83	74	93	162	61	160	120	24	113	52	95	118	93	52	134	130	159	132	17	73	60	83	74	93	162	61	160	120	24	113	52
2.6 to 3.6	130	162	179	19	78	99	83	81	93	205	61	206	124	25	113	52	102	127	105	53	137	130	162	179	19	78	99	83	81	93	205	61	206	124	25	113	52	102	127	105	53	137	130	162	179	19	78	99	83	81	93	205	61	206	124	25	113	52	102	127	105	53	137	130	162	179	19	78	99	83	81	93	205	61	206	124	25	113	52	102	127	105	53	137	130	162	179	19	78	99	83	81	93	205	61	206	124	25	113	52
2.7 to 3.7	88	116	179	19	77	99	80	81	93	167	61	162	119	25	113	47	93	114	97	51	137	88	116	179	19	77	99	80	81	93	167	61	162	119	25	113	47	93	114	97	51	137	88	116	179	19	77	99	80	81	93	167	61	162	119	25	113	47	93	114	97	51	137	88	116	179	19	77	99	80	81	93	167	61	162	119	25	113	47	93	114	97	51	137	88	116	179	19	77	99	80	81	93	167	61	162	119	25	113	47
2.8 to 3.8	95	119	179	61	77	101	88	81	124	171	62	201	124	25	113	52	125	120	105	54	173	95	119	179	61	77	101	88	81	124	171	62	201	124	25	113	52	125	120	105	54	173	95	119	179	61	77	101	88	81	124	171	62	201	124	25	113	52	125	120	105	54	173	95	119	179	61	77	101	88	81	124	171	62	201	124	25	113	52	125	120	105	54	173	95	119	179	61	77	101	88	81	124	171	62	201	124	25	113	52
2.9 to 3.9	84	144	242	94	59	127	113	88	131	169	108	235	145	19	179	94	217	163	117	60	233	84	144	242	94	59	127	113	88	131	169	108	235	145	19	179	94	217	163	117	60	233	84	144	242	94	59	127	113	88	131	169	108	235	145	19	179	94	217	163	117	60	233	84	144	242	94	59	127	113	88	131	169	108	235	145	19	179	94	217	163	117	60	233	84	144	242	94	59	127	113	88	131	169	108	235	145	19	179	94
3 to 4	75	123	207	93	54	92	113	55	130	169	77	232	119	19	150	64	178	161	103	60	233	75	123	207	93	54	92	113	55	130	169	77	232	119	19	150	64	178	161	103	60	233	75	123	207	93	54	92	113	55	130	169	77	232	119	19	150	64	178	161	103	60	233	75	123	207	93	54	92	113	55	130	169	77	232	119	19	150	64	178	161	103	60	233	75	123	207	93	54	92	113	55	130	169	77	232	119	19	150	64
3.1 to 4.1	79	123	204	89	78	95	76	50	105	174	54	231	124	23	155	63	181	172	103	58	194	79	123	204	89	78	95	76	50	105	174	54	231	124	23	155	63	181	172	103	58	194	79	123	204	89	78	95	76	50	105	174	54	231	124	23	155	63	181	172	103	58	194	79	123	204	89	78	95	76	50	105	174	54	231	124	23	155	63	181	172	103	58	194	79	123	204	89	78	95	76	50	105	174	54	231	124	23	155	63
3.2 to 4.2	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99
3.3 to 4.3	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99	140	174	55	14	152	79	118	162	89	79	95	75	21	60	128	57	222	128	34	147	99
