timing	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P50	P51	P52	P53	P54	P55	P56	P57	P58	P59	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P70	P71	P72	P73	P74	P75	P76	P77	P78	P79	P80	P81	P82	P83	P84	P85	P86	P87	P88	P89	P90	P91	P92	P93	P94	P95	P96	P97	P98	P99	P100
3.6 to 4.6	2	27	1	0	0	11	2	0	0	18	0	8	0	0	0	0	0	6	0	15	12	7	0	12	0	9	0	1	8	0	4	0	0	10	0	3	3	1	0	2	37	20	0	0	1	0	14	0	0	1	0	1	22	14	0	1	8	1	4	7	0	0	0	2	0	15	1	0	0	0	0	0	9	2	0	23	10	2	0	0	16	0	11	15	1	0	5	0	6	1	21	0	0	0	0	0	15	0	1	2
3.7 to 4.7	2	27	1	7	0	11	13	0	0	18	0	10	0	12	0	0	13	6	0	15	27	7	0	20	0	20	1	1	8	0	17	0	0	10	0	3	7	1	0	3	37	20	0	0	1	0	14	0	15	1	0	1	22	14	13	7	8	1	12	7	11	0	0	2	0	15	9	1	0	0	0	6	9	2	0	24	10	2	5	16	16	8	11	15	15	7	5	0	7	1	21	0	0	0	0	0	15	5	11	14
3.8 to 4.8	2	27	1	7	0	11	13	0	0	18	0	10	0	12	0	0	13	6	0	15	27	7	0	20	0	20	1	1	8	0	17	0	0	10	0	3	7	1	0	3	37	20	0	0	1	0	14	0	15	1	0	1	22	14	13	7	8	1	12	7	11	0	0	2	0	15	9	1	0	0	0	6	9	2	0	24	10	2	5	16	16	8	11	15	15	7	5	0	7	1	21	0	0	0	0	0	15	5	11	14
3.9 to 4.9	3	28	1	7	0	11	28	0	1	18	3	10	0	20	18	4	16	10	0	15	50	14	0	20	1	20	1	20	8	0	17	0	0	10	0	3	7	1	14	13	53	20	0	0	19	0	14	0	37	1	0	1	22	25	20	12	16	1	12	8	11	0	1	2	5	15	9	1	0	19	0	6	9	2	2	24	10	19	5	16	16	8	11	15	16	7	17	1	18	1	21	0	0	0	8	11	15	5	11	14
4 to 5	3	28	1	7	0	11	28	0	1	18	3	10	0	20	18	4	16	10	0	15	50	14	0	20	1	20	1	20	8	0	17	0	0	10	0	3	7	1	14	13	53	20	0	0	19	0	14	0	37	1	0	1	22	25	20	12	16	1	12	8	11	0	1	2	5	15	9	1	0	19	0	6	9	2	2	24	10	19	5	16	16	8	11	15	16	7	17	1	18	1	21	0	0	0	8	11	15	5	11	14
4.1 to 5.1	3	38	12	12	0	11	39	2	3	19	5	11	0	36	29	4	39	18	0	15	53	15	1	20	1	20	3	58	16	7	29	8	3	10	0	3	46	5	14	15	54	20	1	3	50	9	23	0	37	7	5	5	22	33	20	12	17	6	14	30	14	3	1	17	5	18	15	1	0	59	0	12	9	2	6	24	12	19	5	32	46	8	15	15	16	7	30	1	31	1	21	0	32	6	11	14	16	7	52	43
4.2 to 5.2	3	38	12	12	0	11	39	2	3	19	5	11	0	36	29	4	39	18	0	15	53	15	1	20	1	20	3	58	16	7	29	8	3	10	0	3	46	5	14	15	54	20	1	3	50	9	23	0	37	7	5	5	22	33	20	12	17	6	14	30	14	3	1	17	5	18	15	1	0	59	0	12	9	2	6	24	12	19	5	32	46	8	15	15	16	7	30	1	31	1	21	0	32	6	11	14	16	7	52	43
4.3 to 5.3	1	11	11	18	5	11	38	2	3	20	18	14	9	40	33	5	39	26	14	21	53	8	1	26	1	20	5	57	23	14	33	11	34	2	19	3	54	4	14	20	46	13	4	16	53	12	47	0	41	8	7	23	18	19	30	12	18	12	15	34	19	3	12	15	13	9	15	13	18	60	5	14	3	11	6	1	15	25	5	33	35	20	15	4	23	8	33	6	39	4	0	3	36	6	11	14	14	9	52	43
4.4 to 5.4	1	11	11	18	5	11	38	2	3	20	18	14	9	40	33	5	39	26	14	21	53	8	1	26	1	20	5	57	23	14	33	11	34	2	19	3	54	4	14	20	46	13	4	16	53	12	47	0	41	8	7	23	18	19	30	12	18	12	15	34	19	3	12	15	13	9	15	13	18	60	5	14	3	11	6	1	15	25	5	33	35	20	15	4	23	8	33	6	39	4	0	3	36	6	11	14	14	9	52	43
4.5 to 5.5	1	11	11	18	5	0	37	2	3	2	18	6	9	40	33	5	39	20	14	6	41	8	1	14	1	11	5	57	15	14	29	11	34	2	19	0	51	4	14	18	17	13	4	16	53	12	33	0	41	7	7	23	1	19	30	11	10	11	11	28	19	3	12	15	13	3	14	13	18	60	5	14	3	11	6	1	5	25	5	33	35	20	4	4	22	8	33	6	38	3	0	3	36	6	11	14	14	9	51	41
4.6 to 5.6	39	66	36	40	27	0	51	30	3	78	19	12	50	88	36	20	41	22	72	9	42	79	1	30	1	14	23	76	39	15	34	12	34	9	44	13	53	21	34	35	55	13	31	16	92	25	40	22	41	13	8	31	2	60	31	17	10	67	13	29	37	29	80	15	21	5	33	22	37	65	21	18	39	54	6	3	25	65	18	70	46	83	5	35	25	52	36	6	56	50	2	3	36	36	17	16	38	40	100	41
4.7 to 5.7	39	66	36	33	27	0	40	30	3	78	19	10	50	76	36	20	28	22	72	9	27	79	1	22	1	3	22	76	39	15	21	12	34	9	44	13	49	21	34	34	55	13	31	16	92	25	40	22	26	13	8	31	2	60	18	11	10	67	5	29	26	29	80	15	21	5	25	21	37	65	21	12	39	54	6	2	25	65	13	54	46	75	5	35	11	45	36	6	55	50	2	3	36	36	17	16	38	35	90	29
4.8 to 5.8	39	66	36	33	27	0	40	30	3	78	19	10	50	76	36	20	28	22	72	9	27	79	1	22	1	3	22	76	39	15	21	12	34	9	44	13	49	21	34	34	55	13	31	16	92	25	40	22	26	13	8	31	2	60	18	11	10	67	5	29	26	29	80	15	21	5	25	21	37	65	21	12	39	54	6	2	25	65	13	54	46	75	5	35	11	45	36	6	55	50	2	3	36	36	17	16	38	35	90	29
4.9 to 5.9	38	65	36	33	27	0	25	30	2	78	16	10	50	68	18	16	25	18	72	9	4	72	1	22	0	3	22	57	39	15	21	12	34	9	44	13	49	21	20	24	39	13	31	16	74	25	40	22	4	13	8	31	2	49	11	6	2	67	5	28	26	29	79	15	16	5	25	21	37	46	21	12	39	54	4	2	25	48	13	54	46	75	5	35	10	45	24	5	44	50	2	3	36	36	9	5	38	35	90	29
5 to 6	49	65	36	38	38	0	25	44	3	82	23	22	52	70	18	16	44	18	78	14	17	85	3	31	5	3	31	64	43	33	21	13	34	16	55	14	52	23	29	32	55	13	42	23	94	25	49	31	11	14	13	47	2	58	14	8	10	68	8	38	42	29	79	15	17	14	26	26	37	46	22	21	40	84	10	9	25	51	14	67	47	106	5	50	21	45	29	19	52	55	3	23	52	41	9	9	43	43	102	38
5.1 to 6.1	49	55	25	33	38	0	14	42	1	81	21	21	52	54	7	16	21	10	78	14	14	84	2	31	5	3	29	26	35	26	9	5	31	16	55	14	13	19	29	30	54	13	41	20	63	16	40	31	11	8	8	43	2	50	14	8	9	63	6	16	39	26	79	0	17	11	20	26	37	6	22	15	40	84	6	9	23	51	14	51	17	106	1	50	21	45	16	19	39	55	3	23	20	35	6	6	42	41	61	9
5.2 to 6.2	52	55	27	38	38	10	14	43	1	81	21	34	73	54	7	16	21	10	78	14	14	84	4	31	5	19	29	26	46	36	9	5	36	25	55	14	13	37	39	30	56	37	41	36	65	16	40	31	30	12	8	43	21	50	14	27	23	63	6	45	39	31	79	0	17	11	20	44	37	7	22	15	40	84	32	9	37	54	26	51	17	108	1	52	50	45	18	19	49	55	6	23	20	60	7	26	43	46	61	10
5.3 to 6.3	52	55	27	32	33	10	14	43	1	80	8	31	64	50	3	15	21	2	64	8	14	84	4	25	5	19	27	26	39	29	5	2	5	23	36	14	5	37	39	25	56	24	38	23	61	13	16	31	26	11	6	24	20	50	4	27	22	57	5	40	34	31	68	0	9	11	20	32	19	6	17	13	37	73	32	9	34	46	26	50	12	96	1	48	43	44	10	14	36	52	6	20	16	60	7	26	30	44	61	10
5.4 to 6.4	52	55	27	32	33	10	14	43	1	80	8	31	64	50	3	15	21	2	64	8	14	84	4	25	5	19	27	26	39	29	5	2	5	23	36	14	5	37	39	25	56	24	38	23	61	13	16	31	26	11	6	24	20	50	4	27	22	57	5	40	34	31	68	0	9	11	20	32	19	6	17	13	37	73	32	9	34	46	26	50	12	96	1	48	43	44	10	14	36	52	6	20	16	60	7	26	30	44	61	10
5.5 to 6.5	52	55	31	32	33	10	16	43	12	80	17	31	64	50	12	15	21	3	64	14	21	84	5	25	5	19	27	26	39	29	5	2	5	23	36	16	5	37	39	25	56	24	45	23	61	14	16	35	27	17	6	25	24	65	4	27	22	57	5	40	34	43	68	0	10	17	20	32	19	6	17	27	37	73	33	9	36	53	34	50	17	96	13	48	43	44	10	14	36	52	6	20	16	60	7	33	32	44	69	20
5.6 to 6.6	14	0	10	10	11	15	2	17	12	4	16	25	23	2	21	7	20	4	6	11	20	23	5	16	14	16	9	8	15	28	4	1	5	23	11	3	3	23	19	8	18	24	18	23	30	1	9	13	32	16	5	19	23	24	3	21	27	1	3	39	16	17	19	0	5	23	1	23	0	1	11	23	1	30	33	10	21	14	21	15	6	33	12	17	40	7	12	14	18	5	9	30	16	32	7	32	10	13	23	20
5.7 to 6.7	14	17	10	10	11	17	21	28	12	4	25	25	23	9	30	8	21	4	10	11	30	23	5	16	28	17	10	8	16	28	8	7	5	23	11	10	12	27	19	16	18	35	18	36	31	15	18	14	40	16	6	19	23	25	7	21	28	1	3	53	16	23	36	1	12	23	3	31	0	21	14	30	1	42	36	11	21	25	21	49	8	34	12	17	40	7	13	14	22	12	27	30	16	32	27	38	23	41	23	20
5.8 to 6.8	14	17	10	10	11	17	21	28	12	4	25	25	23	9	30	8	21	4	10	11	30	23	5	16	28	17	10	8	16	28	8	7	5	23	11	10	12	27	19	16	18	35	18	36	31	15	18	14	40	16	6	19	23	25	7	21	28	1	3	53	16	23	36	1	12	23	3	31	0	21	14	30	1	42	36	11	21	25	21	49	8	34	12	17	40	7	13	14	22	12	27	30	16	32	27	38	23	41	23	20
