1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1.9 to 2.9	144	201	176	269	121	194	310	277	201	224	327	185	322	299	345	271	317	170	250	178	272	144	201	176	269	121	194	310	277	201	224	327	185	322	299	345	271	317	170	250	178	272	144	201	176	269	121	194	310	277	201	224	327	185	322	299	345	271	317	170	250	178	272	144	201	176	269	121	194	310	277	201	224	327	185	322	299	345	271	317	170	250	178	272	144	201	176	269	121	194	310	277	201	224	327	185	322	299	345	271
2 to 3	105	124	114	234	101	176	318	246	168	191	233	164	222	282	284	221	284	168	169	204	322	105	124	114	234	101	176	318	246	168	191	233	164	222	282	284	221	284	168	169	204	322	105	124	114	234	101	176	318	246	168	191	233	164	222	282	284	221	284	168	169	204	322	105	124	114	234	101	176	318	246	168	191	233	164	222	282	284	221	284	168	169	204	322	105	124	114	234	101	176	318	246	168	191	233	164	222	282	284	221
2.1 to 3.1	91	124	133	194	58	226	269	261	168	151	183	121	189	282	274	197	251	168	170	222	322	91	124	133	194	58	226	269	261	168	151	183	121	189	282	274	197	251	168	170	222	322	91	124	133	194	58	226	269	261	168	151	183	121	189	282	274	197	251	168	170	222	322	91	124	133	194	58	226	269	261	168	151	183	121	189	282	274	197	251	168	170	222	322	91	124	133	194	58	226	269	261	168	151	183	121	189	282	274	197
2.2 to 3.2	86	102	109	244	104	240	275	217	121	111	233	107	141	295	279	190	206	203	170	194	299	86	102	109	244	104	240	275	217	121	111	233	107	141	295	279	190	206	203	170	194	299	86	102	109	244	104	240	275	217	121	111	233	107	141	295	279	190	206	203	170	194	299	86	102	109	244	104	240	275	217	121	111	233	107	141	295	279	190	206	203	170	194	299	86	102	109	244	104	240	275	217	121	111	233	107	141	295	279	190
2.3 to 3.3	48	52	109	223	104	205	239	217	121	67	205	107	119	250	271	190	168	203	128	194	256	48	52	109	223	104	205	239	217	121	67	205	107	119	250	271	190	168	203	128	194	256	48	52	109	223	104	205	239	217	121	67	205	107	119	250	271	190	168	203	128	194	256	48	52	109	223	104	205	239	217	121	67	205	107	119	250	271	190	168	203	128	194	256	48	52	109	223	104	205	239	217	121	67	205	107	119	250	271	190
2.4 to 3.4	48	52	84	223	104	155	189	167	88	55	155	107	119	200	261	190	137	153	92	144	218	48	52	84	223	104	155	189	167	88	55	155	107	119	200	261	190	137	153	92	144	218	48	52	84	223	104	155	189	167	88	55	155	107	119	200	261	190	137	153	92	144	218	48	52	84	223	104	155	189	167	88	55	155	107	119	200	261	190	137	153	92	144	218	48	52	84	223	104	155	189	167	88	55	155	107	119	200	261	190
2.5 to 3.5	104	79	108	233	137	224	200	215	140	18	197	73	84	207	174	214	181	130	152	199	187	104	79	108	233	137	224	200	215	140	18	197	73	84	207	174	214	181	130	152	199	187	104	79	108	233	137	224	200	215	140	18	197	73	84	207	174	214	181	130	152	199	187	104	79	108	233	137	224	200	215	140	18	197	73	84	207	174	214	181	130	152	199	187	104	79	108	233	137	224	200	215	140	18	197	73	84	207	174	214
2.6 to 3.6	154	117	108	262	170	224	250	238	190	18	247	73	124	246	224	264	212	164	166	233	221	154	117	108	262	170	224	250	238	190	18	247	73	124	246	224	264	212	164	166	233	221	154	117	108	262	170	224	250	238	190	18	247	73	124	246	224	264	212	164	166	233	221	154	117	108	262	170	224	250	238	190	18	247	73	124	246	224	264	212	164	166	233	221	154	117	108	262	170	224	250	238	190	18	247	73	124	246	224	264
2.7 to 3.7	154	117	58	212	132	174	210	188	140	18	197	73	94	196	174	227	185	138	145	202	171	154	117	58	212	132	174	210	188	140	18	197	73	94	196	174	227	185	138	145	202	171	154	117	58	212	132	174	210	188	140	18	197	73	94	196	174	227	185	138	145	202	171	154	117	58	212	132	174	210	188	140	18	197	73	94	196	174	227	185	138	145	202	171	154	117	58	212	132	174	210	188	140	18	197	73	94	196	174	227
2.8 to 3.8	169	160	108	212	178	209	231	238	140	51	221	73	122	246	224	258	185	173	154	228	171	169	160	108	212	178	209	231	238	140	51	221	73	122	246	224	258	185	173	154	228	171	169	160	108	212	178	209	231	238	140	51	221	73	122	246	224	258	185	173	154	228	171	169	160	108	212	178	209	231	238	140	51	221	73	122	246	224	258	185	173	154	228	171	169	160	108	212	178	209	231	238	140	51	221	73	122	246	224	258
2.9 to 3.9	241	270	154	222	269	288	297	290	223	177	296	111	175	392	202	281	136	156	226	308	149	241	270	154	222	269	288	297	290	223	177	296	111	175	392	202	281	136	156	226	308	149	241	270	154	222	269	288	297	290	223	177	296	111	175	392	202	281	136	156	226	308	149	241	270	154	222	269	288	297	290	223	177	296	111	175	392	202	281	136	156	226	308	149	241	270	154	222	269	288	297	290	223	177	296	111	175	392	202	281
3 to 4	241	270	154	207	256	288	247	290	209	177	296	82	175	342	202	281	136	137	226	258	99	241	270	154	207	256	288	247	290	209	177	296	82	175	342	202	281	136	137	226	258	99	241	270	154	207	256	288	247	290	209	177	296	82	175	342	202	281	136	137	226	258	99	241	270	154	207	256	288	247	290	209	177	296	82	175	342	202	281	136	137	226	258	99	241	270	154	207	256	288	247	290	209	177	296	82	175	342	202	281
3.1 to 4.1	237	270	180	223	256	274	297	325	239	194	317	116	178	354	177	287	150	143	211	290	146	237	270	180	223	256	274	297	325	239	194	317	116	178	354	177	287	150	143	211	290	146	237	270	180	223	256	274	297	325	239	194	317	116	178	354	177	287	150	143	211	290	146	237	270	180	223	256	274	297	325	239	194	317	116	178	354	177	287	150	143	211	290	146	237	270	180	223	256	274	297	325	239	194	317	116	178	354	177	287
3.2 to 4.2	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245
3.3 to 4.3	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245
3.4 to 4.4	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245	191	141	261	336	186	237	270	230	223	242	274	298	348	289	244	298	145	178	318	186	245
