1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1.9 to 2.9	145	96	132	225	141	100	108	84	233	102	125	208	155	131	97	231	127	134	136	102	92	128	164	150	90	90	239	150	102	125	208	155	131	97	231	127	134	136	102	92	128	164	150	90	90	239	150	102	125	208	155	131	97	231	127	134	136	102	92	128	164	150	90	90	239	150	102	125	208	155	131	97	231	127	134	136	102	92	128	164	150	90	90	239	150	102	125	208	155	131	97	231	127	134	136	102	92	128	164	150
2 to 3	145	82	92	195	122	111	105	112	228	85	118	153	126	105	112	159	141	148	135	115	86	77	154	156	95	94	180	156	85	118	153	126	105	112	159	141	148	135	115	86	77	154	156	95	94	180	156	85	118	153	126	105	112	159	141	148	135	115	86	77	154	156	95	94	180	156	85	118	153	126	105	112	159	141	148	135	115	86	77	154	156	95	94	180	156	85	118	153	126	105	112	159	141	148	135	115	86	77	154	156
2.1 to 3.1	124	82	90	179	145	121	79	152	197	85	129	130	123	105	101	169	110	159	135	82	87	64	171	156	71	118	155	158	85	129	130	123	105	101	169	110	159	135	82	87	64	171	156	71	118	155	158	85	129	130	123	105	101	169	110	159	135	82	87	64	171	156	71	118	155	158	85	129	130	123	105	101	169	110	159	135	82	87	64	171	156	71	118	155	158	85	129	130	123	105	101	169	110	159	135	82	87	64	171	156
2.2 to 3.2	108	61	95	183	146	110	79	158	192	94	114	130	125	80	81	151	107	178	108	62	75	58	158	157	94	109	147	140	94	114	130	125	80	81	151	107	178	108	62	75	58	158	157	94	109	147	140	94	114	130	125	80	81	151	107	178	108	62	75	58	158	157	94	109	147	140	94	114	130	125	80	81	151	107	178	108	62	75	58	158	157	94	109	147	140	94	114	130	125	80	81	151	107	178	108	62	75	58	158	157
2.3 to 3.3	94	36	57	126	115	73	55	122	129	38	96	92	80	71	56	107	72	120	86	27	48	34	135	141	68	83	119	108	38	96	92	80	71	56	107	72	120	86	27	48	34	135	141	68	83	119	108	38	96	92	80	71	56	107	72	120	86	27	48	34	135	141	68	83	119	108	38	96	92	80	71	56	107	72	120	86	27	48	34	135	141	68	83	119	108	38	96	92	80	71	56	107	72	120	86	27	48	34	135	141
2.4 to 3.4	107	61	36	135	122	97	46	136	104	66	105	80	94	64	74	122	100	141	102	56	67	32	171	161	101	68	128	98	66	105	80	94	64	74	122	100	141	102	56	67	32	171	161	101	68	128	98	66	105	80	94	64	74	122	100	141	102	56	67	32	171	161	101	68	128	98	66	105	80	94	64	74	122	100	141	102	56	67	32	171	161	101	68	128	98	66	105	80	94	64	74	122	100	141	102	56	67	32	171	161
2.5 to 3.5	167	107	114	158	160	132	85	199	133	74	168	120	149	111	131	161	149	201	164	90	152	68	216	209	115	103	155	143	74	168	120	149	111	131	161	149	201	164	90	152	68	216	209	115	103	155	143	74	168	120	149	111	131	161	149	201	164	90	152	68	216	209	115	103	155	143	74	168	120	149	111	131	161	149	201	164	90	152	68	216	209	115	103	155	143	74	168	120	149	111	131	161	149	201	164	90	152	68	216	209
2.6 to 3.6	169	107	122	166	165	132	85	202	135	81	177	128	149	111	131	161	149	201	164	95	152	68	216	219	127	110	155	143	81	177	128	149	111	131	161	149	201	164	95	152	68	216	219	127	110	155	143	81	177	128	149	111	131	161	149	201	164	95	152	68	216	219	127	110	155	143	81	177	128	149	111	131	161	149	201	164	95	152	68	216	219	127	110	155	143	81	177	128	149	111	131	161	149	201	164	95	152	68	216	219
2.7 to 3.7	136	108	163	160	124	155	87	187	150	112	191	133	148	96	131	165	172	175	173	120	173	73	204	171	151	155	109	131	112	191	133	148	96	131	165	172	175	173	120	173	73	204	171	151	155	109	131	112	191	133	148	96	131	165	172	175	173	120	173	73	204	171	151	155	109	131	112	191	133	148	96	131	165	172	175	173	120	173	73	204	171	151	155	109	131	112	191	133	148	96	131	165	172	175	173	120	173	73	204	171
2.8 to 3.8	129	120	162	153	95	152	112	206	130	126	194	139	158	98	146	138	160	175	171	120	178	102	177	181	142	165	98	156	126	194	139	158	98	146	138	160	175	171	120	178	102	177	181	142	165	98	156	126	194	139	158	98	146	138	160	175	171	120	178	102	177	181	142	165	98	156	126	194	139	158	98	146	138	160	175	171	120	178	102	177	181	142	165	98	156	126	194	139	158	98	146	138	160	175	171	120	178	102	177	181
