timing	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100
1.5 to 2.5	16	0	19	0	2	8	36	18	14	49	13	11	14	1	15	11	22	11	14	11	10	10	14	46	21	29	15	0	28	30	1	2	28	47	17	10	23	0	12	9	30	3	11	13	9	13	32	38	0	23	1	33	1	18	22	9	19	0	26	9	6	22	23	17	26	7	48	8	29	1	17	1	0	29	11	17	46	15	16	38	0	2	38	2	9	20	0	26	1	34	9	26	21	15	15	0	10	0	16	1
1.6 to 2.6	16	1	11	1	20	8	33	18	14	57	9	14	14	0	3	11	8	12	17	4	10	10	19	36	23	19	15	6	33	32	16	2	30	47	5	10	24	0	13	9	30	6	5	14	9	8	18	38	2	15	0	30	0	18	23	10	22	0	30	13	0	25	26	0	34	10	19	3	23	0	24	1	10	37	18	18	55	2	11	39	1	5	38	2	13	20	0	27	1	23	9	37	22	16	6	0	9	8	23	4
1.7 to 2.7	16	1	11	1	19	2	32	18	14	21	9	14	12	0	3	11	8	12	17	4	10	1	8	36	23	19	0	6	33	3	16	2	4	10	0	0	23	0	13	9	25	6	5	14	7	3	0	17	2	13	0	23	0	17	23	10	22	0	30	4	0	25	26	0	25	10	19	3	23	0	7	0	10	37	7	16	53	2	11	16	1	5	24	2	13	5	0	27	1	0	9	12	17	16	6	0	0	8	8	4
1.8 to 2.8	16	1	11	1	19	2	32	18	14	21	9	14	12	0	3	11	8	12	17	4	10	1	8	36	23	19	0	6	33	3	16	2	4	10	0	0	23	0	13	9	25	6	5	14	7	3	0	17	2	13	0	23	0	17	23	10	22	0	30	4	0	25	26	0	25	10	19	3	23	0	7	0	10	37	7	16	53	2	11	16	1	5	24	2	13	5	0	27	1	0	9	12	17	16	6	0	0	8	8	4
1.9 to 2.9	18	14	11	1	19	2	32	18	14	21	9	14	15	13	3	11	8	12	17	4	10	1	8	36	23	19	0	6	38	3	16	3	4	10	0	0	27	0	13	9	27	6	5	14	11	5	0	18	7	13	0	26	0	17	23	10	22	4	30	4	3	25	26	0	25	10	19	3	24	0	7	0	11	42	7	16	55	2	11	18	1	5	27	2	13	5	0	27	6	0	9	12	17	22	6	0	0	8	8	4
2 to 3	18	16	11	1	19	2	32	53	14	38	10	16	33	31	4	11	23	50	17	4	10	1	8	36	56	19	0	6	38	22	42	31	7	10	24	3	27	1	14	35	27	19	12	16	12	5	0	44	7	13	0	40	0	17	23	10	24	4	30	4	18	25	27	0	26	10	21	23	26	2	7	33	36	44	7	16	56	3	30	18	1	6	27	2	13	18	24	28	28	0	24	12	18	23	50	3	33	34	20	18
2.1 to 3.1	43	16	45	43	20	18	45	85	19	38	40	30	50	60	18	40	76	64	29	13	11	21	32	74	71	31	20	6	39	23	65	49	17	29	60	3	54	1	16	35	42	19	14	16	15	5	0	44	24	26	39	63	0	26	30	25	31	4	30	15	43	37	28	20	43	11	49	39	26	5	7	34	36	49	35	31	56	26	30	18	31	6	27	14	31	24	60	30	42	3	39	13	18	24	57	4	33	34	57	29
2.2 to 3.2	43	16	45	43	20	18	45	85	19	38	40	30	50	60	18	40	76	64	29	13	11	21	32	74	71	31	20	6	39	23	65	49	17	29	60	3	54	1	16	35	42	19	14	16	15	5	0	44	24	26	39	63	0	26	30	25	31	4	30	15	43	37	28	20	43	11	49	39	26	5	7	34	36	49	35	31	56	26	30	18	31	6	27	14	31	24	60	30	42	3	39	13	18	24	57	4	33	34	57	29
2.3 to 3.3	43	16	45	43	19	17	45	85	5	25	40	30	50	60	15	40	69	62	22	13	1	20	32	74	56	26	20	6	20	23	65	49	17	19	60	3	32	1	16	26	17	17	14	11	8	5	0	27	24	13	39	61	0	9	14	25	12	4	30	15	43	36	27	20	26	11	30	39	9	5	7	34	36	49	35	18	41	26	30	18	31	4	27	12	31	19	60	4	42	3	30	12	8	9	57	4	33	34	56	29
2.4 to 3.4	28	17	39	43	23	16	28	67	9	25	63	20	40	60	25	29	69	53	20	13	1	20	32	39	51	25	20	20	13	22	70	47	15	19	68	4	33	9	4	27	22	22	10	3	18	5	0	31	25	18	60	53	0	17	13	16	12	4	4	24	43	16	9	20	41	10	30	39	9	5	7	34	37	26	35	16	41	26	28	3	31	4	11	13	29	29	61	4	41	3	44	12	2	17	53	4	33	34	60	28
2.5 to 3.5	28	27	49	49	26	17	39	71	19	25	76	21	46	71	27	48	76	54	30	13	1	23	38	54	69	34	41	20	13	30	70	53	15	19	69	7	34	28	5	36	32	29	16	10	20	17	19	31	45	18	64	56	3	17	13	18	12	4	7	24	43	22	22	20	56	10	32	40	25	14	7	36	38	26	45	17	41	29	37	20	37	17	24	20	29	32	73	5	52	6	55	13	2	34	58	5	56	46	70	41
2.6 to 3.6	28	26	44	48	8	17	33	71	19	17	67	17	46	71	27	48	75	53	27	9	1	23	30	53	67	34	41	14	6	28	54	53	13	19	69	7	33	28	4	36	32	26	16	9	20	14	19	31	43	18	64	56	3	17	12	17	9	4	3	20	43	18	18	20	48	7	32	37	19	14	0	36	28	17	38	16	3	27	37	19	36	14	24	20	25	32	73	4	52	6	55	2	1	33	58	5	56	38	63	38
2.7 to 3.7	43	43	62	51	30	21	42	83	20	18	98	20	76	81	41	49	84	53	27	14	9	28	30	67	73	35	61	17	7	48	59	57	14	21	70	7	52	29	25	53	32	45	28	23	39	14	19	47	43	18	85	61	3	25	15	20	39	26	29	46	45	19	23	20	79	37	39	47	23	32	13	46	31	35	55	27	15	30	47	46	60	16	29	22	29	39	88	4	75	19	59	4	16	35	66	12	70	41	79	58
2.8 to 3.8	43	43	62	51	33	22	43	90	20	19	99	26	78	83	42	49	84	53	27	26	9	28	31	67	73	35	61	17	21	69	59	57	26	21	70	7	52	29	25	53	32	46	29	23	39	14	19	67	52	18	92	63	15	25	32	20	39	44	49	46	52	19	23	20	79	37	40	56	30	32	13	46	35	35	55	27	31	30	47	55	60	16	29	22	40	39	88	4	75	29	59	4	27	37	66	12	70	44	79	58
2.9 to 3.9	43	57	62	51	33	23	52	117	58	19	110	43	78	103	72	52	101	86	30	28	12	28	33	67	75	35	63	31	24	69	75	57	27	21	72	9	48	29	30	69	30	46	51	23	35	26	33	66	47	21	99	63	35	42	60	20	39	53	49	75	63	19	41	20	110	42	41	57	30	48	15	63	36	33	55	44	57	30	60	54	60	25	31	22	40	40	98	4	71	29	59	5	27	74	90	48	88	57	79	77
3 to 4	44	55	62	51	33	23	66	82	58	3	109	41	65	86	76	52	86	48	30	28	13	28	33	67	42	54	63	31	31	50	49	38	25	21	48	6	48	28	29	47	30	38	44	21	34	26	33	54	47	21	99	49	35	58	65	20	37	53	52	75	48	19	40	20	109	42	39	37	28	63	15	30	23	31	55	44	62	29	41	55	60	26	31	31	44	27	78	3	49	38	44	5	26	84	54	45	55	31	67	63
3.1 to 4.1	19	55	28	9	32	7	53	50	53	3	79	27	48	57	62	23	33	34	18	19	12	8	9	29	27	42	43	31	30	49	26	20	15	2	12	6	21	28	27	47	15	38	42	21	31	26	33	54	30	8	60	26	35	49	58	5	30	53	52	64	23	7	39	0	92	41	11	21	28	60	15	29	23	26	27	29	62	6	41	55	30	26	31	19	26	21	42	1	35	35	29	4	26	83	47	44	55	31	30	52
3.2 to 4.2	35	55	28	9	35	23	56	50	53	5	79	29	48	58	65	23	53	61	26	19	12	36	10	29	27	59	45	31	47	54	40	22	15	4	13	7	22	65	27	47	40	39	57	22	35	62	42	56	31	10	62	28	35	50	58	22	30	53	64	65	23	7	39	0	94	53	11	23	35	60	40	29	37	41	29	56	64	6	41	55	31	26	46	19	51	28	69	12	45	38	55	6	26	110	48	45	55	31	33	68
3.3 to 4.3	46	60	28	9	35	47	56	61	53	5	93	33	60	79	71	25	78	78	34	26	24	43	23	38	32	68	51	40	55	63	40	36	24	14	25	21	22	89	29	47	61	41	71	22	48	62	47	56	35	12	62	34	35	50	58	36	32	53	64	65	24	13	50	20	104	66	25	29	42	64	42	35	37	50	29	78	75	6	45	60	45	28	52	19	52	28	70	13	45	41	55	15	27	112	48	47	55	35	35	73
3.4 to 4.4	45	80	35	10	41	64	59	62	73	6	70	36	73	100	76	26	78	85	42	44	63	45	23	48	31	59	55	38	63	68	75	38	24	45	49	60	21	109	29	57	87	45	88	30	44	67	53	57	44	36	43	36	37	45	66	48	42	66	64	77	24	24	49	45	121	64	30	63	51	83	65	85	37	45	40	95	100	13	39	75	45	31	45	36	84	25	70	28	76	59	43	31	45	109	53	48	78	55	32	75
3.5 to 4.5	45	70	25	4	38	63	48	58	63	6	57	35	67	89	74	7	71	84	32	44	63	42	17	33	13	50	34	38	63	60	75	32	24	45	48	57	20	90	28	48	77	38	82	23	42	55	34	57	24	36	39	33	34	45	66	46	42	66	61	77	24	18	36	45	106	64	28	62	35	74	65	83	36	45	30	94	100	10	30	58	39	18	32	29	84	22	58	27	65	56	32	30	45	92	48	47	55	43	22	62
3.6 to 4.6	45	70	26	7	40	63	48	61	70	8	58	38	67	92	80	22	77	85	32	53	77	42	17	33	22	50	39	38	63	60	78	32	24	45	48	57	20	98	28	48	82	42	82	29	42	55	35	59	24	36	39	42	34	45	66	46	48	67	61	77	32	27	43	45	106	64	28	62	37	81	65	83	36	45	50	94	101	10	31	59	39	32	42	35	85	28	58	29	76	56	38	30	48	93	48	50	55	44	36	65
3.7 to 4.7	30	55	8	16	26	59	43	68	86	7	40	35	56	91	67	29	68	85	32	58	88	37	17	22	22	62	41	37	62	40	74	37	40	66	58	68	25	110	28	34	84	23	70	15	35	62	35	56	37	58	43	45	34	45	63	43	22	45	36	52	32	38	39	45	79	35	21	52	34	69	52	73	44	29	34	84	89	7	23	48	32	52	42	52	81	32	49	37	67	50	38	30	33	98	46	46	61	62	20	45
3.8 to 4.8	76	56	21	59	38	75	45	69	86	35	75	32	56	109	95	67	70	123	41	47	88	44	26	27	25	71	44	61	50	20	76	66	32	67	64	80	58	132	33	47	85	27	76	41	71	71	37	49	28	84	50	59	65	70	71	67	29	45	28	52	61	63	83	48	79	37	45	61	57	98	57	74	72	43	68	98	74	28	26	75	46	62	47	71	99	44	53	38	74	41	70	30	38	121	52	46	105	94	23	61
3.9 to 4.9	74	29	21	59	38	74	36	42	48	35	64	15	53	76	65	64	53	90	38	45	85	44	24	27	23	71	42	47	42	20	60	65	31	67	62	78	58	132	28	31	85	27	54	41	71	57	23	49	28	81	43	56	45	53	43	67	29	32	28	23	47	63	65	48	48	32	44	60	56	82	55	57	70	40	68	81	46	28	13	74	46	53	42	71	99	43	43	38	73	41	70	29	38	78	28	10	87	81	23	42
4 to 5	74	37	21	59	43	81	24	51	48	37	64	19	48	75	60	69	58	90	38	45	84	46	24	27	29	52	42	50	35	29	61	56	30	67	68	78	60	132	28	27	95	28	54	41	74	62	27	52	28	81	45	57	46	37	38	81	29	33	26	23	52	67	65	48	48	32	44	60	56	68	56	57	64	51	68	81	40	28	13	77	46	53	42	65	95	43	40	44	73	32	73	32	40	68	22	10	87	81	23	42
4.1 to 5.1	106	68	21	59	92	107	39	51	48	37	74	51	69	92	72	69	78	104	38	45	107	48	52	29	29	86	70	52	39	32	80	57	40	67	68	78	85	163	29	55	95	47	54	55	76	82	29	85	50	81	46	73	46	55	61	84	61	33	26	24	65	71	96	48	75	35	46	63	86	68	70	58	81	66	102	89	43	35	13	83	48	53	42	94	98	43	41	94	98	38	85	32	44	68	43	42	87	101	45	55
4.2 to 5.2	90	68	21	61	90	94	37	51	48	36	75	50	75	93	69	69	58	78	43	45	108	21	54	31	30	69	75	56	23	27	67	57	40	69	74	85	84	126	29	58	71	48	40	54	72	59	20	83	53	82	47	71	46	54	61	72	61	34	15	23	65	71	98	48	73	23	46	61	87	68	50	65	67	51	100	63	42	35	18	85	47	53	30	102	73	36	14	83	92	43	61	30	44	41	43	56	87	102	43	40
4.3 to 5.3	79	66	22	61	93	70	38	40	71	55	61	46	63	73	63	67	34	61	38	39	97	28	58	22	33	83	70	57	15	28	78	43	41	61	80	74	85	120	29	58	58	47	26	64	59	59	36	99	57	85	64	73	48	62	61	58	62	51	31	23	85	65	89	29	63	25	56	55	80	77	59	59	80	59	100	47	31	44	25	80	50	52	42	104	72	37	23	82	113	61	76	22	73	40	46	54	87	110	41	46
4.4 to 5.4	79	45	15	60	83	53	26	39	47	54	61	43	48	52	48	66	34	54	25	21	58	26	58	12	33	79	66	45	7	23	38	41	41	30	48	34	85	92	29	47	27	37	8	56	53	54	30	94	47	56	62	58	46	59	48	46	52	38	31	2	85	54	87	4	31	21	51	21	71	58	36	9	79	59	89	30	6	37	22	65	50	49	41	86	33	30	22	67	82	43	74	6	55	35	39	53	64	90	40	44
4.5 to 5.5	80	45	15	60	83	86	43	40	76	54	61	43	48	70	62	66	39	56	38	21	82	28	74	12	46	95	94	45	9	23	38	42	44	30	59	51	107	92	29	48	41	48	10	58	54	74	56	132	52	64	62	59	68	62	60	84	72	52	46	18	92	72	120	9	32	39	71	21	71	93	36	16	81	59	114	32	15	38	29	65	53	49	41	88	49	30	36	73	87	61	77	23	62	53	39	89	75	90	40	57
4.6 to 5.6	80	45	14	57	81	86	43	37	69	52	60	40	48	67	56	51	33	55	38	12	68	28	74	12	37	95	89	45	9	23	35	42	44	30	59	51	107	84	29	48	36	44	10	52	54	74	55	130	52	64	62	50	68	62	60	84	66	51	46	18	84	63	113	9	32	39	71	21	69	86	36	16	81	59	94	32	14	38	28	64	53	35	31	82	48	24	36	71	76	61	71	23	59	52	39	86	75	89	26	54
4.7 to 5.7	80	76	37	47	96	94	41	19	72	53	59	49	29	60	66	72	34	55	39	15	60	28	93	9	38	94	70	57	9	49	34	33	35	8	52	51	83	76	11	48	38	48	21	54	42	78	63	146	41	54	64	64	72	54	62	88	65	52	47	21	95	53	133	10	32	40	78	27	69	90	44	20	93	75	93	40	40	38	29	56	50	15	28	63	48	32	39	75	67	69	73	21	71	69	38	85	58	73	35	54
4.8 to 5.8	34	75	25	4	99	86	38	11	75	24	24	58	27	42	37	46	32	39	34	14	61	22	83	9	49	85	69	33	8	48	32	9	31	7	46	39	51	58	12	36	38	47	15	35	9	70	62	133	48	28	54	48	29	29	37	74	58	34	35	37	60	28	89	7	32	38	53	9	40	61	51	21	68	61	61	27	40	18	37	21	36	25	25	44	19	20	35	84	72	68	54	21	55	52	32	97	14	38	33	44
4.9 to 5.9	48	90	25	7	99	98	39	14	89	34	32	58	31	49	37	48	37	47	34	25	61	23	96	14	57	102	70	47	29	49	34	13	35	7	62	39	51	58	14	38	38	47	28	46	11	72	62	134	54	28	66	49	29	29	37	74	58	40	35	57	60	47	91	22	32	38	53	9	42	61	52	21	80	61	61	40	66	19	37	26	37	27	26	45	19	25	36	84	72	79	64	26	66	70	32	117	14	38	33	47
5 to 6	47	123	32	30	114	113	47	12	108	40	50	68	37	56	45	65	42	68	36	29	83	37	109	18	64	109	74	70	51	59	35	20	35	25	73	44	72	61	26	47	28	50	31	52	8	72	58	124	69	68	71	56	29	33	54	89	95	73	42	61	59	46	93	23	34	40	56	25	43	86	58	25	94	58	74	51	73	38	48	35	60	28	38	46	19	39	37	95	96	110	91	28	78	90	42	125	21	38	58	62
5.1 to 6.1	15	92	41	39	112	100	32	12	119	42	40	42	35	51	45	65	28	54	43	29	85	64	81	16	80	83	47	75	48	67	19	21	29	27	73	73	65	75	27	22	39	31	47	66	6	73	66	110	59	116	98	50	43	26	43	86	75	80	43	87	71	44	62	23	19	56	56	22	23	86	47	35	83	45	40	56	78	32	60	47	67	40	38	20	26	43	38	48	74	115	79	28	74	104	30	116	22	26	38	49
5.2 to 6.2	15	92	41	52	113	98	46	18	132	66	81	42	61	73	50	69	34	78	48	48	87	73	78	61	117	83	42	82	57	67	59	32	38	23	70	90	104	89	27	42	53	30	71	69	9	63	74	113	55	141	95	52	43	29	52	81	79	107	54	89	73	71	71	24	19	68	61	22	35	95	56	46	84	72	48	107	108	43	73	45	88	55	60	17	53	51	40	68	83	107	84	30	80	104	52	104	66	28	41	50
5.3 to 6.3	16	98	49	55	110	120	45	18	109	54	102	43	61	81	50	69	34	87	51	47	87	59	64	63	109	60	41	73	62	72	48	32	28	21	63	87	106	81	53	42	54	38	71	60	9	63	55	99	47	138	95	54	41	32	53	88	76	90	38	89	52	71	72	23	25	53	37	22	42	83	46	56	73	60	50	114	129	43	62	48	83	54	42	15	66	50	30	68	79	86	71	29	50	111	49	104	80	16	41	52
5.4 to 6.4	18	99	49	61	110	133	46	20	110	54	103	50	61	81	51	70	34	99	51	53	92	65	64	73	109	65	45	73	72	90	48	32	30	37	65	88	107	84	53	46	54	38	71	63	9	64	55	102	47	138	106	57	46	35	53	88	86	90	45	90	56	73	72	28	30	53	42	25	46	86	46	69	84	60	50	133	130	49	76	56	84	54	46	18	70	50	32	69	91	86	73	29	50	124	50	105	81	16	52	52
5.5 to 6.5	26	99	52	65	112	102	29	20	84	54	109	51	67	72	41	70	32	98	45	56	68	76	59	84	96	50	18	88	78	96	54	35	28	58	64	86	94	84	70	45	45	28	75	66	8	56	44	67	45	130	115	56	41	32	49	57	69	80	30	79	54	55	40	24	44	35	34	25	46	52	48	69	82	61	25	138	123	50	71	56	91	54	56	20	57	50	18	65	89	77	71	12	43	119	54	69	83	21	57	49
5.6 to 6.6	47	106	65	98	122	103	55	47	88	55	138	87	69	118	43	70	42	152	55	56	76	77	72	101	100	52	25	125	92	130	67	84	47	77	66	86	100	103	77	76	48	72	80	72	13	80	78	71	46	131	116	65	44	44	72	57	86	94	31	80	54	65	61	25	45	60	67	33	66	62	61	77	110	85	29	147	123	70	73	95	91	93	83	54	72	50	34	66	119	119	105	50	52	155	65	92	108	65	85	56
5.7 to 6.7	47	73	42	96	99	95	53	46	68	54	126	78	69	116	32	41	41	152	54	43	65	77	53	101	93	40	22	111	92	104	67	84	39	76	62	75	100	98	74	73	44	68	69	70	13	69	70	42	44	119	89	43	40	44	70	53	83	93	29	76	41	63	40	24	41	58	60	27	65	52	53	73	87	67	29	138	97	70	70	87	77	91	81	54	72	31	25	54	114	104	99	50	40	131	60	90	105	60	76	56
