timing	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100
0.5 to 1.5	200	122	129	219	182	171	76	131	147	194	160	233	145	116	121	183	67	197	203	132	105	54	140	267	185	211	231	112	194	160	233	145	116	121	183	67	197	203	132	105	54	140	267	185	211	231	112	194	160	233	145	116	121	183	67	197	203	132	105	54	140	267	185	211	231	112	194	160	233	145	116	121	183	67	197	203	132	105	54	140	267	185	211	231	112	194	160	233	145	116	121	183	67	197	203	132	105	54	140	267
0.6 to 1.6	227	175	129	219	205	172	92	163	206	199	183	238	166	126	150	266	76	197	216	161	130	78	149	295	194	251	251	153	199	183	238	166	126	150	266	76	197	216	161	130	78	149	295	194	251	251	153	199	183	238	166	126	150	266	76	197	216	161	130	78	149	295	194	251	251	153	199	183	238	166	126	150	266	76	197	216	161	130	78	149	295	194	251	251	153	199	183	238	166	126	150	266	76	197	216	161	130	78	149	295
0.7 to 1.7	254	219	182	273	225	193	123	253	257	186	207	294	215	213	207	318	126	192	264	201	193	177	204	313	198	284	238	155	186	207	294	215	213	207	318	126	192	264	201	193	177	204	313	198	284	238	155	186	207	294	215	213	207	318	126	192	264	201	193	177	204	313	198	284	238	155	186	207	294	215	213	207	318	126	192	264	201	193	177	204	313	198	284	238	155	186	207	294	215	213	207	318	126	192	264	201	193	177	204	313
0.8 to 1.8	199	224	136	252	182	146	111	219	255	178	154	254	189	165	200	309	119	133	214	196	207	166	205	223	140	273	222	110	178	154	254	189	165	200	309	119	133	214	196	207	166	205	223	140	273	222	110	178	154	254	189	165	200	309	119	133	214	196	207	166	205	223	140	273	222	110	178	154	254	189	165	200	309	119	133	214	196	207	166	205	223	140	273	222	110	178	154	254	189	165	200	309	119	133	214	196	207	166	205	223
0.9 to 1.9	199	224	137	268	182	154	116	219	262	192	156	258	204	165	204	339	121	133	214	196	207	166	212	223	150	274	222	125	192	156	258	204	165	204	339	121	133	214	196	207	166	212	223	150	274	222	125	192	156	258	204	165	204	339	121	133	214	196	207	166	212	223	150	274	222	125	192	156	258	204	165	204	339	121	133	214	196	207	166	212	223	150	274	222	125	192	156	258	204	165	204	339	121	133	214	196	207	166	212	223
1 to 2	220	206	157	229	218	154	132	217	264	235	166	257	206	165	260	293	141	127	255	226	190	165	236	238	163	228	204	157	235	166	257	206	165	260	293	141	127	255	226	190	165	236	238	163	228	204	157	235	166	257	206	165	260	293	141	127	255	226	190	165	236	238	163	228	204	157	235	166	257	206	165	260	293	141	127	255	226	190	165	236	238	163	228	204	157	235	166	257	206	165	260	293	141	127	255	226	190	165	236	238
1.1 to 2.1	207	133	172	155	208	155	106	227	225	210	143	205	147	156	245	274	120	115	235	190	184	187	232	212	127	221	133	156	210	143	205	147	156	245	274	120	115	235	190	184	187	232	212	127	221	133	156	210	143	205	147	156	245	274	120	115	235	190	184	187	232	212	127	221	133	156	210	143	205	147	156	245	274	120	115	235	190	184	187	232	212	127	221	133	156	210	143	205	147	156	245	274	120	115	235	190	184	187	232	212
1.2 to 2.2	197	117	156	122	198	153	134	209	215	142	138	142	139	158	204	256	120	129	205	148	162	182	202	184	165	221	91	136	142	138	142	139	158	204	256	120	129	205	148	162	182	202	184	165	221	91	136	142	138	142	139	158	204	256	120	129	205	148	162	182	202	184	165	221	91	136	142	138	142	139	158	204	256	120	129	205	148	162	182	202	184	165	221	91	136	142	138	142	139	158	204	256	120	129	205	148	162	182	202	184
1.3 to 2.3	167	118	157	131	233	141	161	171	217	166	140	171	121	155	202	239	131	105	170	145	193	207	207	201	191	233	105	151	166	140	171	121	155	202	239	131	105	170	145	193	207	207	201	191	233	105	151	166	140	171	121	155	202	239	131	105	170	145	193	207	207	201	191	233	105	151	166	140	171	121	155	202	239	131	105	170	145	193	207	207	201	191	233	105	151	166	140	171	121	155	202	239	131	105	170	145	193	207	207	201
1.4 to 2.4	169	118	161	131	241	141	166	189	218	187	142	177	125	158	202	261	133	117	171	162	196	207	226	201	191	234	110	161	187	142	177	125	158	202	261	133	117	171	162	196	207	226	201	191	234	110	161	187	142	177	125	158	202	261	133	117	171	162	196	207	226	201	191	234	110	161	187	142	177	125	158	202	261	133	117	171	162	196	207	226	201	191	234	110	161	187	142	177	125	158	202	261	133	117	171	162	196	207	226	201
1.5 to 2.5	149	116	157	104	227	91	164	181	195	181	142	151	125	149	202	250	108	112	171	128	192	205	173	157	179	173	107	150	181	142	151	125	149	202	250	108	112	171	128	192	205	173	157	179	173	107	150	181	142	151	125	149	202	250	108	112	171	128	192	205	173	157	179	173	107	150	181	142	151	125	149	202	250	108	112	171	128	192	205	173	157	179	173	107	150	181	142	151	125	149	202	250	108	112	171	128	192	205	173	157
1.6 to 2.6	122	63	157	104	204	90	148	149	136	176	119	146	104	139	173	167	99	112	158	99	167	181	164	129	170	133	87	109	176	119	146	104	139	173	167	99	112	158	99	167	181	164	129	170	133	87	109	176	119	146	104	139	173	167	99	112	158	99	167	181	164	129	170	133	87	109	176	119	146	104	139	173	167	99	112	158	99	167	181	164	129	170	133	87	109	176	119	146	104	139	173	167	99	112	158	99	167	181	164	129
1.7 to 2.7	74	19	100	50	166	71	125	64	90	162	89	142	53	55	157	187	56	113	117	68	145	97	149	100	185	97	71	141	162	89	142	53	55	157	187	56	113	117	68	145	97	149	100	185	97	71	141	162	89	142	53	55	157	187	56	113	117	68	145	97	149	100	185	97	71	141	162	89	142	53	55	157	187	56	113	117	68	145	97	149	100	185	97	71	141	162	89	142	53	55	157	187	56	113	117	68	145	97	149	100
1.8 to 2.8	78	41	97	51	163	85	125	73	102	176	89	143	65	61	157	179	55	114	138	66	132	120	156	101	194	134	65	143	176	89	143	65	61	157	179	55	114	138	66	132	120	156	101	194	134	65	143	176	89	143	65	61	157	179	55	114	138	66	132	120	156	101	194	134	65	143	176	89	143	65	61	157	179	55	114	138	66	132	120	156	101	194	134	65	143	176	89	143	65	61	157	179	55	114	138	66	132	120	156	101
1.9 to 2.9	78	41	96	35	163	77	120	73	95	162	87	139	50	61	153	149	53	114	138	66	132	120	149	101	184	133	65	128	162	87	139	50	61	153	149	53	114	138	66	132	120	149	101	184	133	65	128	162	87	139	50	61	153	149	53	114	138	66	132	120	149	101	184	133	65	128	162	87	139	50	61	153	149	53	114	138	66	132	120	149	101	184	133	65	128	162	87	139	50	61	153	149	53	114	138	66	132	120	149	101
2 to 3	57	39	72	57	119	78	106	78	94	162	70	125	48	62	79	169	36	118	85	38	157	132	133	78	153	143	104	106	162	70	125	48	62	79	169	36	118	85	38	157	132	133	78	153	143	104	106	162	70	125	48	62	79	169	36	118	85	38	157	132	133	78	153	143	104	106	162	70	125	48	62	79	169	36	118	85	38	157	132	133	78	153	143	104	106	162	70	125	48	62	79	169	36	118	85	38	157	132	133	78
2.1 to 3.1	56	39	54	61	75	65	120	56	115	164	60	119	46	23	79	154	37	90	53	45	128	109	101	75	139	115	100	92	164	60	119	46	23	79	154	37	90	53	45	128	109	101	75	139	115	100	92	164	60	119	46	23	79	154	37	90	53	45	128	109	101	75	139	115	100	92	164	60	119	46	23	79	154	37	90	53	45	128	109	101	75	139	115	100	92	164	60	119	46	23	79	154	37	90	53	45	128	109	101	75
2.2 to 3.2	52	39	58	71	76	63	92	52	115	146	64	119	42	16	87	147	35	67	65	43	108	99	119	79	104	103	114	90	146	64	119	42	16	87	147	35	67	65	43	108	99	119	79	104	103	114	90	146	64	119	42	16	87	147	35	67	65	43	108	99	119	79	104	103	114	90	146	64	119	42	16	87	147	35	67	65	43	108	99	119	79	104	103	114	90	146	64	119	42	16	87	147	35	67	65	43	108	99	119	79
2.3 to 3.3	36	36	54	57	40	50	63	41	64	114	27	74	28	14	84	130	24	57	57	41	77	61	112	37	78	69	95	74	114	27	74	28	14	84	130	24	57	57	41	77	61	112	37	78	69	95	74	114	27	74	28	14	84	130	24	57	57	41	77	61	112	37	78	69	95	74	114	27	74	28	14	84	130	24	57	57	41	77	61	112	37	78	69	95	74	114	27	74	28	14	84	130	24	57	57	41	77	61	112	37
2.4 to 3.4	61	49	50	81	53	57	58	45	63	99	41	101	39	60	88	120	22	60	67	35	81	97	101	44	92	107	99	85	99	41	101	39	60	88	120	22	60	67	35	81	97	101	44	92	107	99	85	99	41	101	39	60	88	120	22	60	67	35	81	97	101	44	92	107	99	85	99	41	101	39	60	88	120	22	60	67	35	81	97	101	44	92	107	99	85	99	41	101	39	60	88	120	22	60	67	35	81	97	101	44
2.5 to 3.5	81	75	88	114	68	62	72	55	67	152	60	148	48	71	105	181	51	88	110	42	129	106	135	61	138	135	156	125	152	60	148	48	71	105	181	51	88	110	42	129	106	135	61	138	135	156	125	152	60	148	48	71	105	181	51	88	110	42	129	106	135	61	138	135	156	125	152	60	148	48	71	105	181	51	88	110	42	129	106	135	61	138	135	156	125	152	60	148	48	71	105	181	51	88	110	42	129	106	135	61
2.6 to 3.6	82	89	91	120	71	62	72	57	67	154	63	149	48	104	119	181	51	100	110	57	148	106	152	63	140	139	156	131	154	63	149	48	104	119	181	51	100	110	57	148	106	152	63	140	139	156	131	154	63	149	48	104	119	181	51	100	110	57	148	106	152	63	140	139	156	131	154	63	149	48	104	119	181	51	100	110	57	148	106	152	63	140	139	156	131	154	63	149	48	104	119	181	51	100	110	57	148	106	152	63
2.7 to 3.7	64	90	92	132	111	66	44	51	71	155	72	122	53	158	77	135	55	107	119	54	116	119	134	72	121	145	179	101	155	72	122	53	158	77	135	55	107	119	54	116	119	134	72	121	145	179	101	155	72	122	53	158	77	135	55	107	119	54	116	119	134	72	121	145	179	101	155	72	122	53	158	77	135	55	107	119	54	116	119	134	72	121	145	179	101	155	72	122	53	158	77	135	55	107	119	54	116	119	134	72
2.8 to 3.8	58	62	105	150	122	67	57	51	57	139	72	118	49	157	81	170	61	108	108	74	118	103	173	74	117	117	188	105	139	72	118	49	157	81	170	61	108	108	74	118	103	173	74	117	117	188	105	139	72	118	49	157	81	170	61	108	108	74	118	103	173	74	117	117	188	105	139	72	118	49	157	81	170	61	108	108	74	118	103	173	74	117	117	188	105	139	72	118	49	157	81	170	61	108	108	74	118	103	173	74
2.9 to 3.9	63	88	113	180	160	113	75	78	81	152	78	137	85	163	92	206	73	113	115	90	144	122	196	119	118	123	204	107	152	78	137	85	163	92	206	73	113	115	90	144	122	196	119	118	123	204	107	152	78	137	85	163	92	206	73	113	115	90	144	122	196	119	118	123	204	107	152	78	137	85	163	92	206	73	113	115	90	144	122	196	119	118	123	204	107	152	78	137	85	163	92	206	73	113	115	90	144	122	196	119
3 to 4	63	123	105	170	181	126	101	102	90	136	74	179	102	177	110	195	100	127	132	98	119	117	221	145	132	131	202	97	136	74	179	102	177	110	195	100	127	132	98	119	117	221	145	132	131	202	97	136	74	179	102	177	110	195	100	127	132	98	119	117	221	145	132	131	202	97	136	74	179	102	177	110	195	100	127	132	98	119	117	221	145	132	131	202	97	136	74	179	102	177	110	195	100	127	132	98	119	117	221	145
3.1 to 4.1	71	177	172	191	200	127	103	137	77	132	80	221	143	201	99	209	121	150	158	119	128	135	254	155	157	154	253	109	132	80	221	143	201	99	209	121	150	158	119	128	135	254	155	157	154	253	109	132	80	221	143	201	99	209	121	150	158	119	128	135	254	155	157	154	253	109	132	80	221	143	201	99	209	121	150	158	119	128	135	254	155	157	154	253	109	132	80	221	143	201	99	209	121	150	158	119	128	135	254	155
3.2 to 4.2	110	177	176	182	216	130	114	177	81	145	115	237	150	215	95	210	137	155	151	138	141	146	245	166	160	161	273	145	145	115	237	150	215	95	210	137	155	151	138	141	146	245	166	160	161	273	145	145	115	237	150	215	95	210	137	155	151	138	141	146	245	166	160	161	273	145	145	115	237	150	215	95	210	137	155	151	138	141	146	245	166	160	161	273	145	145	115	237	150	215	95	210	137	155	151	138	141	146	245	166
3.3 to 4.3	111	185	193	208	220	175	127	190	89	154	124	252	164	229	115	223	162	163	157	153	148	160	285	167	179	172	315	147	154	124	252	164	229	115	223	162	163	157	153	148	160	285	167	179	172	315	147	154	124	252	164	229	115	223	162	163	157	153	148	160	285	167	179	172	315	147	154	124	252	164	229	115	223	162	163	157	153	148	160	285	167	179	172	315	147	154	124	252	164	229	115	223	162	163	157	153	148	160	285	167
3.4 to 4.4	84	172	193	184	199	168	127	168	89	148	108	219	149	180	111	211	162	148	146	142	141	124	277	160	165	133	306	126	148	108	219	149	180	111	211	162	148	146	142	141	124	277	160	165	133	306	126	148	108	219	149	180	111	211	162	148	146	142	141	124	277	160	165	133	306	126	148	108	219	149	180	111	211	162	148	146	142	141	124	277	160	165	133	306	126	148	108	219	149	180	111	211	162	148	146	142	141	124	277	160
3.5 to 4.5	72	146	156	168	201	186	115	173	88	103	92	175	152	210	102	153	145	123	124	144	93	116	254	153	120	116	249	86	103	92	175	152	210	102	153	145	123	124	144	93	116	254	153	120	116	249	86	103	92	175	152	210	102	153	145	123	124	144	93	116	254	153	120	116	249	86	103	92	175	152	210	102	153	145	123	124	144	93	116	254	153	120	116	249	86	103	92	175	152	210	102	153	145	123	124	144	93	116	254	153
3.6 to 4.6	91	150	173	191	202	186	131	176	105	129	119	193	164	182	89	165	181	112	138	150	81	121	246	159	125	116	252	88	129	119	193	164	182	89	165	181	112	138	150	81	121	246	159	125	116	252	88	129	119	193	164	182	89	165	181	112	138	150	81	121	246	159	125	116	252	88	129	119	193	164	182	89	165	181	112	138	150	81	121	246	159	125	116	252	88	129	119	193	164	182	89	165	181	112	138	150	81	121	246	159
3.7 to 4.7	102	156	181	214	177	189	118	191	106	164	131	171	187	164	121	153	179	89	158	168	100	112	241	174	110	105	220	95	164	131	171	187	164	121	153	179	89	158	168	100	112	241	174	110	105	220	95	164	131	171	187	164	121	153	179	89	158	168	100	112	241	174	110	105	220	95	164	131	171	187	164	121	153	179	89	158	168	100	112	241	174	110	105	220	95	164	131	171	187	164	121	153	179	89	158	168	100	112	241	174
3.8 to 4.8	101	155	167	195	165	173	104	181	103	161	131	164	175	159	117	117	170	87	148	148	92	102	192	170	105	96	205	85	161	131	164	175	159	117	117	170	87	148	148	92	102	192	170	105	96	205	85	161	131	164	175	159	117	117	170	87	148	148	92	102	192	170	105	96	205	85	161	131	164	175	159	117	117	170	87	148	148	92	102	192	170	105	96	205	85	161	131	164	175	159	117	117	170	87	148	148	92	102	192	170
3.9 to 4.9	116	146	190	187	136	140	118	192	93	163	179	166	150	185	115	104	178	100	143	169	70	85	189	139	137	105	206	103	163	179	166	150	185	115	104	178	100	143	169	70	85	189	139	137	105	206	103	163	179	166	150	185	115	104	178	100	143	169	70	85	189	139	137	105	206	103	163	179	166	150	185	115	104	178	100	143	169	70	85	189	139	137	105	206	103	163	179	166	150	185	115	104	178	100	143	169	70	85	189	139
4 to 5	122	117	178	172	116	122	98	175	84	137	176	124	135	172	97	90	147	77	124	173	74	77	154	114	134	85	164	102	137	176	124	135	172	97	90	147	77	124	173	74	77	154	114	134	85	164	102	137	176	124	135	172	97	90	147	77	124	173	74	77	154	114	134	85	164	102	137	176	124	135	172	97	90	147	77	124	173	74	77	154	114	134	85	164	102	137	176	124	135	172	97	90	147	77	124	173	74	77	154	114
4.1 to 5.1	115	63	129	144	91	120	91	146	92	122	173	89	100	148	92	82	132	50	108	150	90	56	125	94	116	63	111	103	122	173	89	100	148	92	82	132	50	108	150	90	56	125	94	116	63	111	103	122	173	89	100	148	92	82	132	50	108	150	90	56	125	94	116	63	111	103	122	173	89	100	148	92	82	132	50	108	150	90	56	125	94	116	63	111	103	122	173	89	100	148	92	82	132	50	108	150	90	56	125	94
4.2 to 5.2	76	58	121	138	61	117	80	106	77	106	134	73	93	134	81	77	116	44	93	128	77	43	114	76	104	54	74	64	106	134	73	93	134	81	77	116	44	93	128	77	43	114	76	104	54	74	64	106	134	73	93	134	81	77	116	44	93	128	77	43	114	76	104	54	74	64	106	134	73	93	134	81	77	116	44	93	128	77	43	114	76	104	54	74	64	106	134	73	93	134	81	77	116	44	93	128	77	43	114	76
4.3 to 5.3	75	50	104	112	57	72	67	93	69	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75	85	43	32	62	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75	85	43	32	62	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75	85	43	32	62	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75	85	43	32	62	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75
4.4 to 5.4	75	50	104	112	57	72	67	93	69	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75	85	43	32	62	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75	85	43	32	62	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75	85	43	32	62	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75	85	43	32	62	97	125	58	79	120	61	64	91	36	87	113	70	29	74	75
4.5 to 5.5	85	57	152	150	61	66	71	96	90	108	136	80	101	121	80	88	93	49	76	112	80	31	97	72	123	47	57	83	108	136	80	101	121	80	88	93	49	76	112	80	31	97	72	123	47	57	83	108	136	80	101	121	80	88	93	49	76	112	80	31	97	72	123	47	57	83	108	136	80	101	121	80	88	93	49	76	112	80	31	97	72	123	47	57	83	108	136	80	101	121	80	88	93	49	76	112	80	31	97	72
4.6 to 5.6	95	52	152	135	65	76	58	102	98	90	120	89	106	132	107	82	67	96	86	123	96	72	103	79	139	60	106	80	90	120	89	106	132	107	82	67	96	86	123	96	72	103	79	139	60	106	80	90	120	89	106	132	107	82	67	96	86	123	96	72	103	79	139	60	106	80	90	120	89	106	132	107	82	67	96	86	123	96	72	103	79	139	60	106	80	90	120	89	106	132	107	82	67	96	86	123	96	72	103	79
4.7 to 5.7	79	44	119	95	40	49	58	86	88	48	94	82	71	92	74	68	53	83	50	99	68	53	83	40	115	55	95	65	48	94	82	71	92	74	68	53	83	50	99	68	53	83	40	115	55	95	65	48	94	82	71	92	74	68	53	83	50	99	68	53	83	40	115	55	95	65	48	94	82	71	92	74	68	53	83	50	99	68	53	83	40	115	55	95	65	48	94	82	71	92	74	68	53	83	50	99	68	53	83	40
4.8 to 5.8	95	44	130	112	48	49	58	93	92	49	95	93	85	93	88	78	53	102	62	111	96	56	91	43	127	57	109	65	49	95	93	85	93	88	78	53	102	62	111	96	56	91	43	127	57	109	65	49	95	93	85	93	88	78	53	102	62	111	96	56	91	43	127	57	109	65	49	95	93	85	93	88	78	53	102	62	111	96	56	91	43	127	57	109	65	49	95	93	85	93	88	78	53	102	62	111	96	56	91	43
4.9 to 5.9	75	27	99	90	39	36	26	55	78	34	41	72	74	61	79	55	33	84	60	74	92	54	71	29	94	42	92	45	34	41	72	74	61	79	55	33	84	60	74	92	54	71	29	94	42	92	45	34	41	72	74	61	79	55	33	84	60	74	92	54	71	29	94	42	92	45	34	41	72	74	61	79	55	33	84	60	74	92	54	71	29	94	42	92	45	34	41	72	74	61	79	55	33	84	60	74	92	54	71	29
5 to 6	69	20	99	90	38	32	18	43	74	32	40	72	72	59	78	52	33	84	56	60	87	52	70	25	82	36	92	40	32	40	72	72	59	78	52	33	84	56	60	87	52	70	25	82	36	92	40	32	40	72	72	59	78	52	33	84	56	60	87	52	70	25	82	36	92	40	32	40	72	72	59	78	52	33	84	56	60	87	52	70	25	82	36	92	40	32	40	72	72	59	78	52	33	84	56	60	87	52	70	25
5.1 to 6.1	64	20	80	86	37	27	9	36	53	30	29	64	65	59	69	43	24	83	46	52	61	52	57	25	74	34	91	26	30	29	64	65	59	69	43	24	83	46	52	61	52	57	25	74	34	91	26	30	29	64	65	59	69	43	24	83	46	52	61	52	57	25	74	34	91	26	30	29	64	65	59	69	43	24	83	46	52	61	52	57	25	74	34	91	26	30	29	64	65	59	69	43	24	83	46	52	61	52	57	25
5.2 to 6.2	64	21	86	92	46	54	9	42	66	51	47	74	74	71	73	64	31	96	48	55	72	54	66	41	104	51	92	51	51	47	74	74	71	73	64	31	96	48	55	72	54	66	41	104	51	92	51	51	47	74	74	71	73	64	31	96	48	55	72	54	66	41	104	51	92	51	51	47	74	74	71	73	64	31	96	48	55	72	54	66	41	104	51	92	51	51	47	74	74	71	73	64	31	96	48	55	72	54	66	41
5.3 to 6.3	71	32	86	92	51	60	19	47	70	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48	110	57	93	55	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48	110	57	93	55	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48	110	57	93	55	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48	110	57	93	55	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48
5.4 to 6.4	71	32	86	92	51	60	19	47	70	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48	110	57	93	55	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48	110	57	93	55	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48	110	57	93	55	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48	110	57	93	55	54	56	74	84	72	78	71	31	96	63	63	72	56	70	48
5.5 to 6.5	53	25	37	37	30	43	13	29	46	35	42	49	50	30	51	44	17	80	53	55	62	53	36	41	71	42	68	34	35	42	49	50	30	51	44	17	80	53	55	62	53	36	41	71	42	68	34	35	42	49	50	30	51	44	17	80	53	55	62	53	36	41	71	42	68	34	35	42	49	50	30	51	44	17	80	53	55	62	53	36	41	71	42	68	34	35	42	49	50	30	51	44	17	80	53	55	62	53	36	41
5.6 to 6.6	29	23	19	39	45	34	15	18	51	38	57	40	37	22	32	57	16	46	36	29	48	23	46	45	58	39	28	41	38	57	40	37	22	32	57	16	46	36	29	48	23	46	45	58	39	28	41	38	57	40	37	22	32	57	16	46	36	29	48	23	46	45	58	39	28	41	38	57	40	37	22	32	57	16	46	36	29	48	23	46	45	58	39	28	41	38	57	40	37	22	32	57	16	46	36	29	48	23	46	45
5.7 to 6.7	41	34	53	53	65	71	27	28	67	57	60	52	58	36	58	57	45	50	70	45	60	47	54	72	68	50	51	56	57	60	52	58	36	58	57	45	50	70	45	60	47	54	72	68	50	51	56	57	60	52	58	36	58	57	45	50	70	45	60	47	54	72	68	50	51	56	57	60	52	58	36	58	57	45	50	70	45	60	47	54	72	68	50	51	56	57	60	52	58	36	58	57	45	50	70	45	60	47	54	72
