,model,lnL,AIC,AICc,timing,tree.no,delta,w
88,fit_env,58.6293792993164,-111.258758598633,-111.006127019685,NA,8,21.460470280315,9.7514717911181e-06
89,EB,68.65903023,-129.3180605,-128.8925286,NA8,9,7.1048117,0.0238290034351724
90,delta,66.56599429,-125.1319886,-124.7064567,NA8,9,11.2908836,0.00293840677288787
91,TS ,61.1387019,-116.2774038,-116.0220847,38,9,19.9752556,3.8222975949836e-05
92,TRC ,72.21372393,-136.4274479,-135.9973403,10,9,0,0.831564877695381
93,SRC ,64.80303412,-123.6060682,-123.3507491,117,9,12.6465912,0.00149184516633026
94,OUS ,60.84957059,-111.6991412,-111.0539799,NAS 31.7127629999981,9,24.9433604,3.18797015578158e-06
95,OUMA ,72.15827581,-132.3165516,-131.4035081,NAMA 29.3534198703173,9,4.59383219999998,0.0836292400647503
96,OUMV ,71.4162551,-130.8325102,-129.9194667,NAMV 29.3534198742005,9,6.0778736,0.0398201282939695
97,OUMVA ,71.70465669,-129.4093134,-128.1785441,NAMVA 29.0127553407891,9,7.81879619999998,0.0166750104831879
98,DensDep,57.8816855202453,-111.763371040491,-111.638371040491,NA,9,24.358969259509,4.26985543077516e-06
99,fit_env,59.2530348111908,-112.506069622382,-112.253438043434,NA,9,23.743902256566,5.80728678454318e-06
100,EB,73.64708607,-139.2941721,-138.8686402,NA9,10,5.6001535,0.0552895558724029
101,delta,71.06871378,-134.1374276,-133.7118956,NA9,10,10.7568981,0.00419633584907179
102,TS ,60.70627679,-115.4125536,-115.1572344,39,10,29.3115593,3.92443149851319e-07
103,TRC ,76.44945063,-144.8989013,-144.4687937,101,10,0,0.909287001551833
104,SRC ,67.3664422,-128.7328844,-128.4775652,118,10,15.9912285,0.000306372538212751
105,OUS ,58.03037761,-106.0607552,-105.4155939,NAS 36.2568233694462,10,39.0531998,3.00889058855349e-09
106,OUMA ,75.02674124,-138.0534825,-137.140439,NAMA 32.6997071645179,10,7.32835470000001,0.0233007005728647
107,OUMV ,71.11890615,-130.2378123,-129.3247688,NAMV 49.9616328235351,10,15.1440249,0.000467969726381675
108,OUMVA ,75.00445551,-136.008911,-134.7781418,NAMVA 32.6998296054032,10,9.69065190000001,0.00715159084401999
109,DensDep,56.235391485736,-108.470782971472,-108.345782971472,NA,10,36.123010728528,1.30223351451482e-08
110,fit_env,58.9003041793371,-111.800608358674,-111.547976779727,NA,10,32.920816920273,6.45708374017474e-08
111,EB,74.77247341,-141.5449468,-141.1194149,NA10,11,6.7615203,0.0321743157149129
112,delta,70.7546296,-133.5092592,-133.0837273,NA10,11,14.7972079,0.000578871179342366
113,TS ,49.51483485,-93.02966969,-92.77435054,310,11,55.10658466,1.02214375524658e-12
114,TRC ,78.15552137,-148.3110427,-147.8809352,81,11,0,0.945703065617099
115,SRC ,65.04541435,-124.0908287,-123.8355095,119,11,24.0454257,5.68011264632791e-06
116,OUS ,50.17138369,-90.34276738,-89.69760609,NAS 41.9630578621445,11,58.18332911,2.19485286106017e-13
117,OUMA ,76.33759623,-140.6751925,-139.762149,NAMA 40.2462456910519,11,8.11878620000002,0.0163223532871021
118,OUMV ,69.71785323,-127.4357065,-126.522663,NAMV 53.0500218277915,11,21.3582722,2.17703252329482e-05
119,OUMVA ,76.35141686,-138.7028337,-137.4720645,NAMVA 40.2462508210664,11,10.4088707,0.00519394376182117
120,DensDep,43.8227954461509,-83.6455908923017,-83.5205908923017,NA,11,64.3603443076983,1.00019252326983e-14
121,fit_env,48.9661027921589,-91.9322055843179,-91.6795740053705,NA,11,56.2013611946295,5.91267864570485e-13
122,EB,71.78903623,-135.5780725,-135.1525406,NA11,12,7.29944699999999,0.0244187155610839
123,delta,68.78514429,-129.5702886,-129.1447567,NA11,12,13.3072309,0.00121101387196585
124,TS ,58.92212893,-111.8442579,-111.5889387,311,12,30.8630489,1.86617203264853e-07
125,TRC ,75.44104756,-142.8820951,-142.4519876,82,12,0,0.939242190186516
126,SRC ,69.00368913,-132.0073783,-131.7520591,8,12,10.6999285,0.00445982317985228
127,OUS ,57.92962402,-105.859248,-105.2140868,NAS 42.5623000760573,12,37.2379008,7.70318228646088e-09
128,OUMA ,73.97932163,-135.9586433,-135.0455998,NAMA 40.3835144516873,12,7.4063878,0.0231473307028818
129,OUMV ,67.81377437,-123.6275487,-122.7145053,NAMV 52.0519648694629,12,19.7374823,4.86225540546378e-05
130,OUMVA ,74.00746202,-134.014924,-132.7841548,NAMVA 40.3835145273124,12,9.66783279999999,0.00747195717470212
131,DensDep,57.0091921088261,-110.018384217652,-109.893384217652,NA,12,32.558603382348,7.99404702868145e-08
132,fit_env,57.9754237674437,-109.950847534887,-109.69821595594,NA,12,32.75377164406,7.25080873581718e-08
133,EB,71.15953158,-134.3190632,-133.8935313,NA12,13,5.01075950000001,0.0527387905795411
134,delta,68.5706973,-129.1413946,-128.7158627,NA12,13,10.1884281,0.00396108092513844
135,TS ,59.73649051,-113.472981,-113.2176619,312,13,25.6866289,1.70774165469903e-06
136,TRC ,73.66719918,-139.3343984,-138.9042908,83,13,0,0.645955747369945
137,SRC ,65.50044816,-125.0008963,-124.7455772,9,13,14.1587136,0.000544098054521228
138,OUS ,59.13530273,-108.2706055,-107.6254442,NAS 39.4025312052909,13,31.2788466,1.04252751839987e-07
139,OUMA ,74.65175445,-137.3035089,-136.3904654,NAMA 37.3841062867094,13,2.5138254,0.183794502438821
140,OUMV ,69.51346931,-127.0269386,-126.1138951,NAMV 51.7314199565165,13,12.7903957,0.0010784589768682
141,OUMVA ,75.3146275,-136.629255,-135.3984858,NAMVA 37.3841311052451,13,3.50580500000001,0.111924943453921
142,DensDep,56.8194625955567,-109.638925191113,-109.513925191113,NA,13,29.390365608887,2.6801923556559e-07
143,fit_env,57.9899424549269,-109.979884909854,-109.727253330906,NA,13,29.177037469094,2.98187601101632e-07
144,EB,70.91079911,-133.8215982,-133.3960663,NA13,14,9.30506299999999,0.00899006086893792
145,delta,68.42928105,-128.8585621,-128.4330302,NA13,14,14.2680991,0.000751714688359763
146,TS ,55.8005789,-105.6011578,-105.3458386,313,14,37.3552907,7.29009317512556e-09
147,TRC ,75.56561841,-143.1312368,-142.7011293,62,14,0,0.942608582138092
148,SRC ,67.00722723,-128.0144545,-127.7591353,7,14,14.941994,0.000536683963106002
149,OUS ,60.29965371,-110.5993074,-109.9541461,NAS 43.659372977599,14,32.7469832,7.30153780486132e-08
150,OUMA ,74.53019599,-137.060392,-136.1473485,NAMA 43.3255391886771,14,6.5537808,0.035579182984463
151,OUMV ,69.01936363,-126.0387273,-125.1256838,NAMV 53.7322476518353,14,17.5754455,0.000143837422044632
152,OUMVA ,74.55002075,-135.1000415,-133.8692723,NAMVA 43.3255392345616,14,8.83185699999999,0.0113898501284033
153,DensDep,54.76382585091,-105.52765170182,-105.40265170182,NA,14,37.29847759818,7.50014893296111e-09
154,fit_env,46.8782399766583,-87.7564799533166,-87.5038483743692,NA,14,55.1972809256308,9.73630406624746e-13
155,EB,70.14245994,-132.2849199,-131.859388,NA14,15,6.0071394,0.0372661375913242
156,delta,68.09507832,-128.1901566,-127.7646247,NA14,15,10.1019027,0.00481003049944896
157,TS ,59.92330674,-113.8466135,-113.5912943,314,15,24.2752331,4.02205716336688e-06
158,TRC ,73.14831744,-138.2966349,-137.8665274,84,15,0,0.751187114810932
159,SRC ,64.73329474,-123.4665895,-123.2112703,91,15,14.6552571,0.000493627657839483
160,OUS ,61.25662353,-112.5132471,-111.8680858,NAS 36.6968869074082,15,25.9984416,1.69925386864758e-06
161,OUMA ,71.69216173,-131.3843235,-130.47128,NAMA 35.2972065751551,15,7.39524739999999,0.0186161796255217
162,OUMV ,70.53540451,-129.070809,-128.1577655,NAMV 48.2515943870629,15,9.70876189999998,0.00585487018373318
163,OUMVA ,75.12970793,-136.2594159,-135.0286466,NAMVA 33.5189651875991,15,2.83788079999999,0.181764951101969
164,DensDep,57.2166801830912,-110.433360366182,-110.308360366182,NA,15,27.558167033818,7.79055131877319e-07
165,fit_env,57.9994183913756,-109.998836782751,-109.746205203804,NA,15,28.120322196196,5.88163067308481e-07
166,EB,68.72264687,-129.4452937,-129.0197618,NA15,16,6.78761080000001,0.0284054032280925
167,delta,66.65853116,-125.3170623,-124.8915304,NA15,16,10.9158422,0.00360551162489595
168,TS ,50.9569944,-95.9139888,-95.65866965,315,16,40.14870295,1.61857132912808e-09
169,TRC ,72.11874005,-136.2374801,-135.8073726,74,16,0,0.845886154651689
170,SRC ,60.57933546,-115.1586709,-114.9033518,1110,16,20.9040208,2.44377644840441e-05
171,OUS ,53.73885993,-97.47771987,-96.83255858,NAS 39.1232469822449,16,38.97481402,2.91097573628197e-09
172,OUMA ,72.09661636,-132.1932327,-131.2801892,NAMA 38.3557388168334,16,4.52718340000001,0.087952164511121
173,OUMV ,68.33868166,-124.6773633,-123.7643198,NAMV 38.3557392829259,16,12.0430528,0.00205208917010527
174,OUMVA ,72.24673912,-130.4934782,-129.262709,NAMVA 38.3557389587523,16,6.54466360000001,0.0320742324890632
175,DensDep,46.8966186885394,-89.7932373770787,-89.6682373770787,NA,16,46.1391352229213,8.0970347472902e-11
176,fit_env,51.1419525031666,-96.2839050063332,-96.0312734273858,NA,16,39.7760991726142,1.95003194255425e-09
177,EB,68.89487435,-129.7897487,-129.3642168,NA16,17,8.21874149999999,0.0161128343114768
178,delta,67.01860341,-126.0372068,-125.6116749,NA16,17,11.9712834,0.0024678446704139
179,TS ,50.70238532,-95.40477063,-95.14945148,316,17,42.43350682,5.99142396503292e-10
180,TRC ,73.00653293,-138.0130659,-137.5829583,85,17,0,0.981406617576117
181,SRC ,60.66237084,-115.3247417,-115.0694225,92,17,22.5135358,1.2679344417861e-05
182,OUS ,50.30450794,-90.60901587,-89.96385458,NAS 52.7065302296863,17,47.61910372,4.48220785847749e-11
183,OUMA ,56.78876638,-101.5775328,-100.6644893,NAMA 52.082855004693,17,36.918469,9.44289800021346e-09
184,OUMV ,55.63635631,-99.27271263,-98.35966915,NAMV 51.8340989032845,17,39.22328915,2.98277134409671e-09
185,OUMVA ,58.05765921,-102.1153184,-100.8845492,NAMVA 52.0828559945482,17,36.6984091,1.05412156638996e-08
