model,lnL,AIC,AICc,delta,w,tree.no,timing
TRC,70.62933728,-133.2586746,-132.9437139,0.243736206,0.391179628,59,5
SRC,69.68747506,-133.3749501,-133.1874501,0,0.441878503,59,5
TRC,69.538641,-131.077282,-130.7623214,1.264197545,0.243266334,60,5
SRC,69.10700946,-132.2140189,-132.0265189,0,0.457719082,60,5
EB,66.38215712,-124.7643142,-124.4518142,1.97748689,0.240881814,61,NA
TRC,67.37213088,-126.7442618,-126.4293011,0,0.647455367,61,4
TRC,70.15881689,-132.3176338,-132.0026731,0,0.631652239,62,5
EB,67.07465474,-126.1493095,-125.8368095,1.513400453,0.299685454,63,NA
TRC,67.83258529,-127.6651706,-127.3502099,0,0.638699235,63,5
EB,66.71168528,-125.4233706,-125.1108706,1.05407695,0.294311751,64,NA
TRC,67.23995407,-126.4799081,-126.1649475,0,0.498537124,64,4
EB,67.22536329,-126.4507266,-126.1382266,1.866511176,0.124972932,65,NA
TS,66.73370582,-127.4674116,-127.2799116,0.724826133,0.221171782,65,11
TRC,67.58403032,-127.1680606,-126.8531,1.151637747,0.178668813,65,4
SRC,67.09611888,-128.1922378,-128.0047378,0,0.317777916,65,7
TS,65.87972187,-125.7594437,-125.5719437,1.520487642,0.195031262,66,11
TRC,66.7342978,-125.4685956,-125.153635,1.938796416,0.158223008,66,8
SRC,66.63996569,-127.2799314,-127.0924314,0,0.417132404,66,8
TRC,65.1625212,-122.3250424,-122.0100818,0,0.663579687,67,4
EB,66.74464191,-125.4892838,-125.1767838,0.104810129,0.350530206,68,NA
TRC,66.01697633,-124.0339527,-123.718992,1.562601922,0.16911027,68,4
SRC,65.73454698,-125.469094,-125.281594,0,0.369389613,68,7
EB,65.95982495,-123.9196499,-123.6071499,0,0.482456899,69,NA
SRC,64.24769018,-122.4953804,-122.3078804,1.299269537,0.251956592,69,8
EB,64.65551679,-121.3110336,-120.9985336,1.963280277,0.250765269,70,NA
TRC,65.63838725,-123.2767745,-122.9618139,0,0.669249848,70,4
TRC,67.01604817,-126.0320963,-125.7171357,1.846822721,0.202138339,71,5
SRC,66.87572921,-127.7514584,-127.5639584,0,0.50895707,71,7
EB,66.76553006,-125.5310601,-125.2185601,0,0.637850122,72,NA
EB,65.8353153,-123.6706306,-123.3581306,0,0.582267636,73,NA
TRC,65.19406839,-122.3881368,-122.0731761,1.284954454,0.306265683,73,4
EB,67.94622545,-127.8924509,-127.5799509,0.954212773,0.263573422,74,NA
TRC,67.45140521,-126.9028104,-126.5878498,1.946313875,0.16049799,74,7
SRC,67.36083183,-128.7216637,-128.5341637,0,0.424723494,74,7
EB,68.86315569,-129.7263114,-129.4138114,0,0.403651038,75,NA
SRC,67.44879996,-128.8975999,-128.7100999,0.703711465,0.283920709,75,7
EB,65.47880386,-122.9576077,-122.6451077,0,0.522084301,76,NA49
TS,68.08341961,-130.1668392,-129.9793392,1.403784008,0.104314062,77,11
TRC,68.90196614,-129.8039323,-129.4889717,1.894151578,0.081632085,77,11
SRC,68.78531162,-131.5706232,-131.3831232,0,0.21046054,77,7
BMS,70.66921692,-131.3384338,-130.8659929,0.517130344,0.162508938,77,NA
OUMA,71.90817539,-131.8163508,-131.1496841,0.233439116,0.187275093,77,NA
OUMV,71.28414645,-130.5682929,-129.9016262,1.481497003,0.100338521,77,NA
OUMVA,72.26903365,-130.5380673,-129.6420673,1.741055926,0.08812623,77,NA
