,model,lnL,AIC,AICc,timing,tree.no,delta,w
608,oumv ,220.0743696,-428.1487393,-427.6872008,42.1136809,51,22.7352184,8.20744482193909e-06
609,oumva ,220.0985134,-426.1970268,-425.5782423,a 42.1136274018727,51,24.8441769,2.8592587058833e-06
610,DensDep,216.684434674444,-429.368869348889,-429.304353219857,NA,51,21.118065980143,1.84233311269474e-05
611,fit_env,217.328476391414,-428.656952782828,-428.527223053098,NA,51,21.895196146902,1.24915544759721e-05
612,fit_bgb,214.684775962401,-423.369551924803,-423.239822195073,NA,51,27.182597004927,8.88120670539208e-07
613,EB,223.4546834,-438.9093669,-438.6919756,NA51,52,15.5141889,0.000315636118247391
614,delta,221.2137198,-434.4274396,-434.2100483,NA51,52,19.9961162,3.35697839625583e-05
615,ts ,223.9470672,-441.8941344,-441.7636996,NA 1149,52,12.4424649,0.0014662333223396
616,trc ,230.1690827,-452.3381654,-452.1195862,NA 1121,52,2.08657829999999,0.259989188265696
617,src ,230.1682996,-454.3365992,-454.2061645,NA 1125,52,0,0.737989204583186
618,ous ,215.2731402,-420.5462803,-420.2184115,22.86811002,52,33.987753,3.07399543945155e-08
619,ouma ,221.9237731,-431.8475462,-431.3860078,37.67970464,52,22.8201567,8.17929634515218e-06
620,oumv ,221.9692652,-431.9385304,-431.4769919,37.54145741,52,22.7291726,8.55998275492062e-06
621,oumva ,225.9356847,-437.8713694,-437.2525848,a 26.1317915668605,52,16.9535797,0.000153683397453496
622,DensDep,218.698065417348,-433.396130834696,-433.331614705664,NA,52,20.874549794336,2.1637103125785e-05
623,fit_env,219.290100123817,-432.580200247634,-432.450470517904,NA,52,21.755693982096,1.39271125643268e-05
624,fit_bgb,214.761103201964,-423.522206403927,-423.392476674197,NA,52,30.813687825803,1.50294370598073e-07
625,EB,222.9942006,-437.9884013,-437.77101,NA52,53,6.6091935,0.022706843009636
626,delta,217.3416228,-426.6832456,-426.4658543,NA52,53,17.9143492,7.9666069085011e-05
627,ts ,218.2038676,-430.4077353,-430.2773005,NA 1150,53,14.102903,0.000535696014044377
628,trc ,225.7528341,-443.5056681,-443.2870889,NA 1022,53,1.09311459999998,0.35806186660926
629,src ,225.2553191,-444.5106382,-444.3802035,NA 1021,53,0,0.61847890418797
630,ous ,213.1464183,-416.2928366,-415.9649677,4.97378411,53,28.4152358,4.17863883190327e-07
631,ouma ,212.5584151,-413.1168302,-412.6552918,39.84468388,53,31.7249117,7.98634092608203e-08
632,oumv ,219.21278,-426.42556,-425.9640215,35.65989858,53,18.416182,6.19871659127638e-05
633,oumva ,218.9850568,-423.9701136,-423.3513291,a 34.8624754600337,53,21.0288744,1.67866035774939e-05
634,DensDep,214.109454157627,-424.218908315255,-424.154392186222,NA,53,20.225811313778,2.50810531201894e-05
635,fit_env,215.359944171752,-424.719888343504,-424.590158613775,NA,53,19.790044886225,3.11868308976428e-05
636,fit_bgb,212.315180654445,-418.630361308891,-418.500631579161,NA,53,25.879571920839,1.48472920455447e-06
637,EB,226.7586269,-445.5172539,-445.2998626,NA53,54,0.659066800000005,0.27413587431497
638,delta,221.2382641,-434.4765283,-434.259137,NA53,54,11.6997924,0.00109774829264356
639,ts ,216.8646821,-427.7293641,-427.5989294,NA 1151,54,18.36,3.92877416971824e-05
640,trc ,226.9848991,-445.9697981,-445.7512189,NA 1122,54,0.207710499999962,0.343539475045877
641,src ,226.0446821,-446.0893642,-445.9589294,NA 1126,54,0,0.381136384307645
642,ous ,212.7926791,-415.5853582,-415.2574894,22.81495818,54,30.70144,8.21008059501662e-08
643,ouma ,212.4288233,-412.8576467,-412.3961082,34.83382317,54,33.5628212,1.96338915387236e-08
644,oumv ,219.6275095,-427.2550191,-426.7934806,37.72636258,54,19.1654488,2.62637104125728e-05
645,oumva ,219.6555996,-425.3111991,-424.6924146,a 36.4174439674725,54,21.2665148,9.18576638657942e-06
646,DensDep,213.928156146203,-423.856312292405,-423.791796163373,NA,54,22.167133236627,5.85529239870495e-06
647,fit_env,214.708878424399,-423.417756848798,-423.288027119068,NA,54,22.670902280932,4.5515207762241e-06
648,fit_bgb,214.855878493999,-423.711756987998,-423.582027258269,NA,54,22.376902141731,5.27227249590483e-06
649,EB,221.6810665,-435.3621329,-435.1447416,NA54,55,0,0.664739361688258
650,delta,216.2616562,-424.5233125,-424.3059212,NA54,55,10.8388204,0.00294463487036079
651,ts ,210.4931479,-414.9862959,-414.8558611,NA 1152,55,20.2888804999999,2.61202285795074e-05
652,trc ,220.0804725,-432.1609449,-431.9423657,NA 1123,55,3.20237589999999,0.134049224098794
653,src ,219.4274255,-432.854851,-432.7244162,NA 1127,55,2.42032539999997,0.198191220850438
654,ous ,207.2393496,-404.4786993,-404.1508304,33.74058265,55,30.9939112,1.23711220727687e-07
655,ouma ,213.3471667,-414.6943335,-414.232795,33.53651434,55,20.9119466,1.91284547801785e-05
656,oumv ,212.6521754,-413.3043508,-412.8428123,33.53650723,55,22.3019293,9.54660558800731e-06
657,oumva ,213.3773423,-412.7546845,-412.1359,a 33.536693570622,55,23.0088416,6.70416855623104e-06
658,DensDep,207.754122378542,-411.508244757084,-411.443728628051,NA,55,23.701012971949,4.74287655378905e-06
659,fit_env,207.731014328814,-409.462028657627,-409.332298927898,NA,55,25.812442672102,1.65025359402048e-06
660,fit_bgb,209.2505983846,-412.501196769199,-412.371467039469,NA,55,22.773274560531,7.54219327676977e-06
661,EB,223.5145576,-439.0291152,-438.8117239,NA55,56,0.964144099999999,0.308635698274188
662,delta,219.3586227,-430.7172454,-430.4998541,NA55,56,9.27601390000001,0.00483667118001135
663,ts ,218.1677161,-430.3354322,-430.2049974,NA 1153,56,9.57087059999998,0.00417368092126839
664,trc ,222.9750073,-437.9500146,-437.7314353,NA 1124,56,2.04443270000002,0.179830962309292
665,src ,222.9531514,-439.9063027,-439.775868,NA 1128,56,0,0.499812816525032
666,ous ,214.6316472,-419.2632945,-418.9354256,18.47772212,56,20.8404424,1.49060584897991e-05
667,ouma ,214.6090252,-417.2180505,-416.756512,35.6018115,56,23.019356,5.01438579513764e-06
668,oumv ,220.0303206,-428.0606412,-427.5991027,40.92111742,56,12.1767653,0.00113411318573601
669,oumva ,219.547002,-425.0940039,-424.4752194,a 35.6017780886854,56,15.3006486,0.00023785580776931
