,model,lnL,AIC,AICc,timing,tree.no,delta,w
109,OUMVA,52.63427522,-91.26855044,-90.37255044,OUMVA 27.4611038271126,6,42.69382355,4.13E-10
110,DensDep,51.44023425,-98.88046849,-98.7881608,NA,6,34.27821319,2.78E-08
115,BM,62.68212182,-119.3642436,-119.1781971,BM6,7,15.0993814,0.000300383
116,EB,47.71525815,-87.4305163,-87.1180163,EB6,7,47.1595622,3.28E-11
117,OU,62.68212202,-117.364244,-117.051744,OU6,7,17.2258345,0.000103734
118,kappa,58.99594086,-109.9918817,-109.6793817,kappa6,7,24.5981968,2.60E-06
118,JN,61.71588882,-117.4317776,-117.2457311,NA,7,5.84647917,0.034231244
119,delta,64.18939173,-120.3787835,-120.0662835,delta6,7,14.211295,0.000468297
119,NIG,60.20630504,-114.4126101,-114.2265636,NA,7,8.865646738,0.007565171
120,lambda,62.68212201,-117.364244,-117.051744,lambda6,7,17.2258345,0.000103734
121,TS,50.46396338,-94.92792675,-94.74042675,TS 31,7,39.53715175,1.48E-09
122,TRC,65.70482779,-123.4096556,-123.0946949,TRC 43,7,11.1828836,0.002128787
123,SRC,56.50860329,-107.0172066,-106.8297066,SRC 71,7,27.4478719,6.26E-07
124,BMS,48.96747045,-87.9349409,-87.46249996,BMS 28.6870858642452,7,46.81507854,3.90E-11
125,OUS,47.93618842,-85.87237684,-85.39993589,OUS 27.3963186251823,7,48.87764261,1.39E-11
126,OUMA,49.57610764,-87.15221529,-86.48554862,OUMA 33.2044225919558,7,47.79202988,2.39E-11
127,OUMV,54.90967189,-97.81934377,-97.15267711,OUMV 28.687122945126,7,37.12490139,4.95E-09
128,OUMVA,55.13102872,-96.26205744,-95.36605744,OUMVA 28.6871180629781,7,38.91152106,2.03E-09
129,DensDep,49.35106565,-94.7021313,-94.60982361,NA,7,39.6677549,1.39E-09
134,BM,61.99334342,-117.9866868,-117.8006403,BM7,8,14.87618109,0.000378327
135,EB,65.90607757,-123.8121551,-123.4996551,EB7,8,9.177166289,0.006537212
135,JN,60.88011997,-115.7602399,-115.5741934,NA,8,3.850058872,0.079240746
136,OU,61.99334342,-115.9866868,-115.6741868,OU7,8,17.00263459,0.000130651
136,NIG,60.51284637,-115.0256927,-114.8396462,NA,8,4.584606075,0.054883735
137,kappa,61.39254825,-114.7850965,-114.4725965,kappa7,8,18.20422489,7.16E-05
138,delta,63.34331714,-118.6866343,-118.3741343,delta7,8,14.30268709,0.000503964
139,lambda,61.99334342,-115.9866868,-115.6741868,lambda7,8,17.00263459,0.000130651
140,TS,60.91260715,-115.8252143,-115.6377143,TS 115,8,17.03910709,0.00012829
141,TRC,65.23071161,-122.4614232,-122.1464626,TRC 44,8,10.53035879,0.003323155
142,SRC,63.56670974,-121.1334195,-120.9459195,SRC 111,8,11.73090189,0.001823291
143,BMS,62.51767441,-115.0353488,-114.5629079,BMS 28.9353699481043,8,18.11391349,7.50E-05
144,OUS,59.82240738,-109.6448148,-109.1723738,OUS 51.3238492873597,8,23.50444759,5.06E-06
145,OUMA,63.43010446,-114.8602089,-114.1935423,OUMA 32.7219131357858,8,18.48327909,6.23E-05
146,OUMV,64.39016286,-116.7803257,-116.113659,OUMV 28.9356691870243,8,16.56316239,0.000162759
147,OUMVA,65.1974555,-116.394911,-115.498911,OUMVA 29.557631361444,8,17.17791039,0.000119689
148,DensDep,59.74861203,-115.4972241,-115.4049164,NA,8,17.27190503,0.000114194
152,JN,69.5843358,-133.1686716,-132.9826251,NA,9,0,0.957233694
153,BM,65.69607376,-125.3921475,-125.206101,BM8,9,15.17457034,0.000426049
153,NIG,65.07595949,-124.151919,-123.9658725,NA,9,9.016752605,0.010545205
154,EB,68.96235783,-129.9247157,-129.6122157,EB8,9,10.76845564,0.003856871
155,OU,65.69607376,-123.3921475,-123.0796475,OU8,9,17.30102384,0.000147132
156,kappa,65.79667523,-123.5933505,-123.2808505,kappa8,9,17.09982084,0.000162703
157,delta,66.91620633,-125.8324127,-125.5199127,delta8,9,14.86075864,0.000498428
158,lambda,65.69607375,-123.3921475,-123.0796475,lambda8,9,17.30102384,0.000147132
159,TS,67.86739252,-129.734785,-129.547285,TS 116,9,10.83338634,0.003733667
160,TRC,68.49465803,-128.9893161,-128.6743554,TRC 6,9,11.70631594,0.002413133
161,SRC,68.47593089,-130.9518618,-130.7643618,SRC 6,9,9.616309545,0.006861522
162,BMS,69.94401562,-129.8880312,-129.4155903,BMS 28.4035111682945,9,10.96508104,0.003495734
163,OUS,66.19718544,-122.3943709,-121.9219299,OUS 17.3202671572335,9,18.45874144,8.25E-05
164,OUMA,71.11517178,-130.2303436,-129.5636769,OUMA 32.6976464907627,9,10.81699444,0.003764394
165,OUMV,70.2968484,-128.5936968,-127.9270301,OUMV 28.4034597078195,9,12.45364124,0.00166074
166,OUMVA,71.42776773,-128.8555355,-127.9595355,OUMVA 31.1433275415322,9,12.42113584,0.001687952
167,DensDep,65.91334286,-127.8266857,-127.734378,NA,9,12.64629331,0.001508231
169,JN,61.96861167,-117.9372233,-117.7511768,NA,10,0.331518975,0.262437566
170,NIG,61.72627714,-117.4525543,-117.2665078,NA,10,0.816188025,0.205959322
172,BM,63.80103523,-121.6020705,-121.4160239,BM9,10,13.26007414,0.000847017
173,EB,67.49651856,-126.9930371,-126.6805371,EB9,10,7.995560935,0.011777865
174,OU,63.80103524,-119.6020705,-119.2895705,OU9,10,15.38652754,0.000292509
175,kappa,63.80103516,-119.6020703,-119.2895703,kappa9,10,15.38652774,0.000292509
176,delta,65.14555266,-122.2911053,-121.9786053,delta9,10,12.69749274,0.001122161
177,lambda,63.80103521,-119.6020704,-119.2895704,lambda9,10,15.38652764,0.000292509
178,TS,64.89937742,-123.7987548,-123.6112548,TS 117,10,11.06484324,0.002538519
179,TRC,66.55883803,-125.1176761,-124.8027154,TRC 45,10,9.873382635,0.004605775
180,SRC,65.71327792,-125.4265558,-125.2390558,SRC 72,10,9.437042235,0.005728658
181,BMS,66.75353562,-123.5070712,-123.0346303,BMS 26.5504615013299,10,11.64146774,0.00190269
182,OUS,63.38563614,-116.7712723,-116.2988313,OUS 41.9150467047613,10,18.37726674,6.56E-05
183,OUMA,67.73693358,-123.4738672,-122.8072005,OUMA 32.8226036497506,10,11.86889754,0.001698174
184,OUMV,67.29161888,-122.5832378,-121.9165711,OUMV 26.5504791540021,10,12.75952694,0.001087889
185,OUMVA,68.22082787,-122.4416557,-121.5456557,OUMVA 31.0403206880246,10,13.13044234,0.000903735
186,DensDep,63.26272663,-122.5254533,-122.4331456,NA,10,12.24295247,0.001408501
186,JN,57.56233265,-109.1246653,-108.9386188,NA,11,11.61045862,0.001725975
187,NIG,60.19407149,-114.388143,-114.2020965,NA,11,6.346980925,0.02398745
191,BM,61.8570707,-117.7141414,-117.5280949,BM10,11,15.7440682,0.000231946
192,EB,66.56659625,-125.1331925,-124.8206925,EB10,11,8.451470602,0.008891062
193,OU,61.85707071,-115.7141414,-115.4016414,OU10,11,17.8705217,8.01E-05
194,kappa,61.85706915,-115.7141383,-115.4016383,kappa10,11,17.8705248,8.01E-05
195,delta,63.52356279,-119.0471256,-118.7346256,delta10,11,14.5375375,0.000424015
196,lambda,61.85707067,-115.7141413,-115.4016413,lambda10,11,17.8705218,8.01E-05
197,TS,34.37932467,-62.75864934,-62.57114934,TS 32,11,70.70101376,2.70E-16
198,TRC,66.0839142,-124.1678284,-123.8528678,TRC 46,11,9.419295302,0.005480159
199,SRC,39.58579444,-73.17158888,-72.98408888,SRC 112,11,60.28807422,4.93E-14
200,BMS,62.21203772,-114.4240754,-113.9516345,BMS 0.0881927954078066,11,19.3205286,3.88E-05
201,OUS,27.95756908,-45.91513816,-45.44269722,OUS 38.2542494878339,11,87.82946588,5.16E-20
202,OUMA,37.90890993,-63.81781986,-63.1511532,OUMA 26.8619105004157,11,70.1210099,3.61E-16
203,OUMV,39.92879186,-67.85758372,-67.19091705,OUMV 30.7720785005993,11,66.08124605,2.72E-15
203,JN,62.56013327,-119.1202665,-118.93422,NA,12,5.635573177,0.038765723
204,OUMVA,40.0367426,-66.0734852,-65.1774852,OUMVA 30.7720558317633,11,68.0946779,9.94E-16
204,NIG,60.01925922,-114.0385184,-113.8524719,NA,12,10.71732128,0.003054642
205,DensDep,30.87409829,-57.74819658,-57.65588889,NA,11,75.61627421,2.31E-17
210,BM,63.85387434,-121.7077487,-121.5217022,BM11,12,10.26819008,0.002681039
211,EB,67.92174504,-127.8434901,-127.5309901,EB11,12,4.25890218,0.054100762
212,OU,63.85387433,-119.7077487,-119.3952487,OU11,12,12.39464358,0.000925869
213,kappa,63.5576266,-119.1152532,-118.8027532,kappa11,12,12.98713908,0.000688479
214,delta,65.19386739,-122.3877348,-122.0752348,delta11,12,9.71465748,0.00353591
215,lambda,63.85387434,-119.7077487,-119.3952487,lambda11,12,12.39464358,0.000925869
216,TS,63.36573878,-120.7314776,-120.5439776,TS 118,12,11.24591468,0.001644345
217,TRC,66.95429454,-125.9085891,-125.5936284,TRC 47,12,6.19626388,0.020535753
218,SRC,65.59237882,-125.1847576,-124.9972576,SRC 81,12,6.79263468,0.015240891
219,BMS,65.20256858,-120.4051372,-119.9326962,BMS 27.6929925205971,12,11.85719608,0.001211309
220,OUS,62.2161882,-114.4323764,-113.9599355,OUS 38.222092376611,12,17.82995678,6.11E-05
220,JN,61.87128449,-117.742569,-117.5565225,NA,13,3.121456341,0.117611276
221,OUMA,67.2102044,-122.4204088,-121.7537421,OUMA 30.8259764551846,12,10.03615018,0.003010856
221,NIG,59.23142708,-112.4628542,-112.2768076,NA,13,8.401171159,0.008394087
222,OUMV,66.48750423,-120.9750085,-120.3083418,OUMV 27.693151701109,12,11.48155048,0.001461589
223,OUMVA,66.57754781,-119.1550956,-118.2590956,OUMVA 27.69315014484,12,13.53079668,0.000524611
224,DensDep,62.00219306,-120.0043861,-119.9120784,NA,12,11.87781385,0.001198886
229,BM,61.86118096,-117.7223619,-117.5363154,BM12,13,12.61327105,0.001558843
230,EB,65.93159025,-123.8631805,-123.5506805,EB12,13,6.598905951,0.031535886
231,OU,61.86118098,-115.722362,-115.409862,OU12,13,14.73972445,0.00053833
232,kappa,61.87345466,-115.7469093,-115.4344093,kappa12,13,14.71517715,0.000544978
233,delta,63.18639131,-118.3727826,-118.0602826,delta12,13,12.08930385,0.002025724
234,lambda,61.86118095,-115.7223619,-115.4098619,lambda12,13,14.73972455,0.00053833
235,TS,57.37193302,-108.743866,-108.556366,TS 119,13,21.59322045,1.75E-05
236,TRC,65.71739205,-123.4347841,-123.1198235,TRC 48,13,7.029762951,0.025424102
237,SRC,61.49322657,-116.9864531,-116.7989531,SRC 73,13,13.35063335,0.001078167
237,JN,65.26349811,-124.5269962,-124.3409497,NA,14,0,0.978393604
238,BMS,59.00847626,-108.0169525,-107.5445116,BMS 28.5329600113942,13,22.60507485,1.05E-05
238,NIG,61.04597843,-116.0919569,-115.9059103,NA,14,8.435039366,0.014416774
239,OUS,56.87720202,-103.754404,-103.2819631,OUS 1.36870003457096,13,26.86762335,1.25E-06
240,OUMA,59.83937022,-107.6787404,-107.0120738,OUMA 31.4623583276724,13,23.13751265,8.08E-06
241,OUMV,59.01306593,-106.0261319,-105.3594652,OUMV 30.3342833380592,13,24.79012125,3.54E-06
242,OUMVA,59.35726142,-104.7145228,-103.8185228,OUMVA 27.7187713668239,13,26.33106365,1.64E-06
243,DensDep,56.6570293,-109.3140586,-109.2217509,NA,13,20.92783553,2.44E-05
248,BM,62.12002306,-118.2400461,-118.0539996,BM13,14,17.60160452,0.000111618
249,EB,65.7097097,-123.4194194,-123.1069194,EB13,14,12.54868472,0.001396243
250,OU,62.12002308,-116.2400462,-115.9275462,OU13,14,19.72805792,3.85E-05
251,kappa,62.21408523,-116.4281705,-116.1156705,kappa13,14,19.53993362,4.23E-05
252,delta,63.28462496,-118.5692499,-118.2567499,delta13,14,17.39885422,0.000123526
253,lambda,62.12002307,-116.2400461,-115.9275461,lambda13,14,19.72805802,3.85E-05
254,TS,56.77137462,-107.5427492,-107.3552492,TS 1110,14,28.30035492,5.30E-07
254,JN,61.55828467,-117.1165693,-116.9305228,NA,15,5972.310092,0
255,TRC,65.02161196,-122.0432239,-121.7282633,TRC 49,14,13.92734082,0.000700793
255,NIG,61.6590604,-117.3181208,-117.1320743,NA,15,5972.108541,0
256,SRC,61.04179755,-116.0835951,-115.8960951,SRC 82,14,19.75950902,3.79E-05
257,BMS,58.61053717,-107.2210743,-106.7486334,BMS 28.4909993558117,14,28.90697072,3.92E-07
258,OUS,56.50547574,-103.0109515,-102.5385105,OUS 24.1586181919033,14,33.11709362,4.77E-08
259,OUMA,58.79642074,-105.5928415,-104.9261748,OUMA 25.0775950430786,14,30.72942932,1.57E-07
260,OUMV,58.61372904,-105.2274581,-104.5607914,OUMV 28.4910432724431,14,31.09481272,1.31E-07
261,OUMVA,58.62391302,-103.247826,-102.351826,OUMVA 28.4910439051205,14,33.30377812,4.35E-08
262,DensDep,56.32741814,-108.6548363,-108.5625286,NA,14,27.09307552,9.70E-07
267,BM,63.04160998,-120.08322,-119.8971735,BM14,15,8339.015823,0
268,EB,67.07681055,-126.1536211,-125.8411211,EB14,15,8333.071875,0
269,OU,63.04160999,-118.08322,-117.77072,OU14,15,8341.142276,0
270,kappa,62.51406165,-117.0281233,-116.7156233,kappa14,15,8342.197373,0
271,delta,64.44029278,-120.8805856,-120.5680856,delta14,15,8338.34491,0
271,JN,61.98421397,-117.9684279,-117.7823814,NA,16,4.388973676,0.050752817
272,lambda,63.04160998,-118.08322,-117.77072,lambda14,15,8341.142276,0
272,NIG,63.75547688,-121.5109538,-121.3249073,NA,16,0.846447842,0.298338888
273,TS,61.7805583,-117.5611166,-117.3736166,TS 1111,15,8341.539379,0
274,TRC,65.71666878,-123.4333376,-123.1183769,TRC 410,15,8335.794619,0
275,SRC,63.71898191,-121.4379638,-121.2504638,SRC 74,15,8337.662532,0
276,BMS,64.07350526,-118.1470105,-117.6745696,BMS 28.3195980372366,15,8341.238426,0
277,OUS,60.90298679,-111.8059736,-111.3335326,OUS 23.3688605305187,15,8347.579463,0
278,OUMA,65.03385699,-118.067714,-117.4010473,OUMA 33.6567547324773,15,8341.511949,0
279,OUMV,65.66869074,-119.3373815,-118.6707148,OUMV 31.1808405525061,15,8340.242281,0
280,OUMVA,4236.904498,-8459.808996,-8458.912996,OUMVA 31.0202057296934,15,0,1
281,DensDep,60.39446008,-116.7889202,-116.6966125,NA,15,8342.216384,0
286,BM,62.64586711,-119.2917342,-119.1056877,BM15,16,8.21526912,0.007083241
287,EB,66.00863193,-124.0172639,-123.7047639,EB15,16,3.61619292,0.070616914
288,OU,62.64586711,-117.2917342,-116.9792342,OU15,16,10.34172262,0.002446124
288,JN,59.43913159,-112.8782632,-112.6922167,NA,17,6.842691124,0.015496412
289,kappa,62.78373232,-117.5674646,-117.2549646,kappa15,16,10.06599222,0.002807712
289,NIG,61.42453977,-116.8490795,-116.663033,NA,17,2.87187478,0.112845165
290,delta,63.85092652,-119.701853,-119.389353,delta15,16,7.93160382,0.008162612
291,lambda,62.64586708,-117.2917342,-116.9792342,lambda15,16,10.34172262,0.002446124
292,TS,64.09598571,-122.1919714,-122.0044714,TS 1112,16,5.31648542,0.03017831
293,TRC,65.34098266,-122.6819653,-122.3670047,TRC 411,16,4.95395212,0.036175789
294,SRC,64.680308,-123.360616,-123.173116,SRC 61,16,4.14784082,0.054133095
295,BMS,66.20184334,-122.4036867,-121.9312457,BMS 29.0822014511053,16,5.38971112,0.029093378
296,OUS,62.48289608,-114.9657922,-114.4933512,OUS 53.5287475240712,16,12.82760562,0.000705791
