,model,lnL,AIC,AICc,timing,tree.no,delta,w
1280,delta,58.00283791,-108.0056758,-107.727898,delta75,76,11.6761376,0.00174716839886159
1281,lambda,57.51782654,-107.0356531,-106.7578753,lambda75,76,12.6461603,0.00107571447602564
1282,DensDep,56.45068742,-108.9013748,-108.8191831,DensDep75,76,10.5848525,0.00301511800788254
1283,TS,57.36576861,-108.7315372,-108.5648706,TS 727,76,10.839165,0.00265510106444231
1284,TRC,63.25293036,-118.5058607,-118.2261404,TRC 627,76,1.17789519999999,0.332658893012603
1285,SRC,62.78535112,-119.5707022,-119.4040356,SRC 634,76,0,0.599481562784016
1286,BMS,58.36835722,-106.7367144,-106.317134,BMS 14.7348264320452,76,13.0869016,0.000862961172407637
1287,OUS,57.38354736,-104.7670947,-104.3475143,OUS 5.42512498026774,76,15.0565213,0.0003223248373413
1288,OUMA,63.22558931,-114.4511786,-113.8596293,OUMA 1.6005526523714,76,5.54440630000001,0.0374820469249913
1289,OUMV,58.57037945,-105.1407589,-104.5492096,OUMV 4.96446847970502,76,14.854826,0.000356526117719051
1290,OUMVA,62.55945105,-111.1189021,-110.3245759,OUMVA 1.66510289217464,76,9.0794597,0.00640023923203664
1291,JN,47.5604179869551,-89.1208359739101,-88.9553187325308,NA,76,30.4487168674692,1.46528118310818e-07
1292,NIG,57.1336538879825,-108.267307775965,-108.101790534586,NA,76,11.302245065414,0.00210632071189013
1293,BM,56.73437887,-107.4687577,-107.3032405,BM76,77,13.0548182,0.000907255693366269
1294,EB,60.26100197,-112.5220039,-112.2442262,EB76,77,8.1138325,0.0107312698189019
1295,OU,56.73437887,-105.4687577,-105.19098,OU76,77,15.1670787,0.000315542718279878
1296,kappa,56.91413749,-105.828275,-105.5504972,kappa76,77,14.8075615,0.000377682037682028
1297,delta,55.08721936,-102.1744387,-101.8966609,delta76,77,18.4613978,6.07723260367336e-05
1298,lambda,56.73437886,-105.4687577,-105.1909799,lambda76,77,15.1670788,0.000315542702502744
1299,DensDep,55.0750917,-106.1501834,-106.0679916,DensDep76,77,14.2900671,0.000489213926582917
1300,TS,56.33470744,-106.6694149,-106.5027482,TS 97,77,13.8553105,0.000608002000030187
1301,TRC,64.31888947,-120.6377789,-120.3580587,TRC 533,77,0,0.620222411850176
1302,SRC,62.65394139,-119.3078828,-119.1412161,SRC 77,77,1.21684260000001,0.337530826021594
1303,BMS,54.97763995,-99.95527991,-99.53569949,BMS 1.00000000031741e-05,77,20.82235921,1.8665069137482e-05
1304,OUS,55.50422848,-101.008457,-100.5888765,OUS 4.67291889865223,77,19.7691822,3.16026924628611e-05
1305,OUMA,55.49019048,-98.98038097,-98.38883167,OUMA 14.5146598813455,77,21.96922703,1.05193866931944e-05
1306,OUMV,56.23555663,-100.4711133,-99.87956396,OUMV 14.554475339796,77,20.47849474,2.21665867003479e-05
1307,OUMVA,56.21104581,-98.42209163,-97.62776539,OUMVA 16.3864982091976,77,22.73029331,7.1899683263304e-06
1308,JN,59.9518077856457,-113.903615571291,-113.738098329912,NA,77,6.61996037008799,0.0226485981336142
1309,NIG,58.5726564258373,-111.145312851675,-110.979795610295,NA,77,9.378263089705,0.00570273906791368
1310,BM,57.02152105,-108.0430421,-107.8775249,BM77,78,11.4651808,0.00202858169182455
1311,EB,54.87953656,-101.7590731,-101.4812953,EB77,78,17.8614104,8.28454939109449e-05
1312,OU,57.02152105,-106.0430421,-105.7652643,OU77,78,13.5774414,0.000705538861829429
1313,kappa,57.10671558,-106.2134312,-105.9356534,kappa77,78,13.4070523,0.000768281654749925
1314,delta,57.42347818,-106.8469564,-106.5691786,delta77,78,12.7735271,0.00105460229562942
1315,lambda,57.02152105,-106.0430421,-105.7652643,lambda77,78,13.5774414,0.000705538861829429
1316,DensDep,55.14311527,-106.2862305,-106.2040388,DensDep77,78,13.1386669,0.000878617020693737
1317,TS,55.35553731,-104.7110746,-104.544408,TS 728,78,14.7982977,0.000383191055363648
1318,TRC,63.26989772,-118.5397954,-118.2600752,TRC 628,78,1.08263049999999,0.364531156400575
1319,SRC,62.75468617,-119.5093723,-119.3427057,SRC 635,78,0,0.626361245964063
1320,BMS,55.75067478,-101.5013496,-101.0817691,BMS 16.1773268952951,78,18.2609366,6.78442240118806e-05
1321,OUS,55.71384758,-101.4276952,-101.0081147,OUS 15.7534983697987,78,18.334591,6.53911582174356e-05
1322,OUMA,55.96667069,-99.93334139,-99.34179209,OUMA 14.1644705232774,78,20.00091361,2.84237694866335e-05
1323,OUMV,56.18215865,-100.3643173,-99.77276799,OUMV 14.1643562458307,78,19.56993771,3.52587490644428e-05
