model,lnL,AIC,AICc,timing,tree.no,delta,w,group
TS,57.28984968,-108.5796994,-108.4130327,TS 85,36,10.4397096,0.002599965,birds
BM,58.88121227,-111.7624245,-111.5969073,BM36,37,15.0014726,0.000450867,birds
BMS,58.9562545,-107.912509,-107.4929286,BMS 0.00945220501092336,37,19.1054513,5.79E-05,birds
delta,59.6841493,-111.3682986,-111.0905208,delta36,37,15.5078591,0.000350016,birds
DensDep,58.34146959,-112.6829392,-112.6007474,DensDep36,37,13.9976325,0.000744783,birds
EB,61.01871655,-114.0374331,-113.7596553,EB36,37,12.8387246,0.001329485,birds
fit_env,58.2411564,-110.4823128,-110.3167956,NA,37,12.20334964,0.001426507,birds
JN,66.38194859,-126.7638972,-126.5983799,NA,37,0,0.815787448,birds
kappa,58.96703689,-109.9340738,-109.656296,kappa36,37,16.9420839,0.000170864,birds
lambda,58.88121221,-109.7624244,-109.4846466,lambda36,37,17.1137333,0.000156811,birds
NIG,62.49966458,-118.9993292,-118.8338119,NA,37,7.764568,0.01680825,birds
OU,58.88121227,-109.7624245,-109.4846468,OU36,37,17.1137331,0.000156811,birds
OUMA,62.53854107,-113.0770821,-112.4855328,OUMA 1.3812488086579,37,14.1128471,0.00070309,birds
OUMV,59.56601992,-107.1320398,-106.5404906,OUMV 16.1729578300898,37,20.0578893,3.60E-05,birds
OUMVA,59.57094135,-105.1418827,-104.3475565,OUMVA 16.1730296933327,37,22.2508234,1.20E-05,birds
OUS,58.71477791,-107.4295558,-107.0099754,OUS 5.14396397544145,37,19.5884045,4.55E-05,birds
SRC,64.34340591,-122.6868118,-122.5201452,SRC 619,37,4.0782347,0.106169459,birds
TRC,64.76351277,-121.5270255,-121.2473053,TRC 616,37,5.3510746,0.05618313,birds
TS,59.5011051,-113.0022102,-112.8355435,TS 86,37,13.7628364,0.000837558,birds
BM,58.98514954,-111.9702991,-111.8047818,BM37,38,6.0738173,0.013953039,birds
BMS,59.03185887,-108.0637177,-107.6441373,BMS 0.0519875398904688,38,10.2344618,0.001742595,birds
delta,59.29828161,-110.5965632,-110.3187854,delta37,38,7.5598137,0.00663726,birds
DensDep,58.29019573,-112.5803915,-112.4981997,DensDep37,38,5.3803994,0.019735249,birds
EB,60.14563662,-112.2912732,-112.0134955,EB37,38,5.8651036,0.015487825,birds
fit_env,57.87585467,-109.7517093,-109.5861921,NA,38,8.170589793,0.006753411,birds
JN,62.02205818,-118.0441164,-117.8785991,NA,38,0,0.290791353,birds
kappa,59.01687992,-110.0337598,-109.7559821,kappa37,38,8.122617,0.005009307,birds
lambda,58.98514954,-109.9702991,-109.6925213,lambda37,38,8.1860778,0.004852855,birds
NIG,57.05573059,-108.1114612,-107.9459439,NA,38,9.9326552,0.002026436,birds
OU,58.98514954,-109.9702991,-109.6925213,OU37,38,8.1860778,0.004852855,birds
OUMA,63.43927905,-114.8785581,-114.2870088,OUMA 1.31957119416722,38,3.5915903,0.04827003,birds
OUMV,60.24542678,-108.4908536,-107.8993043,OUMV 4.71132745578108,38,9.9792948,0.001979726,birds
OUMVA,63.70291031,-113.4058206,-112.6114944,OUMVA 1.3159726264352,38,5.2671047,0.020885469,birds
OUS,63.43362369,-116.8672474,-116.447667,OUS 1.31591255758902,38,1.4309321,0.142186555,birds
SRC,61.96172426,-117.9234485,-117.7567819,SRC 620,38,0.1218172,0.27360827,birds
TRC,62.33021918,-116.6604384,-116.3807181,TRC 513,38,1.497881,0.137505719,birds
TS,58.69906224,-111.3981245,-111.2314578,TS 67,38,6.6471413,0.01047546,birds
BM,60.15645626,-114.3129125,-114.1473953,BM38,39,11.3665715,0.002297519,birds
BMS,60.27835746,-110.5567149,-110.1371345,BMS 13.5030066563085,39,15.3768323,0.000309344,birds
delta,60.99399749,-113.987995,-113.7102172,delta38,39,11.8037496,0.001846405,birds
DensDep,58.8696609,-113.7393218,-113.65713,DensDep38,39,11.8568368,0.00179804,birds
EB,62.60880586,-117.2176117,-116.9398339,EB38,39,8.5741329,0.00928174,birds
fit_env,58.92709136,-111.8541827,-111.6886655,NA,39,13.82530131,0.000702588,birds
JN,59.34651851,-112.693037,-112.5275198,NA,39,12.986447,0.001022133,birds
kappa,60.35093909,-112.7018782,-112.4241004,kappa38,39,13.0898664,0.000970622,birds
lambda,60.15645625,-112.3129125,-112.0351347,lambda38,39,13.4788321,0.000799075,birds
NIG,62.96345479,-119.9269096,-119.7613923,NA,39,5.7525745,0.038047228,birds
