model,lnL,AIC,AICc,timing,tree.no,delta,w,group
EB,60.83433826,-113.6686765,-113.3908987,EB43,44,10.6353496,0.003328394,birds
fit_env,60.69601038,-115.3920208,-115.2265035,NA,44,8.799744783,0.008480339,birds
JN,59.3028178,-112.6056356,-112.4401184,NA,44,11.5861299,0.002069071,birds
kappa,60.85330286,-113.7066057,-113.4288279,kappa43,44,10.5974204,0.003392118,birds
lambda,60.82529708,-113.6505942,-113.3728164,lambda43,44,10.6534319,0.003298437,birds
NIG,58.65555339,-111.3111068,-111.1455895,NA,44,12.8806588,0.001083109,birds
OU,60.82529708,-113.6505942,-113.3728164,OU43,44,10.6534319,0.003298437,birds
OUMA,61.43961024,-110.8792205,-110.2876712,OUMA 13.1286036078345,44,13.7385771,0.000705306,birds
OUMV,61.80642372,-111.6128474,-111.0212982,OUMV 12.6488498909408,44,13.0049501,0.001017847,birds
OUMVA,61.8984972,-109.7969944,-109.0026682,OUMVA 12.5229387434502,44,15.0235801,0.000370973,birds
OUS,61.28605787,-112.5721157,-112.1525353,OUS 13.2335294012782,44,11.873713,0.001791957,birds
SRC,65.09645748,-124.192915,-124.0262483,SRC 513,44,0,0.678690111,birds
TRC,65.13090687,-122.2618137,-121.9820935,TRC 47,44,2.0441548,0.244224341,birds
TS,61.56305393,-117.1261079,-116.9594412,TS 5,44,7.0668071,0.019821379,birds
BM,59.98167413,-113.9633483,-113.797831,BM44,45,8.9628961,0.007155028,birds
BMS,61.59187889,-113.1837578,-112.7641774,BMS 17.7182707299976,45,9.9965497,0.004267331,birds
delta,60.60137795,-113.2027559,-112.9249781,delta44,45,9.835749,0.004624595,birds
DensDep,59.75008484,-115.5001697,-115.4179779,DensDep44,45,7.3427492,0.016085026,birds
EB,61.95417523,-115.9083505,-115.6305727,EB44,45,7.1301544,0.017889003,birds
fit_env,59.8666824,-113.7333648,-113.5678476,NA,45,9.192879534,0.006694214,birds
JN,61.51977261,-117.0395452,-116.874028,NA,45,5.8866991,0.033311871,birds
kappa,59.98207476,-111.9641495,-111.6863717,kappa44,45,11.0743554,0.002489509,birds
lambda,59.98167409,-111.9633482,-111.6855704,lambda44,45,11.0751567,0.002488512,birds
NIG,58.38086087,-110.7617217,-110.5962045,NA,45,12.1645226,0.001443401,birds
OU,59.98167413,-111.9633483,-111.6855705,OU44,45,11.0751566,0.002488512,birds
OUMA,61.23138819,-110.4627764,-109.8712271,OUMA 16.8435999811683,45,12.8895,0.001004524,birds
OUMV,61.59195925,-111.1839185,-110.5923692,OUMV 17.704711736345,45,12.1683579,0.001440636,birds
OUMVA,61.59038132,-109.1807626,-108.3864364,OUMVA 17.491318461236,45,14.3742907,0.000478126,birds
OUS,61.22835649,-112.456713,-112.0371326,OUS 17.7175309749948,45,10.7235945,0.002966747,birds
SRC,64.46369687,-122.9273937,-122.7607271,SRC 73,45,0,0.632236401,birds
TRC,64.57766026,-121.1553205,-120.8756002,TRC 620,45,1.8851269,0.246336854,birds
TS,61.16262602,-116.325252,-116.1585854,TS 92,45,6.6021417,0.023293923,birds
BM,59.45648113,-112.9129623,-112.747445,BM45,46,10.1480505,0.003310238,birds
BMS,60.32748431,-110.6549686,-110.2353882,BMS 14.2833296814551,46,12.6601073,0.000942699,birds
delta,59.99819516,-111.9963903,-111.7186125,delta45,46,11.176883,0.001979024,birds
DensDep,59.02286883,-114.0457377,-113.9635459,DensDep45,46,8.9319496,0.0060804,birds
EB,61.25226285,-114.5045257,-114.2267479,EB45,46,8.6687476,0.006935628,birds
fit_env,59.19939824,-112.3987965,-112.2332792,NA,46,10.66221626,0.003089493,birds
JN,59.17298598,-112.345972,-112.1804547,NA,46,10.7150408,0.002493095,birds
kappa,59.85868005,-111.7173601,-111.4395823,kappa45,46,11.4559132,0.001721315,birds
lambda,59.45648112,-110.9129622,-110.6351845,lambda45,46,12.260311,0.001151298,birds
NIG,63.35463946,-120.7092789,-120.5437617,NA,46,2.3517338,0.163232969,birds
OU,59.45648113,-110.9129623,-110.6351845,OU45,46,12.260311,0.001151298,birds
OUMA,60.01650591,-108.0330118,-107.4414625,OUMA 14.7961206227425,46,15.454033,0.000233174,birds
OUMV,60.32900159,-108.6580032,-108.0664539,OUMV 14.2831933873555,46,14.8290416,0.000318709,birds
OUMVA,60.94743906,-107.8948781,-107.1005519,OUMVA 11.6046823200808,46,15.7949436,0.000196631,birds
OUS,60.01642531,-110.0328506,-109.6132702,OUS 15.1132240421569,46,13.2822253,0.000690688,birds
SRC,64.5310811,-123.0621622,-122.8954955,SRC 514,46,0,0.529030104,birds
TRC,64.92839582,-121.8567916,-121.5770714,TRC 515,46,1.3184241,0.273645449,birds
TS,60.18971203,-114.3794241,-114.2127574,TS 719,46,8.6827381,0.00688728,birds
BM,58.95250479,-111.9050096,-111.7394923,BM46,47,10.75359,0.002550358,birds
BMS,58.91254921,-107.8250984,-107.405518,BMS 17.7855005607612,47,15.0875643,0.000292072,birds
delta,59.71537012,-111.4307402,-111.1529625,delta46,47,11.3401198,0.001902119,birds
DensDep,57.93336123,-111.8667225,-111.7845307,DensDep46,47,10.7085516,0.002608441,birds
EB,61.1238013,-114.2476026,-113.9698248,EB46,47,8.5232575,0.007778782,birds
fit_env,57.92164171,-109.8432834,-109.6777662,NA,47,12.81531613,0.001095776,birds
JN,61.29700385,-116.5940077,-116.4284905,NA,47,6.0645918,0.026595251,birds
kappa,58.92204471,-109.8440894,-109.5663116,kappa46,47,12.9267707,0.000860401,birds
lambda,58.95250478,-109.9050096,-109.6272318,lambda46,47,12.8658505,0.000887012,birds
NIG,62.94815658,-119.8963132,-119.7307959,NA,47,2.7622864,0.138640653,birds
OU,58.95250479,-109.9050096,-109.6272318,OU46,47,12.8658505,0.000887012,birds
OUMA,58.53036991,-105.0607398,-104.4691905,OUMA 17.8486626666107,47,18.0238918,6.73E-05,birds
OUMV,58.91341321,-105.8268264,-105.2352771,OUMV 17.7854170777593,47,17.2578052,9.87E-05,birds
OUMVA,58.94393749,-103.887875,-103.0935487,OUMVA 17.785809810447,47,19.3995336,3.38E-05,birds
OUS,58.49108951,-106.982179,-106.5625986,OUS 17.8526416956064,47,15.9304837,0.000191625,birds
SRC,64.32987449,-122.659749,-122.4930823,SRC 74,47,0,0.551713316,birds
TRC,64.64399898,-121.287998,-121.0082777,TRC 71,47,1.4848046,0.262598502,birds
TS,58.84743837,-111.6948767,-111.5282101,TS 88,47,10.9648722,0.002294678,birds
BM,58.66433194,-111.3286639,-111.1631466,BM47,48,10.0966773,0.003725647,birds
BMS,59.3074806,-108.6149612,-108.1953808,BMS 15.0168764356379,48,13.0644431,0.000844811,birds
delta,59.21865394,-110.4373079,-110.1595301,delta47,48,11.1002938,0.002255637,birds
DensDep,57.72795297,-111.4559059,-111.3737142,DensDep47,48,9.8861097,0.004139291,birds
EB,60.87195546,-113.7439109,-113.4661332,EB47,48,7.7936907,0.011783897,birds
fit_env,57.71836141,-109.4367228,-109.2712056,NA,48,11.98861831,0.001526668,birds
JN,61.13915058,-116.2783012,-116.1127839,NA,48,5.14704,0.044259023,birds
kappa,58.70866969,-109.4173394,-109.1395616,kappa47,48,12.1202623,0.001354521,birds
lambda,58.66433186,-109.3286637,-109.0508859,lambda47,48,12.208938,0.001295777,birds
NIG,57.41314765,-108.8262953,-108.6607781,NA,48,12.5990458,0.001066152,birds
OU,58.66433194,-109.3286639,-109.0508861,OU47,48,12.2089378,0.001295777,birds
OUMA,58.54326942,-105.0865388,-104.4949896,OUMA 18.5120714485176,48,16.7648343,0.00013281,birds
OUMV,59.80870577,-107.6174115,-107.0258622,OUMV 14.2901373322149,48,14.2339617,0.000470762,birds
OUMVA,59.75711331,-105.5142266,-104.7199004,OUMVA 15.0167918392236,48,16.5399235,0.000148617,birds
OUS,58.6265091,-107.2530182,-106.8334378,OUS 15.3300483220899,48,14.4263861,0.00042758,birds
SRC,63.71324528,-121.4264906,-121.2598239,SRC 75,48,0,0.580319761,birds
TRC,64.24081154,-120.4816231,-120.2019028,TRC 621,48,1.0579211,0.341934334,birds
TS,58.86382635,-111.7276527,-111.560986,TS 93,48,9.6988379,0.004545603,birds
BM,59.60096651,-113.201933,-113.0364158,BM48,49,9.7188494,0.004444058,birds
BMS,61.29431732,-112.5886346,-112.1690542,BMS 19.047343624527,49,10.586211,0.002880279,birds
delta,60.18350168,-112.3670034,-112.0892256,delta48,49,10.6660396,0.002767578,birds
DensDep,59.54282746,-115.0856549,-115.0034631,DensDep48,49,7.7518021,0.011882794,birds
EB,61.41858365,-114.8371673,-114.5593895,EB48,49,8.1958757,0.009516762,birds
fit_env,59.67377773,-113.3475555,-113.1820382,NA,49,9.573226984,0.005285219,birds
JN,61.16711281,-116.3342256,-116.1687084,NA,49,6.5865568,0.02127886,birds
kappa,59.79972275,-111.5994455,-111.3216677,kappa48,49,11.4335975,0.001885501,birds
lambda,59.60096651,-111.201933,-110.9241552,lambda48,49,11.83111,0.001545639,birds
NIG,62.31179505,-118.6235901,-118.4580729,NA,49,4.2971923,0.066846327,birds
OU,59.60096651,-111.201933,-110.9241552,OU48,49,11.83111,0.001545639,birds
OUMA,60.81353046,-109.6270609,-109.0355116,OUMA 19.5498357539674,49,13.7197536,0.000601166,birds
OUMV,61.29455181,-110.5891036,-109.9975543,OUMV 19.0469392008518,49,12.7577109,0.000972522,birds
OUMVA,61.30364317,-108.6072863,-107.8129601,OUMVA 19.0469390442106,49,14.9423051,0.000326228,birds
OUS,60.81207585,-111.6241517,-111.2045713,OUS 20.0294235839131,49,11.5506939,0.001778278,birds
SRC,64.46096593,-122.9219319,-122.7552652,SRC 624,49,0,0.573061198,birds
TRC,64.80196971,-121.6039394,-121.3242191,TRC 622,49,1.4310461,0.280190425,birds
TS,61.02648636,-116.0529727,-115.8863061,TS 94,49,6.8689591,0.018476746,birds
BM,56.76545036,-107.5309007,-107.3653835,BM49,50,12.1980882,0.001007044,birds
BMS,56.77109648,-103.542193,-103.1226125,BMS 0.000222370497326096,50,16.4408592,0.00012071,birds
delta,58.88312461,-109.7662492,-109.4884714,delta49,50,10.0750003,0.002911194,birds
DensDep,56.90429251,-109.808585,-109.7263932,DensDep49,50,9.8370785,0.003278954,birds
EB,60.02750956,-112.0550191,-111.7772413,EB49,50,7.7862304,0.009142633,birds
fit_env,56.76770744,-107.5354149,-107.3698976,NA,50,12.19357407,0.00142383,birds
JN,60.12543893,-114.2508779,-114.0853606,NA,50,5.4781111,0.028991655,birds
kappa,58.67127106,-109.3425421,-109.0647643,kappa49,50,10.4987074,0.002355398,birds
lambda,58.31915942,-108.6383188,-108.3605411,lambda49,50,11.2029306,0.00165632,birds
NIG,62.30495599,-118.609912,-118.4443947,NA,50,1.119077,0.256345225,birds
OU,58.31915943,-108.6383189,-108.3605411,OU49,50,11.2029306,0.00165632,birds
OUMA,57.42053165,-102.8410633,-102.249514,OUMA 15.7895899286884,50,17.3139577,7.80E-05,birds
OUMV,57.96285274,-103.9257055,-103.3341562,OUMV 15.0905813822183,50,16.2293155,0.000134177,birds
OUMVA,57.99605093,-101.9921019,-101.1977756,OUMVA 15.0906956418496,50,18.3656961,4.61E-05,birds
OUS,57.38920872,-104.7784174,-104.358837,OUS 16.1700978045685,50,15.2046347,0.000223968,birds
SRC,62.86506917,-119.7301383,-119.5634717,SRC 625,50,0,0.448569473,birds
TRC,63.30368,-118.60736,-118.3276397,TRC 516,50,1.235832,0.241808858,birds
TS,57.27419494,-108.5483899,-108.3817232,TS 69,50,11.1817485,0.001673955,birds
BM,60.34938691,-114.6987738,-114.5332566,BM50,51,12.6601976,0.00128835,birds
BMS,61.6321528,-113.2643056,-112.8447252,BMS 18.61945801895,51,14.348729,0.000553827,birds
delta,61.44794382,-114.8958876,-114.6181099,delta50,51,12.5753443,0.001344187,birds
DensDep,60.07043972,-116.1408794,-116.0586876,DensDep50,51,11.1347666,0.00276234,birds
EB,63.11696843,-118.2339369,-117.9561591,EB50,51,9.2372951,0.007133584,birds
fit_env,60.29337152,-114.586743,-114.4212258,NA,51,12.77222841,0.001221501,birds
JN,59.55651371,-113.1130274,-112.9475102,NA,51,14.245944,0.000583033,birds
kappa,60.46331432,-112.9266286,-112.6488509,kappa50,51,14.5446033,0.000502158,birds
lambda,60.34938691,-112.6987738,-112.420996,lambda50,51,14.7724582,0.000448087,birds
NIG,58.01122624,-110.0224525,-109.8569352,NA,51,17.336519,0.000124332,birds
OU,60.34938691,-112.6987738,-112.4209961,OU50,51,14.7724581,0.000448087,birds
OUMA,60.65326095,-109.3065219,-108.7149726,OUMA 18.6945323931267,51,18.4784816,7.02E-05,birds
OUMV,61.63222528,-111.2644506,-110.6729013,OUMV 18.6193866079389,51,16.5205529,0.000186969,birds
OUMVA,61.7699034,-109.5398068,-108.7454806,OUMVA 15.2473366254274,51,18.4479736,7.13E-05,birds
OUS,60.83359132,-111.6671826,-111.2476022,OUS 20.3449808990462,51,15.945852,0.000249209,birds
SRC,66.68006042,-127.3601208,-127.1934542,SRC 8,51,0,0.72303769,birds
TRC,66.69033795,-125.3806759,-125.1009556,TRC 8,51,2.0924986,0.253968959,birds
TS,62.07450885,-118.1490177,-117.982351,TS 89,51,9.2111032,0.00722762,birds
BM,58.66149166,-111.3229833,-111.1574661,BM51,52,11.9848215,0.001266341,birds
BMS,60.04991425,-110.0998285,-109.6802481,BMS 14.3855431970855,52,13.4620395,0.00060503,birds
delta,59.27770306,-110.5554061,-110.2776283,delta51,52,12.8646593,0.000815636,birds
DensDep,58.13888276,-112.2777655,-112.1955737,DensDep51,52,10.9467139,0.002128006,birds
EB,60.99550539,-113.9910108,-113.713233,EB51,52,9.4290546,0.004544943,birds
fit_env,58.34992364,-110.6998473,-110.53433,NA,52,12.60795755,0.001268419,birds
JN,62.11580628,-118.2316126,-118.0660953,NA,52,5.0761923,0.040062724,birds
kappa,58.66827209,-109.3365442,-109.0587664,kappa51,52,14.0835212,0.000443429,birds
lambda,58.66149165,-109.3229833,-109.0452055,lambda51,52,14.0970821,0.000440432,birds
NIG,63.84841625,-121.6968325,-121.5313153,NA,52,1.6109723,0.226570539,birds
OU,58.66149166,-109.3229833,-109.0452055,OU51,52,14.0970821,0.000440432,birds
OUMA,62.32956185,-112.6591237,-112.0675744,OUMA 2.14235173421826,52,11.0747132,0.001996081,birds
OUMV,59.79555553,-107.5911111,-106.9995618,OUMV 15.1555728688039,52,16.1427258,0.00015837,birds
OUMVA,60.94359061,-107.8871812,-107.092855,OUMVA 14.0072212540782,52,16.0494326,0.000165933,birds
OUS,61.18276663,-112.3655333,-111.9459528,OUS 1.23044686243086,52,11.1963348,0.001878315,birds
SRC,64.65447712,-123.3089542,-123.1422876,SRC 626,52,0,0.507015956,birds
TRC,64.82168702,-121.643374,-121.3636538,TRC 517,52,1.7786338,0.208351295,birds
TS,59.56265728,-113.1253146,-112.9586479,TS 720,52,10.1836397,0.003116538,birds
BM,57.71872661,-109.4374532,-109.271936,BM52,53,9.5471807,0.004539765,birds
BMS,57.78457622,-105.5691524,-105.149572,BMS 12.8490062408557,53,13.6695447,0.000577927,birds
delta,58.38623301,-108.772466,-108.4946882,delta52,53,10.3244285,0.003077911,birds
DensDep,56.65036763,-109.3007353,-109.2185435,DensDep52,53,9.6005732,0.004420173,birds
EB,60.02736934,-112.0547387,-111.7769609,EB52,53,7.0421558,0.015885196,birds
fit_env,56.62980056,-107.2596011,-107.0940839,NA,53,11.72503283,0.001550792,birds
JN,58.03531103,-110.0706221,-109.9051048,NA,53,8.914011875,0.006230519,birds
kappa,57.78843294,-107.5768659,-107.2990881,kappa52,53,11.5200286,0.001692914,birds
lambda,57.71872661,-107.4374532,-107.1596754,lambda52,53,11.6594413,0.001578926,birds
NIG,52.88920186,-99.77840371,-99.61288647,NA,53,19.20623023,3.63E-05,birds
OU,57.71872662,-107.4374532,-107.1596755,OU52,53,11.6594412,0.001578926,birds
OUMA,57.33292198,-102.665844,-102.0742947,OUMA 13.0704335369752,53,16.744822,0.00012419,birds
OUMV,57.7847052,-103.5694104,-102.9778611,OUMV 12.848974469617,53,15.8412556,0.000195116,birds
OUMVA,57.82523725,-101.6504745,-100.8561483,OUMVA 13.3907090815608,53,17.9629684,6.75E-05,birds
OUS,57.41228654,-104.8245731,-104.4049927,OUS 13.3906332889447,53,14.414124,0.000398281,birds
SRC,62.242592,-118.485184,-118.3185173,SRC 515,53,0.5005994,0.418286163,birds
TRC,63.54941849,-119.098837,-118.8191167,TRC 48,53,0,0.537251055,birds
TS,57.60739316,-109.2147863,-109.0481197,TS 721,53,9.770997,0.004059123,birds
BM,58.45940167,-110.9188033,-110.7532861,BM53,54,7.2676765,0.013851488,birds
BMS,58.72852093,-107.4570419,-107.0374614,BMS 13.4910062222201,54,10.9835012,0.002160804,birds
delta,57.94640494,-107.8928099,-107.6150321,delta53,54,10.4059305,0.002884252,birds
DensDep,57.85497909,-111.7099582,-111.6277664,DensDep53,54,6.3931962,0.02144803,birds
EB,60.05087565,-112.1017513,-111.8239735,EB53,54,6.1969891,0.023658828,birds
fit_env,57.98896388,-109.9779278,-109.8124105,NA,54,8.208552074,0.010022446,birds
JN,-1.883259499,9.766518998,9.932036239,NA,54,127.9529988,8.61E-29,birds
kappa,58.58190055,-109.1638011,-108.8860233,kappa53,54,9.1349393,0.005445346,birds
lambda,58.45940176,-108.9188035,-108.6410257,lambda53,54,9.3799369,0.004817535,birds
NIG,60.56857967,-115.1371593,-114.9716421,NA,54,3.049320505,0.114156537,birds
OU,58.45940177,-108.9188035,-108.6410258,OU53,54,9.3799368,0.004817535,birds
OUMA,58.56143323,-105.1228665,-104.5313172,OUMA 13.9675033529329,54,13.4896454,0.000617182,birds
OUMV,58.7072269,-105.4144538,-104.8229045,OUMV 13.9008779047989,54,13.1980581,0.000714053,birds
OUMVA,58.70887963,-103.4177593,-102.623433,OUMVA 13.900877586431,54,15.3975296,0.00023775,birds
OUS,58.55804508,-107.1160902,-106.6965097,OUS 14.4398797159499,54,11.3244529,0.001822127,birds
SRC,62.09381463,-118.1876293,-118.0209626,SRC 516,54,0,0.524387486,birds
TRC,62.45489604,-116.9097921,-116.6300718,TRC 49,54,1.3908908,0.261591856,birds
TS,58.68743259,-111.3748652,-111.2081985,TS 51,54,6.8127641,0.017389192,birds
BM,59.59862845,-113.1972569,-113.0317397,BM54,55,8.7964319,0.007177631,birds
BMS,59.13129747,-108.2625949,-107.8430145,BMS 22.5051068794047,55,13.9851571,0.000536122,birds
delta,60.32665749,-112.653315,-112.3755372,delta54,55,9.4526344,0.005169977,birds
DensDep,58.91396777,-113.8279355,-113.7457438,DensDep54,55,8.0824278,0.010257114,birds
EB,61.72399699,-115.447994,-115.1702162,EB54,55,6.6579554,0.020909585,birds
fit_env,59.04091039,-112.0818208,-111.9163035,NA,55,9.911868071,0.004432262,birds
JN,58.52716543,-111.0543309,-110.8888136,NA,55,10.93935797,0.002458389,birds
kappa,59.45369877,-110.9073975,-110.6296198,kappa54,55,11.1985518,0.002159571,birds
lambda,59.59862842,-111.1972568,-110.9194791,lambda54,55,10.9086925,0.002496374,birds
NIG,61.71619295,-117.4323859,-117.2668687,NA,55,4.561302941,0.059652371,birds
OU,59.59862845,-111.1972569,-110.9194791,OU54,55,10.9086925,0.002496374,birds
OUMA,59.20070123,-106.4014025,-105.8098532,OUMA 18.1791697583478,55,16.0183184,0.000193985,birds
OUMV,60.11975549,-108.239511,-107.6479617,OUMV 16.86655214721,55,14.1802099,0.000486305,birds
OUMVA,60.04412977,-106.0882595,-105.2939333,OUMVA 16.866551949704,55,16.5342383,0.000149878,birds
OUS,59.4782261,-108.9564522,-108.5368718,OUS 19.8202182076218,55,13.2912998,0.000758461,birds
SRC,63.99741911,-121.9948382,-121.8281716,SRC 627,55,0,0.583582231,birds
TRC,64.34060469,-120.6812094,-120.4014891,TRC 623,55,1.4266825,0.285957763,birds
TS,60.37280045,-114.7456009,-114.5789342,TS 95,55,7.2492374,0.015557871,birds
BM,58.86315808,-111.7263162,-111.5607989,BM55,56,9.652687,0.004548111,birds
BMS,58.43935711,-106.8787142,-106.4591338,BMS 14.3858603941726,56,14.7543521,0.000354829,birds
delta,57.56938769,-107.1387754,-106.8609976,delta55,56,14.3524883,0.000433793,birds
DensDep,57.53454038,-111.0690808,-110.986889,DensDep55,56,10.2265969,0.003413564,birds
EB,60.72048157,-113.4409631,-113.1631854,EB55,56,8.0503005,0.010134092,birds
fit_env,57.53761502,-109.07523,-108.9097128,NA,56,12.3037731,0.001252883,birds
JN,60.20086423,-114.4017285,-114.2362112,NA,56,6.97727468,0.017329636,birds
kappa,58.81530787,-109.6306157,-109.352838,kappa55,56,11.8606479,0.00150792,birds
lambda,58.86315806,-109.7263161,-109.4485384,lambda55,56,11.7649475,0.001581829,birds
NIG,59.64426335,-113.2885267,-113.1230095,NA,56,8.090476439,0.00993255,birds
OU,58.86315808,-109.7263162,-109.4485384,OU55,56,11.7649475,0.001581829,birds
OUMA,58.17516089,-104.3503218,-103.7587725,OUMA 15.9169406193697,56,17.4547134,9.20E-05,birds
OUMV,58.91385647,-105.8277129,-105.2361636,OUMV 12.8921003723197,56,15.9773223,0.00019251,birds
OUMVA,58.74965832,-103.4993166,-102.7049904,OUMVA 14.314118212394,56,18.5084955,5.43E-05,birds
OUS,58.03566871,-106.0713374,-105.651757,OUS 14.3140527887467,56,15.5617289,0.000236973,birds
SRC,63.69007626,-121.3801525,-121.2134859,SRC 628,56,0,0.567394837,birds
TRC,64.34178824,-120.6835765,-120.4038562,TRC 518,56,0.8096297,0.378509273,birds
TS,58.34300717,-110.6860143,-110.5193477,TS 722,56,10.6941382,0.002701984,birds
BM,56.15256505,-106.3051301,-106.1396129,BM56,57,16.5415931,0.000156779,birds
BMS,58.08514808,-106.1702962,-105.7507157,BMS 20.5833878087039,57,16.9304903,0.000129074,birds
delta,59.33189171,-110.6637834,-110.3860056,delta56,57,12.2952004,0.001310325,birds
DensDep,56.25090931,-108.5018186,-108.4196268,DensDep56,57,14.2615792,0.000490214,birds
EB,61.06596685,-114.1319337,-113.8541559,EB56,57,8.8270501,0.007421272,birds
fit_env,56.19967839,-106.3993568,-106.2338395,NA,57,16.44736645,0.000165,birds
JN,57.86568569,-109.7313714,-109.5658541,NA,57,13.11535186,0.000869532,birds
kappa,58.476455,-108.95291,-108.6751322,kappa56,57,14.0060738,0.000557016,birds
lambda,58.4132355,-108.826471,-108.5486932,lambda56,57,14.1325128,0.000522892,birds
NIG,58.34070172,-110.6814034,-110.5158862,NA,57,12.1653198,0.001398242,birds
OU,58.41323551,-108.826471,-108.5486933,OU56,57,14.1325127,0.000522892,birds
OUMA,57.68784206,-103.3756841,-102.7841348,OUMA 20.7746671368883,57,19.8970712,2.93E-05,birds
OUMV,58.08574354,-104.1714871,-103.5799378,OUMV 20.5833090431936,57,19.1012682,4.36E-05,birds
OUMVA,58.10087531,-102.2017506,-101.4074244,OUMVA 20.5833329503239,57,21.2737816,1.47E-05,birds
OUS,57.67767899,-105.355358,-104.9357776,OUS 20.5951117077359,57,17.7454284,8.59E-05,birds
SRC,64.42393634,-122.8478727,-122.681206,SRC 81,57,0,0.612700103,birds
TRC,64.98528229,-121.9705646,-121.6908443,TRC 72,57,0.9903617,0.373416619,birds
TS,56.90213802,-107.804276,-107.6376094,TS 101,57,15.0435966,0.000331568,birds
BM,59.81273031,-113.6254606,-113.4599434,BM57,58,7.8191532,0.011484492,birds
BMS,60.82619301,-111.652386,-111.2328056,BMS 14.2883979732066,58,10.046291,0.003771334,birds
delta,60.34176772,-112.6835354,-112.4057577,delta57,58,8.8733389,0.00677951,birds
DensDep,59.35194812,-114.7038962,-114.6217045,DensDep57,58,6.6573921,0.020529814,birds
EB,61.3672204,-114.7344408,-114.456663,EB57,58,6.8224336,0.018903695,birds
fit_env,59.61204876,-113.2240975,-113.0585803,NA,58,8.220516322,0.010674914,birds
JN,60.79846138,-115.5969228,-115.4314055,NA,58,5.847691086,0.0307758,birds
kappa,60.17797587,-112.3559517,-112.078174,kappa57,58,9.2009226,0.005755253,birds
lambda,59.81273027,-111.6254605,-111.3476828,lambda57,58,9.9314138,0.003994296,birds
NIG,61.61159369,-117.2231874,-117.0576701,NA,58,4.22142646,0.069398204,birds
OU,59.8127303,-111.6254606,-111.3476828,OU57,58,9.9314138,0.003994296,birds
OUMA,60.11565539,-108.2313108,-107.6397615,OUMA 15.4156079960272,58,13.6393351,0.000625569,birds
OUMV,60.98080819,-109.9616164,-109.3700671,OUMV 14.2884586185082,58,11.9090295,0.001485958,birds
OUMVA,61.70888823,-109.4177765,-108.6234502,OUMVA 14.2884642087477,58,12.6556464,0.001023012,birds
OUS,60.16077388,-110.3215478,-109.9019673,OUS 14.2868367270411,58,11.3771293,0.001938684,birds
SRC,63.72288164,-121.4457633,-121.2790966,SRC 517,58,0,0.572821538,birds
TRC,63.85318722,-119.7063744,-119.4266542,TRC 519,58,1.8524424,0.226864521,birds
TS,60.36071414,-114.7214283,-114.5547616,TS 610,58,6.724335,0.019854024,birds
BM,60.23034732,-114.4606946,-114.2951774,BM58,59,7.9723508,0.010963695,birds
BMS,62.00369849,-114.007397,-113.5878166,BMS 18.1475273981958,59,8.6797116,0.007697602,birds
delta,60.18637243,-112.3727449,-112.0949671,delta58,59,10.1725611,0.003649113,birds
DensDep,60.0184454,-116.0368908,-115.954699,DensDep58,59,6.3128292,0.025137233,birds
EB,60.44335718,-112.8867144,-112.6089366,EB58,59,9.6585916,0.004718396,birds
fit_env,60.05225337,-114.1045067,-113.9389895,NA,59,8.328538695,0.009699727,birds
JN,60.90878033,-115.8175607,-115.6520434,NA,59,6.615484778,0.021607108,birds
kappa,60.47997634,-112.9599527,-112.6821749,kappa58,59,9.5853533,0.004894382,birds
lambda,60.23034732,-112.4606946,-112.1829169,lambda58,59,10.0846113,0.003813163,birds
NIG,60.18435071,-114.3687014,-114.2031842,NA,59,8.064344016,0.010470824,birds
OU,60.23034522,-112.4606904,-112.1829127,OU58,59,10.0846155,0.003813155,birds
OUMA,61.61047631,-111.2209526,-110.6294033,OUMA 18.6996137555878,59,11.6381249,0.001753655,birds
OUMV,62.00372299,-112.007446,-111.4158967,OUMV 18.1470134651456,59,10.8516315,0.002598538,birds
OUMVA,62.04983852,-110.099677,-109.3053508,OUMVA 18.1470043235515,59,12.9621774,0.000904544,birds
OUS,61.54736463,-113.0947293,-112.6751488,OUS 19.2585109346297,59,9.5923794,0.004877218,birds
SRC,64.21709744,-122.4341949,-122.2675282,SRC 629,59,0,0.590379008,birds
TRC,64.51531103,-121.0306221,-120.7509018,TRC 624,59,1.5166264,0.27656656,birds
TS,61.10040388,-116.2008078,-116.0341411,TS 810,59,6.2333871,0.026155805,birds
BM,58.58439181,-111.1687836,-111.0032664,BM59,60,6.9322792,0.017777266,birds
BMS,60.08796825,-110.1759365,-109.7563561,BMS 13.6827665756012,60,8.1791895,0.009530196,birds
delta,58.95157259,-109.9031452,-109.6253674,delta59,60,8.3101782,0.008926023,birds
DensDep,58.23837158,-112.4767432,-112.3945514,DensDep59,60,5.5409942,0.035643362,birds
EB,59.69375525,-111.3875105,-111.1097327,EB59,60,6.8258129,0.018749247,birds
fit_env,58.48370657,-110.9674131,-110.8018959,NA,60,7.133649694,0.01798944,birds
JN,59.94700327,-113.8940065,-113.7284893,NA,60,4.207056305,0.069444779,birds
kappa,59.03022804,-110.0604561,-109.7826783,kappa59,60,8.1528673,0.009656453,birds
lambda,58.5843918,-109.1687836,-108.8910058,lambda59,60,9.0445398,0.006182917,birds
NIG,57.02744617,-108.0548923,-107.8893751,NA,60,10.04617051,0.003747072,birds
OU,58.58439181,-109.1687836,-108.8910058,OU59,60,9.0445398,0.006182917,birds
