model,lnL,AIC,AICc,weight$delta,weight$w,tree.no,timing
SRC,61.32691283,-116.6538257,-116.487159,0,0.509384941,18,5
TRC,65.26560139,-122.5312028,-122.2514825,0.90471066,0.370815554,19,5
SRC,64.66142991,-123.3228598,-123.1561932,0,0.582925919,19,5
TRC,61.9310697,-115.8621394,-115.5824191,1.452728479,0.296512562,20,5
SRC,61.60090714,-117.2018143,-117.0351476,0,0.61305449,20,6
SRC,65.59517539,-125.1903508,-125.0236841,0,0.72537955,21,6
SRC,64.89699346,-123.7939869,-123.6273202,0,0.67036481,22,6
TRC,63.18037575,-118.3607515,-118.0810312,0.744005105,0.400945589,23,4
SRC,62.4958515,-118.991703,-118.8250363,0,0.58162638,23,5
TRC,64.02401502,-120.04803,-119.7683098,1.077401682,0.361384448,24,5
SRC,63.50618905,-121.0123781,-120.8457114,0,0.619333057,24,6
TRC,65.84465649,-123.689313,-123.4095927,1.92354531,0.261775846,25,6
SRC,65.74990234,-125.4998047,-125.333138,0,0.684892055,25,6
TRC,62.42126762,-116.8425352,-116.562815,0.402557795,0.422252932,26,5
SRC,61.56601971,-117.1320394,-116.9653728,0,0.516400898,26,5
TRC,63.00650732,-118.0130146,-117.7332944,1.96856762,0.255303748,27,6
SRC,62.93426432,-119.8685286,-119.701862,0,0.683165959,27,6
TRC,65.93806311,-123.8761262,-123.5964059,1.93819873,0.262606626,28,6
SRC,65.85063567,-125.7012713,-125.5346047,0,0.692118067,28,6
TRC,63.96312791,-119.9262558,-119.6465355,1.865572072,0.269779512,29,5
SRC,63.83938714,-121.6787743,-121.5121076,0,0.68566628,29,6
TRC,64.73365237,-121.4673047,-121.1875845,1.704604387,0.277855534,30,5
SRC,64.52942776,-123.0588555,-122.8921889,0,0.651582168,30,5
TRC,59.31758652,-110.635173,-110.3554528,1.665598421,0.203299382,31,4
SRC,59.09385892,-112.1877178,-112.0210512,0,0.467537187,31,4
TRC,64.15981381,-120.3196276,-120.0399073,1.96564791,0.25212594,32,6
SRC,64.08611096,-122.1722219,-122.0055553,0,0.673678288,32,6
TRC,66.46424223,-124.9284845,-124.6487642,1.621689618,0.298789082,33,6
SRC,66.21856023,-126.4371205,-126.2704538,0,0.672218019,33,6
TRC,62.27894425,-116.5578885,-116.2781682,1.967505592,0.233542328,34,6
SRC,62.20617024,-118.4123405,-118.2456738,0,0.624602928,34,6
TRC,64.01718184,-120.0343637,-119.7546434,1.510831732,0.305484406,35,5
SRC,63.7160709,-121.4321418,-121.2654751,0,0.650222492,35,5
TRC,63.03901274,-118.0780255,-117.7983052,1.054437073,0.362796812,36,6
SRC,62.50970447,-119.0194089,-118.8527423,0,0.614655205,36,6
TRC,64.76351277,-121.5270255,-121.2473053,1.27283989,0.335613421,37,6
SRC,64.34340591,-122.6868118,-122.5201452,0,0.634209861,37,6
TRC,62.33021918,-116.6604384,-116.3807181,1.376063773,0.194441712,38,5
SRC,61.96172426,-117.9234485,-117.7567819,0,0.386899251,38,6
OUS,63.43362369,-116.8672474,-116.447667,1.3091149,0.201060705,38,NA
TRC,65.96123442,-123.9224688,-123.6427486,1.871218276,0.275712707,39,6
SRC,65.84031676,-125.6806335,-125.5139668,0,0.702727044,39,6
TRC,64.65219483,-121.3043897,-121.0246694,1.95515608,0.266350021,40,6
SRC,64.57324606,-123.1464921,-122.9798255,0,0.707961244,40,6
TRC,62.21779225,-116.4355845,-116.1558642,0.639947029,0.37386136,41,6
SRC,61.48123895,-116.9624779,-116.7958112,0,0.514841223,41,7
TRC,63.33704692,-118.6740938,-118.3943736,1.302020609,0.321991355,42,5
SRC,62.93153042,-119.8630608,-119.6963942,0,0.617411045,42,6
SRC,62.01904799,-118.038096,-117.8714293,0,0.692905156,43,7
SRC,65.09645748,-124.192915,-124.0262483,0,0.680836232,44,5
TRC,64.57766026,-121.1553205,-120.8756002,1.885126824,0.255206637,45,6
SRC,64.46369687,-122.9273937,-122.7607271,0,0.655001137,45,7
TRC,64.92839582,-121.8567916,-121.5770714,1.318424191,0.328004303,46,5
SRC,64.5310811,-123.0621622,-122.8954955,0,0.634120389,46,5
TRC,64.64399898,-121.287998,-121.0082777,1.48480464,0.314578094,47,7
SRC,64.32987449,-122.659749,-122.4930823,0,0.660921238,47,7
TRC,64.24081154,-120.4816231,-120.2019028,1.057921093,0.35816838,48,6
SRC,63.71324528,-121.4264906,-121.2598239,0,0.60787165,48,7
TRC,64.80196971,-121.6039394,-121.3242191,1.431046063,0.307268526,49,6
SRC,64.46096593,-122.9219319,-122.7552652,0,0.628442837,49,6
