group,model,lnL,AIC,AICc,timing,tree.no,delta,w
agamidae,TS,59.73649051,-113.472981,-113.2176619,312,13,25.6866289,1.71E-06
agamidae,TRC,73.66719918,-139.3343984,-138.9042908,83,13,0,0.645955747
agamidae,SRC,65.50044816,-125.0008963,-124.7455772,9,13,14.1587136,0.000544098
agamidae,OUS,59.13530273,-108.2706055,-107.6254442,NAS 39.4025312052909,13,31.2788466,1.04E-07
agamidae,OUMA,74.65175445,-137.3035089,-136.3904654,NAMA 37.3841062867094,13,2.5138254,0.183794502
agamidae,OUMV,69.51346931,-127.0269386,-126.1138951,NAMV 51.7314199565165,13,12.7903957,0.001078459
agamidae,OUMVA,75.3146275,-136.629255,-135.3984858,NAMVA 37.3841311052451,13,3.505805,0.111924943
agamidae,DensDep,56.8194626,-109.6389252,-109.5139252,NA,13,29.39036561,2.68E-07
agamidae,fit_env,57.98994245,-109.9798849,-109.7272533,NA,13,29.17703747,2.98E-07
agamidae,EB,70.91079911,-133.8215982,-133.3960663,NA13,14,9.305063,0.008990061
agamidae,delta,68.42928105,-128.8585621,-128.4330302,NA13,14,14.2680991,0.000751715
agamidae,TS,55.8005789,-105.6011578,-105.3458386,313,14,37.3552907,7.29E-09
agamidae,TRC,75.56561841,-143.1312368,-142.7011293,62,14,0,0.942608582
agamidae,SRC,67.00722723,-128.0144545,-127.7591353,7,14,14.941994,0.000536684
agamidae,OUS,60.29965371,-110.5993074,-109.9541461,NAS 43.659372977599,14,32.7469832,7.30E-08
agamidae,OUMA,74.53019599,-137.060392,-136.1473485,NAMA 43.3255391886771,14,6.5537808,0.035579183
agamidae,OUMV,69.01936363,-126.0387273,-125.1256838,NAMV 53.7322476518353,14,17.5754455,0.000143837
agamidae,OUMVA,74.55002075,-135.1000415,-133.8692723,NAMVA 43.3255392345616,14,8.831857,0.01138985
agamidae,DensDep,54.76382585,-105.5276517,-105.4026517,NA,14,37.2984776,7.50E-09
agamidae,fit_env,46.87823998,-87.75647995,-87.50384837,NA,14,55.19728093,9.74E-13
agamidae,EB,70.14245994,-132.2849199,-131.859388,NA14,15,6.0071394,0.037266138
agamidae,delta,68.09507832,-128.1901566,-127.7646247,NA14,15,10.1019027,0.00481003
agamidae,TS,59.92330674,-113.8466135,-113.5912943,314,15,24.2752331,4.02E-06
agamidae,TRC,73.14831744,-138.2966349,-137.8665274,84,15,0,0.751187115
agamidae,SRC,64.73329474,-123.4665895,-123.2112703,91,15,14.6552571,0.000493628
agamidae,OUS,61.25662353,-112.5132471,-111.8680858,NAS 36.6968869074082,15,25.9984416,1.70E-06
agamidae,OUMA,71.69216173,-131.3843235,-130.47128,NAMA 35.2972065751551,15,7.3952474,0.01861618
agamidae,OUMV,70.53540451,-129.070809,-128.1577655,NAMV 48.2515943870629,15,9.7087619,0.00585487
agamidae,OUMVA,75.12970793,-136.2594159,-135.0286466,NAMVA 33.5189651875991,15,2.8378808,0.181764951
agamidae,DensDep,57.21668018,-110.4333604,-110.3083604,NA,15,27.55816703,7.79E-07
agamidae,fit_env,57.99941839,-109.9988368,-109.7462052,NA,15,28.1203222,5.88E-07
