,model,lnL,AIC,AICc,timing,tree.no,delta,w
64,oumv ,209.4106675,-406.8213351,-406.3597966,29.78301425,4,19.929836,2.74816866074174e-05
65,oumva ,209.7701282,-405.5402565,-404.921472,a 32.821964632993,4,21.3681606,1.33879833712766e-05
66,DensDep,205.235353549046,-406.470707098092,-406.406190969059,NA,4,19.883441630941,2.81266359463989e-05
67,JN,204.08897186709,-402.17794373418,-402.04821400445,NA,4,24.24141859555,3.18269570450469e-06
68,NIG,202.684034510538,-399.368069021076,-399.238339291346,NA,4,27.051293308654,7.80977598196916e-07
69,BM,209.0215427,-412.0430854,-411.9133556,NA4,5,16.0135765,0.000144749345771292
70,EB,217.6862617,-427.3725233,-427.155132,NA4,5,0.771800100000007,0.295342741565457
71,OU,209.0215427,-410.0430854,-409.8256941,NA4,5,18.101238,5.09667187781358e-05
72,kappa,209.5955023,-411.1910046,-410.9736133,NA4,5,16.9533188,9.04803270785801e-05
73,delta,214.2260469,-420.4520938,-420.2347025,NA4,5,7.69222959999996,0.00928055886722436
74,lambda,209.0215427,-410.0430854,-409.8256941,NA4,5,18.101238,5.09667187781358e-05
75,ts ,212.5731846,-419.1463691,-419.0159343,NA 114,5,8.91099779999996,0.0050457064197828
76,trc ,217.3772286,-426.7544571,-426.5358779,NA 102,5,1.39105419999999,0.216699037681581
77,src ,217.0286835,-428.0573669,-427.9269321,NA 112,5,0,0.434430756229206
78,bms ,214.9581345,-419.916269,-419.5884002,33.86498694,5,8.33853189999996,0.00671786649152941
79,ous ,210.0733184,-410.1466369,-409.818768,13.43291922,5,18.1081641,5.07905237448631e-05
80,ouma ,215.7454393,-419.4908785,-419.02934,33.93092638,5,8.8975921,0.00507964063398221
81,oumv ,214.9555762,-417.9111523,-417.4496139,33.9090421,5,10.4773182,0.0023056842054686
82,oumva ,215.7955301,-417.5910602,-416.9722756,a 33.8648836642326,5,10.9546565,0.00181613082493362
83,DensDep,210.235675579872,-416.471351159743,-416.406835030711,NA,5,11.520097069289,0.00136887335528091
84,JN,214.0235116602,-422.0470233204,-421.917293590671,NA,5,6.00963850932897,0.0215250487061307
85,NIG,197.464680643633,-388.929361287267,-388.799631557537,NA,5,39.127300542463,1.38527247685194e-09
86,BM,206.28691,-406.5738199,-406.4440902,NA5,6,16.6606459,9.90203719448713e-05
87,EB,214.8038984,-421.6077969,-421.3904056,NA5,6,1.71433050000002,0.174291298233627
88,OU,207.381833,-406.7636661,-406.5462748,NA5,6,16.5584613,0.000104211022532497
89,kappa,209.1666897,-410.3333793,-410.115988,NA5,6,12.9887481,0.00062096486745483
90,delta,212.2175187,-416.4350374,-416.2176461,NA5,6,6.88709,0.0131227619678676
91,lambda,207.381833,-406.763666,-406.5462747,NA5,6,16.5584614,0.000104211017321948
92,ts ,208.7342369,-411.4684737,-411.338039,NA 115,6,11.7666971,0.0011440158264875
93,trc ,215.6616577,-423.3233153,-423.1047361,NA 103,6,0,0.410712426426431
