,model,lnL,AIC,AICc,timing,tree.no,delta,w
1341,OUS,68.21271006,-126.4254201,-125.7802588,NAS 38.7708397906401,83,12.9492524,0.000714602
1342,OUMA,75.82127734,-139.6425547,-138.7295112,NAMA 36.8841579780729,83,0,0.463403126
1343,OUMV,70.47313458,-128.9462692,-128.0332257,NAMV 50.4983327419732,83,10.6962855,0.002204398
1344,OUMVA,70.85587318,-127.7117464,-126.4809771,NAMVA 38.7707146207674,83,12.2485341,0.001014433
1345,DensDep,65.45108565,-126.9021713,-126.7771713,NA,83,11.9523399,0.001176363
1346,BM,66.47981358,-126.9596272,-126.7069956,NA83,84,8.2157821,0.011263036
1347,EB,68.6518364,-129.3036728,-128.8781409,NA83,84,6.0446368,0.03335137
1348,OU,66.47981358,-124.9596272,-124.5340952,NA83,84,10.3886825,0.003800285
1349,kappa,70.33372237,-132.6674447,-132.2419128,NA83,84,2.6808649,0.179286451
1350,delta,67.04063246,-126.0812649,-125.655733,NA83,84,9.2670447,0.006658505
1351,lambda,66.47981358,-124.9596272,-124.5340952,83,84,10.3886825,0.003800285
1352,TS,57.7343775,-109.468755,-109.2134359,383,84,25.7093418,1.79E-06
1353,TRC,71.67644259,-135.3528852,-134.9227777,716,84,0,0.68499892
1354,SRC,61.17327506,-116.3465501,-116.091231,1145,84,18.8315467,5.58E-05
1355,BMS,70.59364381,-131.1872876,-130.5421263,NAS 35.8805298317433,84,4.3806514,0.076637887
1356,OUS,58.57113716,-107.1422743,-106.497113,NAS 36.2469072330623,84,28.4256647,4.60E-07
1357,OUMA,65.02854569,-118.0570914,-117.1440479,NAMA 37.4094160950595,84,17.7787298,9.44E-05
1358,OUMV,60.8315607,-109.6631214,-108.7500779,NAMV 51.5508114307296,84,26.1726998,1.42E-06
1359,OUMVA,65.53485181,-117.0697036,-115.8389344,NAMVA 37.621893514868,84,19.0838433,4.92E-05
1360,DensDep,54.56546489,-105.1309298,-105.0059298,NA,84,29.9168479,2.18E-07
1361,BM,69.89652411,-133.7930482,-133.5404166,NA84,85,13.4190861,0.001022655
1362,EB,73.03200052,-138.064001,-137.6384691,NA84,85,9.3210336,0.00793615
1363,OU,69.89652411,-131.7930482,-131.3675163,NA84,85,15.5919864,0.000345056
1364,kappa,72.03638616,-136.0727723,-135.6472404,NA84,85,11.3122623,0.002932378
1365,delta,70.73811505,-133.4762301,-133.0506982,NA84,85,13.9088045,0.000800549
1366,lambda,69.89652411,-131.7930482,-131.3675163,84,85,15.5919864,0.000345056
1367,TS,66.8972099,-127.7944198,-127.5391007,384,85,19.420402,5.09E-05
1368,TRC,77.69480511,-147.3896102,-146.9595027,1114,85,0,0.838777112
1369,SRC,74.80533264,-143.6106653,-143.3553461,1146,85,3.6041566,0.138361069
1370,BMS,65.53225658,-121.0645132,-120.4193519,NAS 58.7034114828584,85,26.5401508,1.45E-06
1371,OUS,68.98124213,-127.9624843,-127.317323,NAS 34.0719189863617,85,19.6421797,4.55E-05
1372,OUMA,75.1524542,-138.3049084,-137.3918649,NAMA 33.8048015657424,85,9.5676378,0.007015529
1373,OUMV,71.15822394,-130.3164479,-129.4034044,NAMV 35.5135397687489,85,17.5560983,0.000129237
1374,OUMVA,75.1510683,-136.3021366,-135.0713674,NAMVA 33.8048015887631,85,11.8881353,0.002198724
1375,DensDep,65.55616855,-127.1123371,-126.9873371,NA,85,19.9721656,3.86E-05
1376,BM,66.70160712,-127.4032142,-127.1505827,NA85,86,9.0763856,0.008455627
1377,EB,59.52388473,-111.0477695,-110.6222375,NA85,86,25.6047308,2.18E-06
1378,OU,66.70160712,-125.4032142,-124.9776823,NA85,86,11.249286,0.002853031
1379,kappa,70.08197076,-132.1639415,-131.7384096,NA85,86,4.4885587,0.083826196
1380,delta,67.64155993,-127.2831199,-126.8575879,NA85,86,9.3693804,0.007303361
1381,lambda,66.70160712,-125.4032142,-124.9776823,85,86,11.249286,0.002853031
1382,TS,63.84667566,-121.6933513,-121.4380322,385,86,14.7889361,0.00048605
1383,TRC,72.3285379,-136.6570758,-136.2269683,717,86,0,0.790784043
1384,SRC,67.5597271,-129.1194542,-128.864135,1147,86,7.3628333,0.01991769
1385,BMS,70.52231737,-131.0446347,-130.3994735,NAS 35.5314208392355,86,5.8274948,0.042917407
1386,OUS,65.27787966,-120.5557593,-119.910598,NAS 36.3769056104474,86,16.3163703,0.000226466
1387,OUMA,71.31981247,-130.6396249,-129.7265815,NAMA 35.531360178202,86,6.5003868,0.030656095
1388,OUMV,63.95666005,-115.9133201,-115.0002766,NAMV 49.8287607363525,86,21.2266917,1.94E-05
1389,OUMVA,71.29440656,-128.5888131,-127.3580439,NAMVA 35.5313601348819,86,8.8689244,0.00937984
1390,DensDep,62.36209215,-120.7241843,-120.5991843,NA,86,15.627784,0.000319542
1391,BM,67.10773528,-128.2154706,-127.962839,NA86,87,8.0567747,0.012406975
1392,EB,70.28225846,-132.5645169,-132.138985,NA86,87,3.8806287,0.100116231
1393,OU,67.10773528,-126.2154706,-125.7899387,NA86,87,10.229675,0.004186264
1394,kappa,69.60066343,-131.2013269,-130.7757949,NA86,87,5.2438188,0.050639746
1395,delta,52.46514819,-96.93029638,-96.50476447,NA86,87,39.51484923,1.83E-09
1396,lambda,67.10773528,-126.2154706,-125.7899387,86,87,10.229675,0.004186264
1397,TS,59.79410664,-113.5882133,-113.3328941,386,87,22.6867196,8.26E-06
1398,TRC,72.22486064,-136.4497213,-136.0196137,718,87,0,0.696902957
1399,SRC,62.85473636,-119.7094727,-119.4541536,1018,87,16.5654601,0.000176209
1400,BMS,71.07014609,-132.1402922,-131.4951309,NAS 33.0316606300421,87,4.5244828,0.072559344
1401,OUS,59.00594285,-108.0118857,-107.3667244,NAS 34.3410014111832,87,28.6528893,4.18E-07
1402,OUMA,71.72864476,-131.4572895,-130.544246,NAMA 33.6834460087982,87,5.4753677,0.045103611
1403,OUMV,65.95478321,-119.9095664,-118.9965229,NAMV 48.0488632653744,87,17.0230908,0.00014017
1404,OUMVA,71.68664615,-129.3732923,-128.1425231,NAMVA 34.0548568859062,87,7.8770906,0.013573249
1405,DensDep,55.42141557,-106.8428311,-106.7178311,NA,87,29.3017826,3.02E-07
1406,BM,67.0764359,-128.1528718,-127.9002402,NA87,88,6.5020438,0.029957572
1407,EB,69.04999963,-130.0999993,-129.6744673,NA87,88,4.7278167,0.072740306
1408,OU,67.07643591,-126.1528718,-125.7273399,NA87,88,8.6749441,0.010108048
1409,kappa,69.01655806,-130.0331161,-129.6075842,NA87,88,4.7946998,0.070347982
1410,delta,60.33676393,-112.6735279,-112.2479959,NA87,88,22.1542881,1.20E-05
1411,lambda,67.07643591,-126.1528718,-125.7273399,87,88,8.6749441,0.010108048
1412,TS,63.92622688,-121.8524538,-121.5971346,387,88,12.8051494,0.001281754
1413,TRC,71.41619577,-134.8323915,-134.402284,719,88,0,0.773405896
1414,SRC,65.99023845,-125.9804769,-125.7251578,86,88,8.6771262,0.010097026
1415,BMS,68.54044182,-127.0808836,-126.4357223,NAS 34.0020118276049,88,7.9665617,0.014404248
1416,OUS,62.04416481,-114.0883296,-113.4431683,NAS 36.4773882809325,88,20.9591157,2.17E-05
1417,OUMA,68.78957834,-125.5791567,-124.6661132,NAMA 35.1954213765937,88,9.7361708,0.005945999
1418,OUMV,63.94908576,-115.8981715,-114.985128,NAMV 49.7762856273358,88,19.417156,4.70E-05
1419,OUMVA,67.78116101,-121.562322,-120.3315528,NAMVA 37.3511128293641,88,14.0707312,0.000680749
1420,DensDep,62.44048796,-120.8809759,-120.7559759,NA,88,13.6463081,0.000841684
1421,BM,51.85791104,-97.71582208,-97.46319051,NA88,89,42.82358549,4.90E-10
1422,EB,51.85820122,-95.71640243,-95.29087052,NA88,89,44.99590548,1.65E-10
1423,OU,68.01974615,-128.0394923,-127.6139604,NA88,89,12.6728156,0.00172599
1424,kappa,70.1143691,-132.2287382,-131.8032063,NA88,89,8.4835697,0.014019147
1425,delta,68.96449551,-129.928991,-129.5034591,NA88,89,10.7833169,0.004439538
1426,lambda,68.01974615,-128.0394923,-127.6139604,88,89,12.6728156,0.00172599
1427,TS,58.25025193,-110.5005039,-110.2451847,388,89,30.0415913,2.92E-07
1428,TRC,74.35844177,-140.7168835,-140.286776,720,89,0,0.974777134
1429,SRC,66.13428956,-126.2685791,-126.01326,1019,89,14.273516,0.000775266
1430,BMS,69.51449759,-129.0289952,-128.3838339,NAS 37.057727840897,89,11.9029421,0.00253638
1431,OUS,57.9652798,-105.9305596,-105.2853983,NAS 56.1600215144529,89,35.0013777,2.45E-08
1432,OUMA,59.64039153,-107.2807831,-106.3677396,NAMA 52.3653032484232,89,33.9190364,4.20E-08
1433,OUMV,60.48907212,-108.9781442,-108.0651008,NAMV 51.9217058641191,89,32.2216752,9.82E-08
1434,OUMVA,59.61265558,-105.2253112,-103.9945419,NAMVA 57.3333348030393,89,36.2922341,1.28E-08
1435,DensDep,55.93718106,-107.8743621,-107.7493621,NA,89,32.5374139,8.38E-08
1436,BM,68.43113349,-130.862267,-130.6096354,NA89,90,14.540766,0.000485945
1437,EB,70.73040108,-133.4608022,-133.0352702,NA89,90,12.1151312,0.001634206
1438,OU,68.43113349,-128.862267,-128.4367351,NA89,90,16.7136663,0.000163964
1439,kappa,71.06785761,-134.1357152,-133.7101833,NA89,90,11.4402181,0.002290142
1440,delta,69.07189628,-130.1437926,-129.7182606,NA89,90,15.4321408,0.000311191
1441,lambda,68.43113349,-128.862267,-128.4367351,89,90,16.7136663,0.000163964
1442,TS,65.88945619,-125.7789124,-125.5235932,389,90,19.6268082,3.82E-05
1443,TRC,74.42069649,-140.841393,-140.4112855,822,90,4.7391159,0.065311277
