,lnL,AIC,AICc,weight$delta,weight$w,tree.no
DensDep1,209.013581989366,-414.027163978732,-413.975439840801,0,0.179767976519535,15
TS 111,209.371063360773,-412.742126721546,-412.637778895459,1.33766094534195,0.0920964619655957,15
TRC 31,210.088238713046,-412.176477426093,-412.00180493701,1.97363490379098,0.0670105150524773,15
SRC 71,210.020821896922,-414.041643793845,-413.937295967758,0.0381438730431114,0.176371940512855,15
OUMA 55.1494808953925,212.397436600431,-412.794873200862,-412.426452148231,1.54898769256988,0.082861716638349,15
EB9,210.562483292886,-413.124966585772,-412.951053542293,0,0.245446625353395,16
delta6,209.759185567053,-411.518371134106,-411.344458090628,1.60659545166567,0.109923183031163,16
DensDep2,207.695928707473,-411.391857414946,-411.340133277015,1.61092026527825,0.109685741207438,16
TRC 5,209.574009990698,-411.148019981397,-410.973347492314,1.97770604997987,0.091306911580647,16
SRC 6,209.11439333519,-412.228786670379,-412.124438844292,0.826614698001379,0.162352867783059,16
EB10,207.779040171794,-407.558080343587,-407.384167300109,0,0.264110515526181,17
delta7,206.900486049885,-405.80097209977,-405.627059056292,1.75710824381719,0.109707037017457,17
TRC 81,207.32933229863,-406.65866459726,-406.483992108177,0.900175191931964,0.168389548947582,17
SRC 9,206.469263023703,-406.938526047405,-406.834178221318,0.549989078790873,0.200612080504514,17
delta8,541.706466739691,-1075.41293347938,-1075.2390204359,0,1,18
DensDep3,210.351917657256,-416.703835314513,-416.652111176582,0,0.300653226298237,19
TS 112,210.477521113528,-414.955042227056,-414.850694400969,1.80141677561249,0.12214991974684,19
SRC 61,211.042024226719,-416.084048453438,-415.979700627351,0.672410549230619,0.214809642857963,19
BM2,203.774890706015,-401.549781412029,-401.445885308133,1.32449182440246,0.14684419082965,20
EB11,205.472145088007,-402.944290176014,-402.770377132535,0,0.28475182474211,20
delta9,204.935181490869,-401.870362981738,-401.69644993826,1.07392719427571,0.166443250484988,20
TRC 32,205.082935000712,-402.165870001424,-401.991197512341,0.779179620194043,0.192872278505032,20
TRC 6,204.693901905167,-401.387803810335,-401.213131321252,0,0.59431898413942,21
delta10,222.948016458576,-437.896032917152,-437.722119873673,0,0.999997023888951,22
TRC 82,208.648823390119,-409.297646780238,-409.122974291155,0,0.922830677169739,23
DensDep4,205.087184094655,-406.174368189311,-406.12264405138,1.63978936116797,0.125235863614556,24
TRC 9,207.707884247562,-407.415768495124,-407.241096006041,0.521337406506746,0.21907734600591,24
SRC 101,206.933390619317,-407.866781238635,-407.762433412548,0,0.284318062200898,24
EB12,208.262466530026,-408.524933060053,-408.351020016575,1.5994910298412,0.141862152925349,25
DensDep5,206.325574610239,-408.651149220477,-408.599425082546,1.35108596386959,0.160622736713944,25
TRC 83,208.166995393566,-408.333990787132,-408.159318298049,1.79119274836722,0.128895883368315,25
SRC 91,208.027429436251,-410.054858872503,-409.950511046416,0,0.315639691725713,25
EB13,213.946732333328,-419.893464666656,-419.719551623178,0.836927146047799,0.300367222743921,26
